epoch,itr,loss,mask-A,mask-B,time (ms)
epoch,itr,loss,mask-A,mask-B,time (ms)
1,0,4.884728e-01,14.00000,20.00000,1221
1,1,3.916052e-01,21.00000,16.00000,471
1,2,3.480220e-01,23.00000,16.00000,450
1,3,3.247411e-01,19.00000,20.00000,442
1,4,3.052331e-01,16.00000,20.00000,422
1,5,2.944849e-01,17.00000,20.00000,428
1,6,2.784106e-01,21.00000,16.00000,434
1,7,2.639352e-01,36.00000,12.00000,505
1,8,2.555364e-01,20.00000,16.00000,427
1,9,2.475293e-01,17.00000,20.00000,428
1,10,2.409096e-01,19.00000,20.00000,444
1,11,2.335991e-01,26.00000,16.00000,459
1,12,2.262775e-01,27.00000,16.00000,465
1,13,2.248520e-01,17.00000,16.00000,413
1,14,2.153428e-01,27.00000,16.00000,466
1,15,2.076725e-01,23.00000,16.00000,443
1,16,2.085541e-01,25.00000,16.00000,455
1,17,2.014918e-01,20.00000,16.00000,428
1,18,1.972902e-01,17.00000,16.00000,411
1,19,1.879172e-01,26.00000,16.00000,463
1,20,1.929739e-01,17.00000,16.00000,411
1,21,1.818892e-01,23.00000,16.00000,447
1,22,1.776336e-01,21.00000,16.00000,452
1,23,1.712197e-01,23.00000,16.00000,447
1,24,1.729261e-01,15.00000,20.00000,421
1,25,1.628164e-01,19.00000,20.00000,439
1,26,1.686799e-01,20.00000,20.00000,445
1,27,1.732863e-01,20.00000,20.00000,446
1,28,1.559142e-01,18.00000,20.00000,434
1,29,1.546819e-01,24.00000,16.00000,453
1,30,1.665002e-01,19.00000,20.00000,439
1,31,1.478873e-01,26.00000,16.00000,462
1,32,1.502590e-01,20.00000,20.00000,448
1,33,1.504351e-01,20.00000,20.00000,445
1,34,1.481429e-01,22.00000,20.00000,455
1,35,1.435986e-01,24.00000,16.00000,452
1,36,1.517586e-01,24.00000,16.00000,454
1,37,1.565287e-01,9.00000,20.00000,388
1,38,1.491736e-01,27.00000,16.00000,468
1,39,1.299156e-01,34.00000,12.00000,556
1,40,1.336173e-01,23.00000,16.00000,449
1,41,1.332366e-01,25.00000,16.00000,460
1,42,1.537215e-01,12.00000,20.00000,403
1,43,1.453178e-01,28.00000,16.00000,476
1,44,1.523465e-01,16.00000,20.00000,424
1,45,1.324817e-01,26.00000,16.00000,465
1,46,1.346129e-01,20.00000,20.00000,447
1,47,1.285265e-01,34.00000,12.00000,500
1,48,1.395501e-01,25.00000,16.00000,461
1,49,1.292859e-01,34.00000,12.00000,500
1,50,1.358359e-01,17.00000,20.00000,433
1,51,1.606744e-01,9.00000,20.00000,390
1,52,1.456713e-01,17.00000,20.00000,432
1,53,1.247087e-01,19.00000,20.00000,444
1,54,1.363846e-01,24.00000,16.00000,455
1,55,1.724698e-01,16.00000,20.00000,429
1,56,1.523113e-01,18.00000,20.00000,438
1,57,1.384535e-01,25.00000,16.00000,461
1,58,1.321923e-01,24.00000,16.00000,460
1,59,1.494419e-01,27.00000,16.00000,474
1,60,1.383636e-01,33.00000,12.00000,492
1,61,1.378222e-01,33.00000,12.00000,502
1,62,1.750884e-01,19.00000,20.00000,443
1,63,1.530104e-01,19.00000,20.00000,444
1,64,1.449102e-01,33.00000,12.00000,490
1,65,1.654443e-01,15.00000,20.00000,426
1,66,1.460702e-01,27.00000,16.00000,476
1,67,1.442995e-01,15.00000,20.00000,439
1,68,1.450973e-01,25.00000,16.00000,464
1,69,1.769106e-01,19.00000,20.00000,444
1,70,1.648666e-01,23.00000,16.00000,452
1,71,1.702256e-01,26.00000,16.00000,467
1,72,1.860956e-01,17.00000,16.00000,416
1,73,1.589136e-01,24.00000,16.00000,459
1,74,1.798312e-01,16.00000,20.00000,429
1,75,1.614317e-01,16.00000,20.00000,428
1,76,1.521870e-01,26.00000,16.00000,469
1,77,1.410790e-01,26.00000,16.00000,470
1,78,1.533790e-01,25.00000,16.00000,463
1,79,1.525500e-01,20.00000,16.00000,435
1,80,1.669331e-01,19.00000,20.00000,447
1,81,1.861504e-01,14.00000,20.00000,425
1,82,1.597835e-01,26.00000,16.00000,467
1,83,1.694304e-01,16.00000,20.00000,438
1,84,1.750074e-01,21.00000,20.00000,456
1,85,1.595022e-01,21.00000,20.00000,463
1,86,1.815323e-01,19.00000,20.00000,447
1,87,1.416601e-01,33.00000,12.00000,492
1,88,1.603369e-01,21.00000,20.00000,457
1,89,2.019333e-01,14.00000,20.00000,417
1,90,1.706964e-01,24.00000,16.00000,458
1,91,1.657957e-01,25.00000,16.00000,468
1,92,1.452476e-01,22.00000,20.00000,461
1,93,1.656005e-01,24.00000,16.00000,460
1,94,1.471593e-01,23.00000,16.00000,455
1,95,1.767724e-01,25.00000,16.00000,467
1,96,2.051076e-01,18.00000,20.00000,443
1,97,1.766579e-01,20.00000,16.00000,473
1,98,1.670282e-01,25.00000,16.00000,465
1,99,1.742548e-01,25.00000,16.00000,466
1,100,1.564117e-01,23.00000,16.00000,454
1,101,1.833537e-01,25.00000,16.00000,467
1,102,1.563518e-01,33.00000,12.00000,494
1,103,1.857477e-01,16.00000,20.00000,432
1,104,1.757327e-01,17.00000,20.00000,438
1,105,1.646631e-01,23.00000,16.00000,455
1,106,1.817828e-01,25.00000,16.00000,468
1,107,1.827051e-01,8.00000,20.00000,445
1,108,1.653340e-01,17.00000,20.00000,438
2,0,1.834385e-01,19.00000,20.00000,453
2,1,1.586495e-01,33.00000,12.00000,489
2,2,1.927544e-01,26.00000,16.00000,467
2,3,2.020487e-01,21.00000,16.00000,438
2,4,1.504351e-01,25.00000,16.00000,461
2,5,1.748683e-01,25.00000,16.00000,462
2,6,1.726453e-01,33.00000,12.00000,490
2,7,1.574841e-01,17.00000,20.00000,434
2,8,1.518907e-01,18.00000,20.00000,500
2,9,1.827158e-01,20.00000,16.00000,481
2,10,1.541757e-01,23.00000,16.00000,503
2,11,1.619780e-01,20.00000,16.00000,435
2,12,1.691488e-01,24.00000,16.00000,457
2,13,1.534533e-01,21.00000,16.00000,440
