epoch,train_accuracy,val_accuracy,loss,time
1,4.12997e-01,5.08333e-01,1.31764e-02,2.3659788650111295
2,5.49166e-01,5.82000e-01,1.22692e-02,2.219136719009839
3,5.94200e-01,6.02667e-01,1.18496e-02,2.200718292966485
4,6.14721e-01,6.19000e-01,1.16323e-02,2.1318313350202516
5,6.32393e-01,6.31667e-01,1.14788e-02,2.40606290102005
6,6.37594e-01,6.43333e-01,1.13687e-02,2.347993066010531
7,6.44577e-01,6.40000e-01,1.12875e-02,2.145786121021956
8,6.52059e-01,6.41000e-01,1.12225e-02,2.0656247879960574
9,6.56762e-01,6.49000e-01,1.11710e-02,2.2616846110322513
10,6.58829e-01,6.49000e-01,1.11250e-02,2.2552182259969413
11,6.60895e-01,6.49667e-01,1.10895e-02,1.9729892350151204
12,6.65028e-01,6.54667e-01,1.10524e-02,2.14319281099597
13,6.66667e-01,6.53333e-01,1.10232e-02,2.177765147003811
14,6.69161e-01,6.57333e-01,1.09970e-02,2.188698969024699
15,6.72438e-01,6.55667e-01,1.09703e-02,2.190064546011854
16,6.73008e-01,6.63000e-01,1.09501e-02,2.0045117950066924
17,6.75146e-01,6.56333e-01,1.09312e-02,2.04920209600823
18,6.76144e-01,6.54000e-01,1.09139e-02,2.3735827719792724
19,6.76856e-01,6.61000e-01,1.08961e-02,2.196915053005796
20,6.79778e-01,6.68000e-01,1.08779e-02,2.2306215499993414
21,6.79350e-01,6.65000e-01,1.08666e-02,2.0979284499771893
22,6.80419e-01,6.66667e-01,1.08522e-02,2.256150027969852
23,6.82770e-01,6.64667e-01,1.08385e-02,2.300191122049
24,6.83127e-01,6.65667e-01,1.08274e-02,2.1380754290148616
25,6.83483e-01,6.71000e-01,1.08185e-02,2.3144183839904144
26,6.83839e-01,6.65333e-01,1.08057e-02,2.2591508789919317
27,6.84979e-01,6.74333e-01,1.07986e-02,2.264499167969916
28,6.86903e-01,6.73333e-01,1.07821e-02,2.0887475649942644
29,6.88970e-01,6.68333e-01,1.07758e-02,2.260295674961526
30,6.88970e-01,6.66333e-01,1.07647e-02,2.3364362149732187
31,6.90894e-01,6.74667e-01,1.07594e-02,2.0806234519695863
32,6.88685e-01,6.72667e-01,1.07504e-02,2.256024428992532
33,6.90324e-01,6.67333e-01,1.07429e-02,2.218578203988727
34,6.92746e-01,6.78000e-01,1.07341e-02,2.2189115630462766
35,6.92319e-01,6.72333e-01,1.07298e-02,2.145703104964923
36,6.91891e-01,6.75667e-01,1.07232e-02,2.1711682570166886
37,6.92960e-01,6.75333e-01,1.07147e-02,2.1847737369826064
38,6.91820e-01,6.74000e-01,1.07076e-02,2.105185388994869
39,6.94029e-01,6.78000e-01,1.07048e-02,2.1329766379785724
40,6.95454e-01,6.80000e-01,1.06983e-02,2.0843073570285924
41,6.96166e-01,6.78000e-01,1.06895e-02,2.3377531279693358
42,6.96451e-01,6.81333e-01,1.06844e-02,2.1324282870045863
43,6.96879e-01,6.79000e-01,1.06835e-02,2.2173049449920654
44,6.97378e-01,6.81333e-01,1.06740e-02,2.1374646039912477
45,6.97307e-01,6.82000e-01,1.06718e-02,2.2082893479964696
46,7.00086e-01,6.75667e-01,1.06638e-02,2.174368828011211
47,6.98162e-01,6.77000e-01,1.06626e-02,2.2936962069943547
48,6.99729e-01,6.77667e-01,1.06588e-02,2.2347968090325594
49,6.98803e-01,6.75667e-01,1.06534e-02,2.297967834980227
50,6.98304e-01,6.77333e-01,1.06514e-02,1.9873250449891202
51,6.99515e-01,6.78333e-01,1.06446e-02,2.088033457985148
52,7.00869e-01,6.77000e-01,1.06408e-02,2.260675319994334
53,7.00727e-01,6.77000e-01,1.06373e-02,2.0494352859677747
54,7.01154e-01,6.83667e-01,1.06337e-02,2.129050183983054
55,7.01653e-01,6.80667e-01,1.06291e-02,2.403473202022724
56,7.00941e-01,6.83000e-01,1.06246e-02,2.301504751027096
57,7.02294e-01,6.83333e-01,1.06246e-02,2.3705769189982675
58,7.02081e-01,6.80667e-01,1.06194e-02,2.203691417002119
59,7.01012e-01,6.81333e-01,1.06199e-02,2.250191119965166
