epoch,train_accuracy,val_accuracy,loss,time
1,4.06798e-01,6.11333e-01,1.28177e-02,2.28
2,5.95411e-01,6.60000e-01,1.15344e-02,2.14
3,6.45860e-01,6.68667e-01,1.11198e-02,2.18
4,6.65384e-01,6.88000e-01,1.09744e-02,2.24
5,6.82058e-01,6.86667e-01,1.08237e-02,2.29
6,6.88542e-01,7.03000e-01,1.07446e-02,2.28
7,6.98447e-01,7.08000e-01,1.06818e-02,2.28
8,7.05643e-01,7.11000e-01,1.06208e-02,2.13
9,7.08280e-01,7.14667e-01,1.05732e-02,2.02
10,7.10631e-01,7.20333e-01,1.05562e-02,2.05
11,7.14194e-01,7.21667e-01,1.05234e-02,2.10
12,7.17472e-01,7.24667e-01,1.05026e-02,2.11
13,7.22175e-01,7.30000e-01,1.04696e-02,2.15
14,7.22674e-01,7.28667e-01,1.04621e-02,2.12
15,7.24740e-01,7.28667e-01,1.04378e-02,2.56
16,7.28445e-01,7.34667e-01,1.04122e-02,2.26
17,7.28089e-01,7.32000e-01,1.04099e-02,2.07
18,7.27091e-01,7.38000e-01,1.04100e-02,2.37
19,7.29657e-01,7.39000e-01,1.03929e-02,2.31
20,7.33006e-01,7.42333e-01,1.03703e-02,2.18
21,7.32293e-01,7.34333e-01,1.03607e-02,2.23
22,7.34431e-01,7.37333e-01,1.03580e-02,2.18
23,7.34929e-01,7.37000e-01,1.03508e-02,2.15
24,7.33077e-01,7.45667e-01,1.03412e-02,2.41
25,7.34431e-01,7.44667e-01,1.03348e-02,2.16
26,7.32863e-01,7.41667e-01,1.03337e-02,2.35
27,7.35143e-01,7.44333e-01,1.03239e-02,2.32
28,7.35072e-01,7.48000e-01,1.03205e-02,2.30
29,7.37637e-01,7.45000e-01,1.03063e-02,2.27
30,7.36853e-01,7.47000e-01,1.03097e-02,2.30
31,7.38207e-01,7.46667e-01,1.02922e-02,2.40
32,7.34716e-01,7.42000e-01,1.03054e-02,2.48
33,7.39775e-01,7.47333e-01,1.02820e-02,2.29
34,7.41556e-01,7.46667e-01,1.02698e-02,2.16
35,7.42340e-01,7.46333e-01,1.02729e-02,2.16
36,7.40487e-01,7.48333e-01,1.02861e-02,2.40
37,7.41627e-01,7.49000e-01,1.02662e-02,2.29
38,7.37851e-01,7.41333e-01,1.02747e-02,2.00
39,7.43338e-01,7.47000e-01,1.02528e-02,2.18
40,7.42055e-01,7.44667e-01,1.02606e-02,2.14
41,7.40986e-01,7.52333e-01,1.02623e-02,2.14
42,7.44763e-01,7.54333e-01,1.02408e-02,2.08
43,7.42625e-01,7.47333e-01,1.02489e-02,2.02
44,7.45760e-01,7.51667e-01,1.02464e-02,2.36
45,7.43765e-01,7.46667e-01,1.02465e-02,2.24
46,7.43338e-01,7.49000e-01,1.02412e-02,2.16
47,7.45547e-01,7.53000e-01,1.02377e-02,2.25
48,7.45048e-01,7.49000e-01,1.02215e-02,2.22
