epoch,itr,loss,mask-A,mask-B,time (ms)
1,0,4.699966e-01,17.00000,20.00000,1260
1,1,3.776067e-01,22.00000,16.00000,506
1,2,3.413499e-01,18.00000,20.00000,480
1,3,3.209201e-01,33.00000,12.00000,517
1,4,3.000028e-01,17.00000,16.00000,441
1,5,2.903092e-01,17.00000,20.00000,465
1,6,2.747968e-01,25.00000,16.00000,493
1,7,2.579601e-01,20.00000,16.00000,466
1,8,2.498436e-01,17.00000,16.00000,513
1,9,2.382842e-01,27.00000,16.00000,504
1,10,2.383252e-01,11.00000,20.00000,490
1,11,2.243937e-01,27.00000,16.00000,505
1,12,2.188227e-01,20.00000,16.00000,466
1,13,2.116321e-01,26.00000,16.00000,497
1,14,2.080690e-01,17.00000,20.00000,468
1,15,2.008163e-01,27.00000,16.00000,503
1,16,2.002445e-01,15.00000,20.00000,447
1,17,1.929477e-01,26.00000,16.00000,499
1,18,1.838322e-01,25.00000,16.00000,495
1,19,1.841159e-01,21.00000,16.00000,473
1,20,1.764650e-01,23.00000,16.00000,483
1,21,1.735098e-01,29.00000,16.00000,515
1,22,1.690439e-01,26.00000,16.00000,500
1,23,1.580515e-01,25.00000,16.00000,498
1,24,1.638530e-01,14.00000,20.00000,450
1,25,1.615432e-01,13.00000,20.00000,441
1,26,1.627304e-01,11.00000,20.00000,435
1,27,1.518215e-01,20.00000,20.00000,481
1,28,1.468589e-01,17.00000,20.00000,469
1,29,1.456704e-01,24.00000,16.00000,491
1,30,1.465081e-01,19.00000,20.00000,477
1,31,1.379551e-01,23.00000,16.00000,477
1,32,1.433075e-01,14.00000,20.00000,448
1,33,1.291806e-01,19.00000,20.00000,483
1,34,1.379161e-01,17.00000,20.00000,463
1,35,1.270252e-01,23.00000,16.00000,481
1,36,1.359988e-01,24.00000,16.00000,490
1,37,1.433421e-01,17.00000,20.00000,470
1,38,1.300435e-01,21.00000,16.00000,476
1,39,1.171837e-01,33.00000,12.00000,526
1,40,1.167393e-01,25.00000,16.00000,500
1,41,1.232189e-01,25.00000,16.00000,503
1,42,1.313746e-01,19.00000,20.00000,481
1,43,1.397025e-01,26.00000,16.00000,495
1,44,1.411899e-01,20.00000,20.00000,492
1,45,1.210839e-01,26.00000,16.00000,507
1,46,1.321107e-01,17.00000,20.00000,471
1,47,1.264682e-01,35.00000,12.00000,595
1,48,1.208211e-01,23.00000,16.00000,488
1,49,1.152300e-01,35.00000,12.00000,551
1,50,1.282736e-01,16.00000,20.00000,465
1,51,1.274645e-01,22.00000,20.00000,499
1,52,1.457460e-01,17.00000,20.00000,475
1,53,1.481194e-01,20.00000,20.00000,492
1,54,1.465648e-01,17.00000,16.00000,454
1,55,1.418700e-01,19.00000,20.00000,482
1,56,1.462213e-01,19.00000,20.00000,478
1,57,1.408180e-01,26.00000,16.00000,493
1,58,1.280211e-01,25.00000,16.00000,501
1,59,1.366005e-01,26.00000,16.00000,505
1,60,1.171725e-01,33.00000,12.00000,524
1,61,1.240739e-01,35.00000,12.00000,549
1,62,1.444101e-01,19.00000,20.00000,482
1,63,1.474796e-01,18.00000,20.00000,476
1,64,1.400310e-01,35.00000,12.00000,550
1,65,1.488776e-01,18.00000,20.00000,477
1,66,1.257928e-01,28.00000,16.00000,519
1,67,1.371770e-01,16.00000,20.00000,464
1,68,1.451567e-01,21.00000,16.00000,469
1,69,1.687585e-01,14.00000,20.00000,455
1,70,1.437611e-01,23.00000,16.00000,490
1,71,1.496060e-01,25.00000,16.00000,503
1,72,1.701614e-01,25.00000,16.00000,499
1,73,1.332123e-01,23.00000,16.00000,491
