epoch,train_accuracy,val_accuracy,loss,time
1,3.99245e-01,5.80667e-01,1.32409e-02,1.5326952440082096
2,6.15576e-01,6.31000e-01,1.19005e-02,1.522962577000726
3,6.53627e-01,6.46000e-01,1.14730e-02,1.538894208992133
4,6.68163e-01,6.58333e-01,1.12489e-02,1.531891327991616
5,6.75146e-01,6.67667e-01,1.11144e-02,1.5225083919940516
6,6.78709e-01,6.71000e-01,1.10253e-02,1.5244534730154555
7,6.83340e-01,6.73667e-01,1.09557e-02,1.5352583070052788
8,6.87687e-01,6.77667e-01,1.08998e-02,1.538570080010686
9,6.88756e-01,6.76667e-01,1.08575e-02,1.523406218009768
10,6.92461e-01,6.78333e-01,1.08204e-02,1.5317717110156082
11,6.94243e-01,6.84333e-01,1.07862e-02,1.533388443000149
12,6.96808e-01,6.88333e-01,1.07609e-02,1.525248488993384
13,7.00228e-01,6.89667e-01,1.07358e-02,1.5302125639864244
14,7.02508e-01,6.92667e-01,1.07112e-02,1.5328181920049246
15,7.04147e-01,6.93667e-01,1.06887e-02,1.5321314800239634
16,7.05358e-01,6.95000e-01,1.06728e-02,1.5236366059980355
17,7.06712e-01,6.96667e-01,1.06567e-02,1.5279292130144313
18,7.07282e-01,6.96333e-01,1.06378e-02,1.534073933988111
19,7.07852e-01,6.97667e-01,1.06240e-02,1.5203969959984533
20,7.09990e-01,6.98333e-01,1.06121e-02,1.533754781994503
21,7.10774e-01,7.03333e-01,1.05994e-02,1.530883929983247
22,7.11201e-01,7.03000e-01,1.05876e-02,1.529346154013183
23,7.13339e-01,6.97667e-01,1.05731e-02,1.5192835469788406
24,7.16189e-01,7.04333e-01,1.05619e-02,1.5374931640108116
25,7.14835e-01,7.05000e-01,1.05554e-02,1.529274775995873
26,7.17757e-01,7.06333e-01,1.05437e-02,1.527381810999941
27,7.17828e-01,7.04667e-01,1.05349e-02,1.53357066801982
28,7.18042e-01,7.04333e-01,1.05244e-02,1.5386790199845564
29,7.18897e-01,7.10667e-01,1.05178e-02,1.5273775019741151
30,7.19681e-01,7.07000e-01,1.05074e-02,1.5280484319955576
