epoch,itr,loss,mask-A,mask-B,time (ms)
1,0,4.881067e-01,14.00000,20.00000,11062
1,1,3.925616e-01,21.00000,16.00000,503
1,2,3.488522e-01,25.00000,16.00000,481
1,3,3.250332e-01,36.00000,12.00000,532
1,4,3.057244e-01,16.00000,20.00000,463
1,5,2.948439e-01,17.00000,20.00000,541
1,6,2.798950e-01,21.00000,16.00000,480
1,7,2.646677e-01,17.00000,20.00000,508
1,8,2.565371e-01,20.00000,16.00000,476
1,9,2.464150e-01,17.00000,20.00000,499
1,10,2.397715e-01,24.00000,16.00000,495
1,11,2.364712e-01,26.00000,16.00000,494
1,12,2.274328e-01,24.00000,16.00000,505
1,13,2.262998e-01,17.00000,16.00000,449
1,14,2.197951e-01,27.00000,16.00000,501
1,15,2.101841e-01,23.00000,16.00000,476
1,16,2.126099e-01,19.00000,20.00000,495
1,17,2.065220e-01,20.00000,16.00000,458
1,18,1.994814e-01,17.00000,16.00000,451
1,19,1.897659e-01,26.00000,16.00000,500
1,20,1.939341e-01,17.00000,16.00000,449
1,21,1.902459e-01,23.00000,16.00000,487
1,22,1.839742e-01,26.00000,16.00000,491
1,23,1.724957e-01,23.00000,16.00000,475
1,24,1.807552e-01,15.00000,20.00000,460
1,25,1.695891e-01,19.00000,20.00000,475
1,26,1.779006e-01,20.00000,20.00000,488
1,27,1.638714e-01,20.00000,20.00000,479
1,28,1.615562e-01,18.00000,20.00000,474
1,29,1.512201e-01,24.00000,16.00000,492
1,30,1.605376e-01,19.00000,20.00000,478
1,31,1.566276e-01,26.00000,16.00000,501
1,32,1.564139e-01,16.00000,20.00000,482
1,33,1.521656e-01,20.00000,20.00000,486
1,34,1.571840e-01,22.00000,20.00000,497
1,35,1.447633e-01,24.00000,16.00000,494
1,36,1.581322e-01,24.00000,16.00000,494
1,37,1.555599e-01,9.00000,20.00000,419
1,38,1.531850e-01,27.00000,16.00000,512
1,39,1.309319e-01,34.00000,12.00000,537
1,40,1.408193e-01,23.00000,16.00000,488
1,41,1.433297e-01,25.00000,16.00000,499
1,42,1.524589e-01,12.00000,20.00000,445
1,43,1.379521e-01,28.00000,16.00000,513
1,44,1.533682e-01,16.00000,20.00000,467
1,45,1.353563e-01,25.00000,16.00000,503
