epoch,train_accuracy,val_accuracy,loss,time
1,3.11957e-01,3.95333e-01,1.33559e-02,2.20
2,3.83925e-01,4.12000e-01,1.28825e-02,2.18
3,4.14493e-01,4.34000e-01,1.26785e-02,2.05
4,4.27961e-01,4.64000e-01,1.25864e-02,2.18
5,4.43779e-01,4.70333e-01,1.24721e-02,2.22
6,4.52188e-01,4.70333e-01,1.24093e-02,2.33
7,4.60097e-01,4.73333e-01,1.23495e-02,2.26
8,4.62021e-01,4.66000e-01,1.23270e-02,3.58
9,4.70928e-01,4.83667e-01,1.22789e-02,2.54
10,4.71997e-01,4.78667e-01,1.22613e-02,3.00
11,4.77056e-01,4.97333e-01,1.22305e-02,2.39
12,4.83968e-01,4.85000e-01,1.21908e-02,2.17
13,4.83397e-01,4.98333e-01,1.21646e-02,2.21
14,4.85535e-01,4.97000e-01,1.21590e-02,2.23
15,4.92162e-01,5.02667e-01,1.21175e-02,2.46
16,4.96936e-01,4.97667e-01,1.20900e-02,2.19
17,4.94727e-01,5.00000e-01,1.20989e-02,2.13
18,5.04560e-01,5.04667e-01,1.20459e-02,2.28
19,5.01781e-01,5.07000e-01,1.20508e-02,2.12
20,5.00499e-01,5.14667e-01,1.20500e-02,2.26
21,5.07339e-01,5.10667e-01,1.20121e-02,2.27
22,5.08123e-01,5.05333e-01,1.20122e-02,2.16
23,5.05843e-01,5.12333e-01,1.20185e-02,2.32
24,5.10760e-01,5.18000e-01,1.19774e-02,2.41
25,5.09691e-01,5.12000e-01,1.19850e-02,2.23
26,5.14536e-01,5.23333e-01,1.19705e-02,2.21
27,5.15320e-01,5.21000e-01,1.19533e-02,3.07
28,5.15391e-01,5.22667e-01,1.19564e-02,2.45
29,5.17101e-01,5.25333e-01,1.19443e-02,2.31
30,5.24939e-01,5.19667e-01,1.19024e-02,2.20
31,5.24084e-01,5.29333e-01,1.19013e-02,2.22
32,5.18384e-01,5.24000e-01,1.19213e-02,2.34
33,5.20522e-01,5.24667e-01,1.19158e-02,2.23
34,5.17315e-01,5.25333e-01,1.19150e-02,2.41
35,5.24441e-01,5.29000e-01,1.18882e-02,2.33
36,5.25296e-01,5.27667e-01,1.18764e-02,2.02
37,5.23229e-01,5.37000e-01,1.18865e-02,2.18
38,5.31780e-01,5.28333e-01,1.18376e-02,2.11
39,5.25438e-01,5.35000e-01,1.18804e-02,2.13
40,5.24512e-01,5.35333e-01,1.18741e-02,2.14
41,5.28787e-01,5.36000e-01,1.18546e-02,2.21
42,5.27505e-01,5.30667e-01,1.18578e-02,2.22
43,5.28645e-01,5.29667e-01,1.18455e-02,2.31
44,5.27790e-01,5.28333e-01,1.18542e-02,2.04
45,5.34488e-01,5.40000e-01,1.18262e-02,2.31
46,5.33561e-01,5.30667e-01,1.18275e-02,2.19
47,5.36055e-01,5.28000e-01,1.18118e-02,2.25
48,5.35200e-01,5.40667e-01,1.17949e-02,2.12
49,5.30640e-01,5.28333e-01,1.18163e-02,2.18
50,5.34060e-01,5.45333e-01,1.18124e-02,2.22
51,5.38834e-01,5.31667e-01,1.17868e-02,2.09
52,5.33419e-01,5.40333e-01,1.18037e-02,2.31
53,5.28858e-01,5.23667e-01,1.18293e-02,2.17
54,5.34773e-01,5.47000e-01,1.18081e-02,2.11
55,5.36269e-01,5.28333e-01,1.17891e-02,2.13
56,5.32920e-01,5.45667e-01,1.18109e-02,2.64
57,5.39191e-01,5.45667e-01,1.17923e-02,2.34
58,5.36198e-01,5.48667e-01,1.17870e-02,2.36
59,5.35129e-01,5.49333e-01,1.17926e-02,2.38
60,5.40259e-01,5.41667e-01,1.17848e-02,2.12
61,5.35343e-01,5.43667e-01,1.17929e-02,2.24
62,5.41186e-01,5.50333e-01,1.17664e-02,2.27
63,5.36768e-01,5.39333e-01,1.17911e-02,2.18
64,5.35343e-01,5.49333e-01,1.17776e-02,2.08
65,5.38906e-01,5.46667e-01,1.17675e-02,2.07
66,5.40901e-01,5.43000e-01,1.17544e-02,2.04
67,5.38478e-01,5.42333e-01,1.17755e-02,2.30
68,5.39476e-01,5.49667e-01,1.17728e-02,2.28
69,5.42896e-01,5.30333e-01,1.17455e-02,2.11
70,5.38763e-01,5.49333e-01,1.17522e-02,2.37
71,5.40331e-01,5.49000e-01,1.17505e-02,2.35
72,5.42326e-01,5.51333e-01,1.17608e-02,2.36
73,5.42753e-01,5.53000e-01,1.17439e-02,2.38
74,5.40331e-01,5.43000e-01,1.17481e-02,2.27
75,5.41827e-01,5.53667e-01,1.17484e-02,2.32
76,5.38264e-01,5.55000e-01,1.17608e-02,2.19
77,5.41471e-01,5.55667e-01,1.17507e-02,2.22
78,5.42112e-01,5.44667e-01,1.17432e-02,2.16
79,5.43608e-01,5.49000e-01,1.17333e-02,2.37
80,5.42825e-01,5.45667e-01,1.17364e-02,2.24
81,5.41471e-01,5.55667e-01,1.17386e-02,2.41
82,5.41613e-01,5.49667e-01,1.17463e-02,2.22
83,5.42896e-01,5.48333e-01,1.17384e-02,2.19
84,5.44107e-01,5.50000e-01,1.17268e-02,2.23
85,5.37908e-01,5.56333e-01,1.17521e-02,2.18
86,5.44962e-01,5.51667e-01,1.17345e-02,2.17
87,5.41970e-01,5.46333e-01,1.17470e-02,2.20
88,5.43181e-01,5.47000e-01,1.17322e-02,2.22
89,5.41827e-01,5.55667e-01,1.17361e-02,2.39
90,5.41043e-01,5.47000e-01,1.17366e-02,2.47
91,5.46174e-01,5.51333e-01,1.17081e-02,2.25
92,5.47884e-01,5.52333e-01,1.17076e-02,2.13
93,5.44036e-01,5.45333e-01,1.17228e-02,2.14
94,5.42183e-01,5.45667e-01,1.17361e-02,2.20
95,5.43181e-01,5.51333e-01,1.17278e-02,2.18
96,5.46530e-01,5.54000e-01,1.17114e-02,2.09
97,5.45247e-01,5.54333e-01,1.17246e-02,2.32
98,5.43680e-01,5.51000e-01,1.17198e-02,2.16
99,5.43608e-01,5.47000e-01,1.17312e-02,2.31
100,5.44891e-01,5.51333e-01,1.17238e-02,2.04
101,5.44606e-01,5.61667e-01,1.17164e-02,2.22
102,5.48382e-01,5.55000e-01,1.16978e-02,2.42
