epoch,train_accuracy,val_accuracy,loss,time
1,2.52245e-01,2.84667e-01,1.38232e-02,1.501305547019001
2,2.95425e-01,3.12000e-01,1.35799e-02,1.484553065005457
3,3.14807e-01,2.84000e-01,1.34909e-02,1.5324582000030205
4,3.21149e-01,3.35333e-01,1.34364e-02,1.5331055400019977
5,3.27918e-01,3.27000e-01,1.34067e-02,1.5296457440126687
6,3.28987e-01,3.46000e-01,1.33883e-02,1.5307865520007908
7,3.37039e-01,3.42333e-01,1.33591e-02,1.5383347870083526
8,3.33476e-01,3.38000e-01,1.33477e-02,1.5307853650010657
9,3.39461e-01,3.34000e-01,1.32956e-02,1.5314828359987587
10,3.38107e-01,3.44000e-01,1.32963e-02,1.5383724639832508
11,3.48796e-01,3.45333e-01,1.32733e-02,1.5319815720140468
12,3.50720e-01,3.46667e-01,1.32489e-02,1.5288950410031248
13,3.53000e-01,3.60333e-01,1.32239e-02,1.5319288339815103
14,3.53855e-01,3.36000e-01,1.31968e-02,1.5326555120118428
15,3.52857e-01,3.63667e-01,1.31925e-02,1.5310910179978237
16,3.54924e-01,3.57667e-01,1.31965e-02,1.5292294730024878
17,3.62619e-01,3.48667e-01,1.31419e-02,1.5320615279779304
18,3.61907e-01,3.65000e-01,1.31671e-02,1.536717873008456
19,3.61836e-01,3.76000e-01,1.31554e-02,1.5262868189893197
20,3.67037e-01,3.76000e-01,1.31244e-02,1.5332342080073431
21,3.67393e-01,3.71667e-01,1.31013e-02,1.5421684680040926
22,3.69317e-01,3.56667e-01,1.30930e-02,1.532920789992204
23,3.71598e-01,3.72000e-01,1.30798e-02,1.5375765839999076
24,3.71954e-01,3.60333e-01,1.30828e-02,1.5410330570011865
25,3.76372e-01,3.79667e-01,1.30474e-02,1.5330257739988156
26,3.74020e-01,3.86667e-01,1.30529e-02,1.5239142829959746
27,3.79293e-01,3.84000e-01,1.30314e-02,1.5261444720090367
28,3.76443e-01,3.76333e-01,1.30381e-02,1.5262915829953272
29,3.78581e-01,3.82000e-01,1.30261e-02,1.5246282090083696
30,3.82500e-01,3.73333e-01,1.30020e-02,1.5243195020011626
31,3.80718e-01,3.71000e-01,1.30143e-02,1.5274394040170591
32,3.82500e-01,3.93333e-01,1.30018e-02,1.5270776920078788
33,3.84495e-01,3.81667e-01,1.29896e-02,1.5229266690148506
34,3.81360e-01,3.74000e-01,1.29958e-02,1.5287775119941216
35,3.84994e-01,3.86000e-01,1.29803e-02,1.5275865519943181
36,3.89839e-01,3.84667e-01,1.29596e-02,1.5248563979985192
37,3.82357e-01,3.82000e-01,1.29805e-02,1.5275846300064586
38,3.86062e-01,3.90000e-01,1.29674e-02,1.5355826699815225
