epoch,train_accuracy,val_accuracy,loss,time
1,4.12997e-01,5.64000e-01,1.28294e-02,2.23
2,5.76671e-01,5.95667e-01,1.16886e-02,2.34
3,6.12512e-01,6.25333e-01,1.13888e-02,2.43
4,6.23842e-01,6.40667e-01,1.12520e-02,2.20
5,6.33462e-01,6.46667e-01,1.11703e-02,2.10
6,6.34673e-01,6.46000e-01,1.11185e-02,2.09
7,6.41015e-01,6.49333e-01,1.10815e-02,2.08
8,6.45718e-01,6.54000e-01,1.10326e-02,2.18
9,6.48639e-01,6.56000e-01,1.10014e-02,2.40
10,6.50349e-01,6.62000e-01,1.09849e-02,2.27
11,6.48497e-01,6.65333e-01,1.09703e-02,2.28
12,6.53484e-01,6.65000e-01,1.09360e-02,2.08
13,6.56477e-01,6.64333e-01,1.09232e-02,2.33
14,6.57332e-01,6.68000e-01,1.09076e-02,2.36
15,6.55266e-01,6.70333e-01,1.09112e-02,2.24
16,6.58259e-01,6.73667e-01,1.08935e-02,2.21
17,6.59042e-01,6.71333e-01,1.08801e-02,2.25
18,6.58544e-01,6.71000e-01,1.08778e-02,1.99
19,6.61536e-01,6.69000e-01,1.08808e-02,2.10
20,6.65598e-01,6.74667e-01,1.08481e-02,2.36
21,6.66809e-01,6.73333e-01,1.08335e-02,2.18
22,6.67165e-01,6.72333e-01,1.08220e-02,2.12
23,6.67308e-01,6.69667e-01,1.08185e-02,2.12
24,6.65883e-01,6.73667e-01,1.08206e-02,2.31
25,6.67522e-01,6.80333e-01,1.08164e-02,2.27
26,6.69446e-01,6.84000e-01,1.08029e-02,2.35
27,6.65242e-01,6.73667e-01,1.08088e-02,2.10
28,6.67379e-01,6.79000e-01,1.08098e-02,2.16
29,6.71583e-01,6.78667e-01,1.07877e-02,2.31
30,6.71298e-01,6.75000e-01,1.07943e-02,2.23
31,6.68662e-01,6.75333e-01,1.08065e-02,2.34
32,6.69446e-01,6.80667e-01,1.07918e-02,2.14
33,6.70942e-01,6.81000e-01,1.07807e-02,2.13
34,6.68519e-01,6.81333e-01,1.07846e-02,2.15
35,6.71370e-01,6.81333e-01,1.07704e-02,2.13
36,6.73650e-01,6.76667e-01,1.07628e-02,2.09
37,6.72082e-01,6.87667e-01,1.07674e-02,2.17
38,6.71868e-01,6.76000e-01,1.07653e-02,2.11
39,6.73080e-01,6.80333e-01,1.07622e-02,1.58
40,6.71085e-01,6.81667e-01,1.07601e-02,1.53
41,6.73080e-01,6.87333e-01,1.07526e-02,1.53
42,6.73080e-01,6.83000e-01,1.07576e-02,1.52
43,6.72510e-01,6.89667e-01,1.07584e-02,1.54
44,6.73650e-01,6.83667e-01,1.07541e-02,1.54
45,6.77711e-01,6.84000e-01,1.07313e-02,1.52
46,6.75859e-01,6.85333e-01,1.07357e-02,1.53
47,6.78566e-01,6.87667e-01,1.07324e-02,1.54
48,6.75289e-01,6.83667e-01,1.07326e-02,1.53
49,6.76571e-01,6.86333e-01,1.07376e-02,1.54
50,6.79920e-01,6.86333e-01,1.07169e-02,1.53
51,6.74291e-01,6.88333e-01,1.07378e-02,1.54
52,6.73008e-01,6.90000e-01,1.07286e-02,1.52
53,6.79564e-01,6.82667e-01,1.07134e-02,1.54
54,6.76286e-01,6.86333e-01,1.07213e-02,1.53
55,6.78068e-01,6.91667e-01,1.07224e-02,1.53
56,6.76856e-01,6.90667e-01,1.07281e-02,1.53
57,6.78281e-01,6.86333e-01,1.07131e-02,1.54
58,6.81345e-01,6.89000e-01,1.07086e-02,1.52
59,6.79421e-01,6.87667e-01,1.07077e-02,1.52
60,6.77925e-01,6.89333e-01,1.07169e-02,1.53
61,6.76429e-01,6.88000e-01,1.07182e-02,1.54
62,6.80419e-01,6.86333e-01,1.07107e-02,1.51
63,6.77925e-01,6.89000e-01,1.07108e-02,1.55
64,6.79136e-01,6.89333e-01,1.07050e-02,1.53
65,6.79350e-01,6.86000e-01,1.06966e-02,1.53
66,6.77640e-01,6.87667e-01,1.07106e-02,1.52
67,6.80063e-01,6.89667e-01,1.07015e-02,1.54
68,6.77569e-01,6.87000e-01,1.07066e-02,1.54
69,6.78780e-01,6.87333e-01,1.07063e-02,1.54
70,6.77284e-01,6.86000e-01,1.07100e-02,1.54
71,6.77141e-01,6.87333e-01,1.07110e-02,1.53
72,6.83269e-01,6.89000e-01,1.06930e-02,1.53
73,6.79849e-01,6.86333e-01,1.06943e-02,1.53
74,6.83055e-01,6.91000e-01,1.06957e-02,1.53
75,6.78210e-01,6.85000e-01,1.06995e-02,1.53
76,6.79279e-01,6.94667e-01,1.06901e-02,1.52
77,6.78780e-01,6.82333e-01,1.06944e-02,1.53
78,6.81203e-01,6.87000e-01,1.06843e-02,1.51
79,6.81844e-01,6.90000e-01,1.06854e-02,1.52
80,6.84409e-01,6.88333e-01,1.06721e-02,1.53
81,6.80276e-01,6.89000e-01,1.06957e-02,1.54
82,6.80561e-01,6.96333e-01,1.06948e-02,1.52
83,6.79493e-01,6.92667e-01,1.06860e-02,1.52
84,6.81345e-01,6.93333e-01,1.06772e-02,1.53
85,6.82842e-01,6.89667e-01,1.06693e-02,1.53
86,6.82557e-01,6.85667e-01,1.06802e-02,1.52
87,6.84623e-01,6.91000e-01,1.06771e-02,1.54
88,6.81844e-01,6.85667e-01,1.06805e-02,1.54
89,6.78210e-01,6.87333e-01,1.06850e-02,1.52
90,6.81702e-01,6.89000e-01,1.06768e-02,1.53
91,6.81060e-01,6.94667e-01,1.06870e-02,1.53
92,6.84267e-01,6.80667e-01,1.06672e-02,1.53
93,6.84694e-01,6.88667e-01,1.06652e-02,1.53
94,6.86119e-01,6.88000e-01,1.06567e-02,1.52
95,6.86119e-01,6.92333e-01,1.06619e-02,1.54
96,6.84481e-01,6.87000e-01,1.06719e-02,1.53
97,6.82557e-01,6.91000e-01,1.06730e-02,1.53
98,6.83982e-01,6.86333e-01,1.06674e-02,1.51
99,6.84908e-01,6.88667e-01,1.06614e-02,1.54
100,6.85692e-01,6.95000e-01,1.06639e-02,1.52
101,6.84979e-01,6.93000e-01,1.06609e-02,1.53
102,6.83982e-01,6.90000e-01,1.06635e-02,1.52
103,6.83768e-01,6.95000e-01,1.06682e-02,1.53
104,6.83340e-01,6.89333e-01,1.06576e-02,1.53
105,6.81915e-01,6.91000e-01,1.06779e-02,1.53
106,6.83340e-01,6.92000e-01,1.06686e-02,1.53
107,6.84552e-01,6.92667e-01,1.06593e-02,1.52
108,6.85336e-01,6.91000e-01,1.06484e-02,1.52
109,6.85834e-01,6.90000e-01,1.06457e-02,1.53
110,6.83768e-01,6.94333e-01,1.06653e-02,1.53
111,6.84053e-01,6.95333e-01,1.06626e-02,1.54
112,6.83839e-01,6.93000e-01,1.06670e-02,1.54
113,6.84481e-01,6.94000e-01,1.06568e-02,1.53
114,6.84623e-01,6.93333e-01,1.06574e-02,1.52
115,6.85977e-01,6.89667e-01,1.06544e-02,1.53
116,6.85692e-01,6.91667e-01,1.06487e-02,1.53
117,6.82770e-01,6.95000e-01,1.06686e-02,1.52
118,6.84979e-01,6.95333e-01,1.06470e-02,1.53
119,6.86832e-01,6.92000e-01,1.06475e-02,1.54
120,6.85051e-01,6.89667e-01,1.06544e-02,1.53
121,6.84267e-01,6.95667e-01,1.06493e-02,1.53
122,6.87402e-01,6.91667e-01,1.06481e-02,1.53
123,6.85336e-01,6.93667e-01,1.06435e-02,1.53
124,6.86618e-01,6.92667e-01,1.06458e-02,1.51
125,6.84908e-01,6.90667e-01,1.06478e-02,1.52
126,6.84124e-01,6.88667e-01,1.06585e-02,1.52
127,6.88898e-01,6.92333e-01,1.06388e-02,1.53
128,6.85763e-01,6.92333e-01,1.06533e-02,1.52
129,6.83839e-01,6.91667e-01,1.06556e-02,1.53
130,6.87117e-01,6.93000e-01,1.06411e-02,1.52
131,6.90038e-01,6.92667e-01,1.06349e-02,1.53
132,6.88685e-01,6.89333e-01,1.06409e-02,1.52
133,6.82557e-01,6.96667e-01,1.06624e-02,1.54
134,6.83554e-01,6.97333e-01,1.06504e-02,1.54
135,6.88613e-01,6.89333e-01,1.06323e-02,1.55
136,6.85906e-01,6.95667e-01,1.06460e-02,1.54
137,6.85692e-01,6.96667e-01,1.06503e-02,1.55
138,6.88471e-01,6.88333e-01,1.06316e-02,1.54
139,6.87402e-01,6.95000e-01,1.06346e-02,1.54
140,6.89041e-01,6.94000e-01,1.06216e-02,1.54
141,6.87687e-01,6.95000e-01,1.06376e-02,1.55
142,6.88186e-01,6.92333e-01,1.06315e-02,1.55
143,6.85834e-01,6.97333e-01,1.06489e-02,1.55
144,6.87901e-01,6.94667e-01,1.06304e-02,1.54
145,6.86333e-01,6.92000e-01,1.06445e-02,1.54
146,6.84837e-01,6.98000e-01,1.06549e-02,1.55
147,6.86262e-01,6.93000e-01,1.06502e-02,1.56
148,6.83839e-01,6.96333e-01,1.06514e-02,1.54
149,6.88328e-01,6.93333e-01,1.06359e-02,1.54
150,6.86547e-01,6.96000e-01,1.06484e-02,1.54
151,6.88257e-01,6.89333e-01,1.06282e-02,1.55
152,6.87188e-01,6.94333e-01,1.06316e-02,1.54
153,6.89825e-01,6.89333e-01,1.06195e-02,1.55
154,6.81773e-01,6.86333e-01,1.06618e-02,1.55
155,6.85906e-01,6.94000e-01,1.06409e-02,1.54
156,6.90751e-01,6.95000e-01,1.06273e-02,1.55
157,6.85621e-01,6.99000e-01,1.06572e-02,1.55
158,6.88257e-01,6.95333e-01,1.06269e-02,1.55
159,6.87473e-01,6.93333e-01,1.06330e-02,1.54
160,6.88328e-01,6.93667e-01,1.06319e-02,1.54
161,6.86832e-01,6.94667e-01,1.06311e-02,1.55
162,6.90038e-01,6.94667e-01,1.06219e-02,1.56
163,6.85834e-01,6.90667e-01,1.06418e-02,1.54
164,6.83340e-01,6.95333e-01,1.06588e-02,1.54
165,6.90324e-01,6.91000e-01,1.06138e-02,1.54
166,6.86547e-01,6.94333e-01,1.06333e-02,1.54
167,6.88471e-01,6.90000e-01,1.06235e-02,1.54
168,6.89753e-01,6.96333e-01,1.06163e-02,1.54
169,6.85621e-01,6.85000e-01,1.06399e-02,1.55
170,6.89041e-01,6.96667e-01,1.06329e-02,1.54
171,6.87616e-01,6.92667e-01,1.06325e-02,1.54
172,6.89967e-01,6.95000e-01,1.06225e-02,1.54
173,6.88756e-01,6.97333e-01,1.06260e-02,1.54
174,6.89468e-01,6.90667e-01,1.06301e-02,1.54
175,6.88043e-01,6.98000e-01,1.06217e-02,1.54
176,6.88756e-01,6.94000e-01,1.06141e-02,1.56
177,6.86832e-01,6.92000e-01,1.06356e-02,1.55
178,6.89896e-01,6.93333e-01,1.06159e-02,1.55
179,6.88471e-01,6.98333e-01,1.06177e-02,1.55
180,6.84837e-01,6.98667e-01,1.06358e-02,1.55
181,6.89041e-01,6.95000e-01,1.06138e-02,1.54
182,6.87758e-01,6.95000e-01,1.06362e-02,1.55
183,6.85692e-01,6.96667e-01,1.06255e-02,1.54
184,6.86119e-01,6.95000e-01,1.06327e-02,1.54
185,6.89896e-01,6.93333e-01,1.06150e-02,1.54
186,6.89753e-01,6.94667e-01,1.06288e-02,1.54
187,6.90038e-01,6.96667e-01,1.06140e-02,1.54
188,6.88613e-01,6.91333e-01,1.06172e-02,1.55
189,6.87830e-01,6.92333e-01,1.06310e-02,1.55
190,6.89041e-01,6.96000e-01,1.06187e-02,1.55
191,6.86974e-01,6.96667e-01,1.06384e-02,1.54
192,6.87046e-01,6.94667e-01,1.06276e-02,1.55
193,6.88115e-01,6.95333e-01,1.06251e-02,1.55
194,6.88257e-01,6.94000e-01,1.06246e-02,1.55
195,6.89041e-01,6.94333e-01,1.06231e-02,1.54
196,6.88756e-01,6.93000e-01,1.06249e-02,1.55
197,6.87046e-01,6.98667e-01,1.06279e-02,1.55
198,6.90965e-01,6.94667e-01,1.06135e-02,1.55
199,6.87545e-01,6.98333e-01,1.06318e-02,1.54
200,6.87758e-01,6.94000e-01,1.06238e-02,1.55
