epoch,itr,loss,mask-A,mask-B,time (ms)
1,0,1.097110e-04,25.00000,16.00000,1219
1,1,1.824358e-03,33.00000,12.00000,562
1,2,1.338544e-04,18.00000,20.00000,480
1,3,1.474392e-04,23.00000,16.00000,480
1,4,1.375326e-04,11.00000,20.00000,504
1,5,1.365854e-04,17.00000,20.00000,475
1,6,1.385848e-04,25.00000,16.00000,488
1,7,1.008804e-04,17.00000,20.00000,466
1,8,1.031961e-04,15.00000,20.00000,459
1,9,1.393868e-04,27.00000,16.00000,505
1,10,1.513778e-04,25.00000,16.00000,499
1,11,1.321524e-04,27.00000,16.00000,510
1,12,1.225690e-04,20.00000,16.00000,470
1,13,1.326125e-04,26.00000,16.00000,492
1,14,1.182378e-04,21.00000,16.00000,475
1,15,1.263633e-04,27.00000,16.00000,511
1,16,1.038377e-04,17.00000,16.00000,445
1,17,9.977294e-05,26.00000,16.00000,503
1,18,1.181291e-04,25.00000,16.00000,495
1,19,9.747858e-05,20.00000,20.00000,479
1,20,9.230831e-05,23.00000,16.00000,481
1,21,9.745655e-05,29.00000,16.00000,522
1,22,7.812692e-05,26.00000,16.00000,502
1,23,6.470230e-05,25.00000,16.00000,500
1,24,5.920055e-05,14.00000,20.00000,453
1,25,5.910882e-05,13.00000,20.00000,449
1,26,4.324282e-05,11.00000,20.00000,438
1,27,4.893903e-05,20.00000,20.00000,489
1,28,4.302619e-05,17.00000,20.00000,474
1,29,5.067810e-05,24.00000,16.00000,484
1,30,4.166903e-05,19.00000,20.00000,471
1,31,4.648765e-05,23.00000,16.00000,491
1,32,3.711537e-05,14.00000,20.00000,455
1,33,3.307468e-05,19.00000,20.00000,480
1,34,2.961155e-05,17.00000,20.00000,468
1,35,4.103772e-05,23.00000,16.00000,489
1,36,3.351278e-05,24.00000,16.00000,495
1,37,2.624531e-05,17.00000,20.00000,473
1,38,3.167597e-05,21.00000,16.00000,480
1,39,3.800016e-05,33.00000,12.00000,525
1,40,3.148792e-05,25.00000,16.00000,508
1,41,2.922204e-05,25.00000,16.00000,504
1,42,1.984178e-05,19.00000,20.00000,483
1,43,2.291504e-05,26.00000,16.00000,508
1,44,2.094915e-05,20.00000,20.00000,493
1,45,2.142351e-05,26.00000,16.00000,506
1,46,2.147946e-05,17.00000,20.00000,475
