epoch,train_accuracy,val_accuracy,loss,time
1,3.42882e-01,4.74000e-01,1.33533e-02,1.534651928988751
2,5.27006e-01,5.46333e-01,1.22798e-02,1.5183312259614468
3,5.63132e-01,5.36667e-01,1.19274e-02,1.5613324450096115
4,5.72823e-01,5.58000e-01,1.17688e-02,1.5313822079915553
5,5.78025e-01,5.67333e-01,1.16667e-02,1.5413477559923194
6,5.82728e-01,5.78000e-01,1.15990e-02,1.5513082859688438
7,5.85079e-01,5.80667e-01,1.15613e-02,1.5305157030234113
8,5.86077e-01,5.69000e-01,1.15269e-02,1.5247293050051667
9,5.94271e-01,5.81667e-01,1.14866e-02,1.521149231994059
10,5.93701e-01,5.75667e-01,1.14653e-02,1.5209067790419795
11,5.94556e-01,5.84000e-01,1.14447e-02,1.5404794230125844
12,5.96195e-01,5.85667e-01,1.14263e-02,1.5312526260386221
13,5.98760e-01,5.87667e-01,1.14035e-02,1.5398907179478556
14,5.96765e-01,5.86667e-01,1.13950e-02,1.517996700014919
15,5.98119e-01,5.89333e-01,1.13838e-02,1.508602281974163
16,5.97905e-01,5.91667e-01,1.13706e-02,1.5229209910030477
17,5.99188e-01,5.91667e-01,1.13640e-02,1.5273693109629676
18,6.00898e-01,5.91000e-01,1.13565e-02,1.513771825004369
19,6.03249e-01,5.95333e-01,1.13430e-02,1.5181605509715155
20,6.04603e-01,5.86333e-01,1.13264e-02,1.5182763320044614
21,6.06028e-01,5.98333e-01,1.13228e-02,1.530596474010963
22,6.03748e-01,5.95000e-01,1.13131e-02,1.5290191440144554
23,6.07667e-01,5.92000e-01,1.13036e-02,1.5315827240119688
24,6.06670e-01,5.92000e-01,1.12994e-02,1.5097869310411625
25,6.06812e-01,5.96333e-01,1.12950e-02,1.5164742170018144
26,6.07596e-01,5.95667e-01,1.12911e-02,1.5155469139572233
27,6.10375e-01,5.89333e-01,1.12828e-02,1.513463007984683
28,6.07738e-01,5.97333e-01,1.12795e-02,1.5107899470021948
29,6.08736e-01,5.97333e-01,1.12717e-02,1.523745292040985
30,6.09235e-01,6.02000e-01,1.12731e-02,1.5122594779822975
31,6.10517e-01,5.99667e-01,1.12632e-02,1.5069257959839888
32,6.09662e-01,6.00333e-01,1.12599e-02,1.5180958400014788
33,6.11444e-01,6.00667e-01,1.12509e-02,1.5269981640158221
34,6.11586e-01,6.03000e-01,1.12495e-02,1.5119260780047625
35,6.12085e-01,6.05000e-01,1.12440e-02,1.5209555780165829
36,6.12441e-01,6.03667e-01,1.12439e-02,1.528159502951894
37,6.11657e-01,6.03667e-01,1.12373e-02,1.5289784820051864
