epoch,itr,loss,mask-A,mask-B,time (ms)
1,0,1.738431e-04,15.00000,20.00000,1301
1,1,1.213856e-03,17.00000,16.00000,488
1,2,1.593441e-04,19.00000,20.00000,477
1,3,2.166730e-04,37.00000,12.00000,543
1,4,1.439110e-04,14.00000,20.00000,495
1,5,1.995656e-04,29.00000,16.00000,511
1,6,1.604596e-04,20.00000,20.00000,490
1,7,1.681311e-04,21.00000,16.00000,475
1,8,1.381116e-04,15.00000,20.00000,457
1,9,1.609164e-04,25.00000,16.00000,491
1,10,2.004614e-04,25.00000,16.00000,498
1,11,1.644407e-04,24.00000,16.00000,507
1,12,1.649994e-04,21.00000,16.00000,472
1,13,1.658360e-04,22.00000,16.00000,479
1,14,1.540234e-04,18.00000,20.00000,487
1,15,1.455486e-04,20.00000,16.00000,465
1,16,1.534913e-04,25.00000,16.00000,500
1,17,1.269125e-04,27.00000,16.00000,503
1,18,1.809470e-04,26.00000,16.00000,504
1,19,1.325947e-04,23.00000,16.00000,484
1,20,1.305507e-04,25.00000,16.00000,501
1,21,1.174733e-04,27.00000,16.00000,508
1,22,1.001161e-04,24.00000,16.00000,498
1,23,9.295461e-05,27.00000,16.00000,501
1,24,8.386200e-05,19.00000,20.00000,483
1,25,6.851354e-05,16.00000,20.00000,477
1,26,5.684160e-05,18.00000,20.00000,475
1,27,7.312767e-05,20.00000,20.00000,481
1,28,5.734304e-05,20.00000,20.00000,489
1,29,5.764410e-05,21.00000,16.00000,477
1,30,6.058781e-05,20.00000,20.00000,482
1,31,7.165495e-05,26.00000,16.00000,495
1,32,4.656495e-05,20.00000,20.00000,484
1,33,4.548179e-05,18.00000,20.00000,477
1,34,3.410658e-05,21.00000,20.00000,494
1,35,6.148980e-05,21.00000,16.00000,479
1,36,4.310658e-05,24.00000,16.00000,496
1,37,3.934139e-05,16.00000,20.00000,483
1,38,4.888452e-05,24.00000,16.00000,496
1,39,5.492042e-05,35.00000,12.00000,611
1,40,4.263555e-05,24.00000,16.00000,496
1,41,4.416700e-05,23.00000,16.00000,492
1,42,2.917667e-05,16.00000,20.00000,468
1,43,3.702650e-05,21.00000,16.00000,478
