epoch,loss,variance
1,-2.106934e-03,5.064566e-03
2,-1.872470e-03,4.041081e-03
3,2.565304e-04,1.603615e-05
4,-2.048637e-06,3.324006e-11
5,-2.206410e-07,8.059295e-06
6,-2.992891e-06,7.562908e-06
7,2.301347e-07,5.230772e-11
8,-3.290649e-06,6.602754e-06
9,-8.856894e-07,6.602601e-06
10,-1.044932e-03,3.590075e-03
11,-1.084442e-04,5.339108e-03
12,3.059056e-03,5.213116e-03
13,4.578268e-03,4.843136e-03
14,7.511500e-03,5.000019e-13
15,7.749969e-03,5.542302e-13
16,7.691409e-03,6.448273e-13
17,7.866301e-03,7.865934e-13
18,7.736901e-03,8.238368e-13
19,7.597690e-03,8.982483e-13
20,7.697508e-03,1.046253e-12
21,7.612064e-03,1.332980e-12
22,7.709803e-03,1.624414e-12
23,7.547517e-03,2.062906e-12
24,7.650523e-03,3.189058e-12
25,7.593394e-03,4.699868e-12
26,7.542768e-03,8.334534e-12
27,7.741660e-03,2.058461e-11
28,7.664628e-03,9.484686e-11
29,6.770373e-03,1.798015e-03
30,4.530466e-03,5.252800e-03
31,4.630424e-03,5.000402e-03
32,4.519961e-03,4.804563e-03
33,4.273821e-03,5.587358e-03
34,4.647962e-03,5.254611e-03
35,4.595972e-03,5.460861e-03
36,4.496220e-03,5.312747e-03
37,4.534134e-03,5.164609e-03
38,4.492765e-03,5.277894e-03
39,4.832336e-03,5.181799e-03
40,4.810553e-03,5.316081e-03
41,4.953930e-03,5.167996e-03
42,4.606140e-03,5.237625e-03
43,4.907160e-03,5.185966e-03
44,5.002155e-03,5.054806e-03
45,4.645532e-03,5.631079e-03
46,5.134459e-03,4.247725e-03
47,5.875999e-03,2.649356e-03
48,5.746050e-03,2.583364e-03
49,5.817357e-03,2.417619e-03
50,5.635371e-03,2.513647e-03
51,5.588932e-03,2.681595e-03
52,4.123561e-03,5.631779e-03
53,4.681469e-03,4.421956e-03
54,4.492665e-03,4.302811e-03
55,4.207707e-03,4.604673e-03
56,3.913425e-03,4.948222e-03
57,2.727059e-03,7.347226e-03
58,1.443446e-03,7.199402e-03
59,7.588384e-04,6.163553e-03
60,3.403116e-04,6.005455e-03
61,3.216810e-05,6.178222e-03
62,-2.498294e-04,6.582086e-03
63,-3.803882e-04,6.708428e-03
64,-1.807109e-04,6.139965e-03
65,-4.250651e-04,6.387345e-03
66,-5.184711e-04,6.651657e-03
67,-5.908356e-04,6.399880e-03
68,-9.455725e-04,7.303897e-03
69,-2.591343e-03,9.745905e-03
70,1.755562e-04,2.346844e-04
71,1.134971e-05,1.708613e-04
72,-4.338346e-05,2.001461e-04
73,-8.759061e-05,1.982452e-04
74,-5.651488e-05,1.323731e-04
75,-2.339658e-06,3.505875e-16
76,-8.386807e-08,6.472904e-06
77,1.624848e-07,3.574268e-16
78,-2.055445e-06,3.680332e-16
79,-4.454906e-06,6.422690e-06
80,-2.251449e-06,1.002789e-05
81,-9.640393e-07,3.639669e-16
82,1.457637e-07,3.792570e-16
83,1.414979e-07,3.554670e-16
84,1.402080e-07,3.657049e-16
85,1.412541e-07,3.571767e-16
86,-9.742337e-07,6.406460e-06
87,1.389450e-07,3.714518e-16
88,-9.741447e-07,3.801985e-16
89,1.403180e-07,3.938729e-16
90,1.422358e-07,4.001936e-16
91,-9.664168e-07,4.280233e-16
92,-4.644047e-06,9.938343e-06
93,-9.806322e-07,3.720683e-16
94,-2.244508e-06,9.950898e-06
95,1.373366e-07,3.379024e-16
96,-2.248402e-06,3.705592e-16
97,1.412865e-07,3.731872e-16
98,-2.257317e-06,1.006405e-05
99,-9.716873e-07,6.470970e-06
100,1.439506e-07,3.949700e-16
101,-9.715082e-07,3.650021e-16
102,-2.245757e-06,9.940804e-06
103,-9.705751e-07,6.415455e-06
104,1.413312e-07,3.624485e-16
105,-9.431773e-06,3.011955e-05
