epoch,itr,loss,mask-A,mask-B,time (ms)
1,0,8.148883e-03,20.00000,16.00000,1368
1,1,3.279774e-02,16.00000,20.00000,578
1,2,1.093445e-02,34.00000,12.00000,615
1,3,1.025989e-02,21.00000,16.00000,545
1,4,9.551859e-03,14.00000,20.00000,615
1,5,1.173330e-02,25.00000,16.00000,573
1,6,1.003217e-02,18.00000,20.00000,577
1,7,8.978693e-03,21.00000,20.00000,588
1,8,8.759493e-03,24.00000,16.00000,549
1,9,7.828952e-03,18.00000,20.00000,561
1,10,1.071329e-02,26.00000,16.00000,578
1,11,9.566018e-03,25.00000,16.00000,583
1,12,1.051267e-02,26.00000,16.00000,562
1,13,9.072129e-03,24.00000,16.00000,558
1,14,9.238413e-03,27.00000,16.00000,591
1,15,9.638380e-03,17.00000,16.00000,538
1,16,8.853683e-03,24.00000,16.00000,560
1,17,7.630146e-03,24.00000,16.00000,569
1,18,8.178962e-03,23.00000,16.00000,551
1,19,8.329821e-03,25.00000,16.00000,562
1,20,6.944661e-03,18.00000,20.00000,586
1,21,8.101674e-03,24.00000,16.00000,566
1,22,7.364937e-03,22.00000,16.00000,563
1,23,6.108477e-03,22.00000,16.00000,545
1,24,5.034899e-03,17.00000,20.00000,548
1,25,4.948113e-03,14.00000,20.00000,518
1,26,4.221363e-03,23.00000,20.00000,626
1,27,4.680512e-03,8.00000,20.00000,500
1,28,4.601042e-03,16.00000,20.00000,535
1,29,4.676414e-03,25.00000,16.00000,579
1,30,4.175536e-03,17.00000,20.00000,540
1,31,5.059841e-03,21.00000,16.00000,565
1,32,3.275676e-03,23.00000,20.00000,581
1,33,3.740275e-03,20.00000,20.00000,583
1,34,2.944172e-03,19.00000,20.00000,545
1,35,4.388798e-03,26.00000,16.00000,570
1,36,3.170174e-03,25.00000,16.00000,579
1,37,2.722447e-03,16.00000,20.00000,601
1,38,3.610496e-03,21.00000,16.00000,562
1,39,4.019448e-03,34.00000,12.00000,595
1,40,3.544932e-03,23.00000,16.00000,551
1,41,3.837307e-03,21.00000,16.00000,565
1,42,2.811790e-03,20.00000,20.00000,544
1,43,3.144518e-03,26.00000,16.00000,574
1,44,2.592717e-03,16.00000,20.00000,555
1,45,2.838952e-03,26.00000,16.00000,576
1,46,2.699822e-03,21.00000,20.00000,551
1,47,3.469937e-03,35.00000,12.00000,656
1,48,3.337073e-03,24.00000,16.00000,577
1,49,4.142231e-03,35.00000,12.00000,630
1,50,2.309851e-03,20.00000,20.00000,566
1,51,2.484419e-03,15.00000,20.00000,551
1,52,1.607124e-03,19.00000,20.00000,551
1,53,1.528931e-03,14.00000,20.00000,553
1,54,1.984268e-03,20.00000,16.00000,560
1,55,1.957151e-03,17.00000,20.00000,554
1,56,2.205848e-03,19.00000,20.00000,570
1,57,2.019185e-03,22.00000,16.00000,540
1,58,1.777274e-03,27.00000,16.00000,582
1,59,2.360148e-03,21.00000,16.00000,554
1,60,3.131497e-03,33.00000,12.00000,609
1,61,2.498243e-03,34.00000,12.00000,619
1,62,1.309951e-03,19.00000,20.00000,574
1,63,1.585937e-03,19.00000,20.00000,563
1,64,2.356292e-03,33.00000,12.00000,609
1,65,1.667956e-03,19.00000,20.00000,559
1,66,2.032553e-03,24.00000,16.00000,579
1,67,2.311704e-03,19.00000,20.00000,571
1,68,2.428510e-03,24.00000,16.00000,585
1,69,1.284565e-03,15.00000,20.00000,562
1,70,2.318477e-03,27.00000,16.00000,600
1,71,1.292926e-03,22.00000,16.00000,564
1,72,2.039045e-03,21.00000,16.00000,566
1,73,1.909723e-03,21.00000,16.00000,580
1,74,1.309258e-03,22.00000,20.00000,569
1,75,9.713143e-04,12.00000,20.00000,546
1,76,1.509382e-03,27.00000,16.00000,574
1,77,1.534232e-03,20.00000,16.00000,589
1,78,1.440755e-03,21.00000,16.00000,547
1,79,1.845897e-03,24.00000,16.00000,570
1,80,1.482248e-03,16.00000,20.00000,532
1,81,1.469505e-03,21.00000,20.00000,569
1,82,1.570550e-03,21.00000,16.00000,561
1,83,1.224371e-03,25.00000,20.00000,595
1,84,1.349634e-03,15.00000,20.00000,548
1,85,1.059677e-03,14.00000,20.00000,562
1,86,1.036762e-03,15.00000,20.00000,547
1,87,2.004639e-03,33.00000,12.00000,594
1,88,9.707338e-04,18.00000,20.00000,570
1,89,1.136080e-03,18.00000,20.00000,540
1,90,1.570440e-03,23.00000,16.00000,546
1,91,1.645791e-03,29.00000,16.00000,579
1,92,1.363406e-03,19.00000,20.00000,543
1,93,1.383208e-03,22.00000,16.00000,542
1,94,1.307927e-03,25.00000,16.00000,559
1,95,1.509462e-03,23.00000,16.00000,566
1,96,1.091948e-03,16.00000,20.00000,527
1,97,1.170670e-03,25.00000,16.00000,559
1,98,1.581909e-03,24.00000,16.00000,554
1,99,1.321264e-03,25.00000,16.00000,583
1,100,1.015938e-03,21.00000,16.00000,536
1,101,1.223549e-03,20.00000,16.00000,533
1,102,1.762547e-03,36.00000,12.00000,612
1,103,1.099538e-03,18.00000,20.00000,538
1,104,1.005465e-03,16.00000,20.00000,526
1,105,1.099673e-03,21.00000,16.00000,566
1,106,1.490155e-03,25.00000,16.00000,572
1,107,1.199611e-03,20.00000,20.00000,548
1,108,8.750570e-04,19.00000,20.00000,536
2,0,1.043677e-03,21.00000,16.00000,2180
2,1,1.617116e-03,24.00000,16.00000,560
2,2,1.160642e-03,20.00000,16.00000,582
2,3,9.384633e-04,35.00000,12.00000,617
2,4,1.092066e-03,21.00000,16.00000,548
2,5,1.227013e-03,36.00000,12.00000,603
2,6,7.529284e-04,15.00000,20.00000,530
2,7,6.700234e-04,16.00000,20.00000,540
2,8,7.693796e-04,18.00000,20.00000,537
2,9,9.574743e-04,21.00000,16.00000,551
2,10,8.044863e-04,21.00000,20.00000,548
2,11,1.116669e-03,23.00000,16.00000,557
2,12,7.818448e-04,24.00000,16.00000,546
2,13,6.822298e-04,24.00000,16.00000,556
2,14,1.035253e-03,24.00000,16.00000,566
2,15,1.052832e-03,19.00000,20.00000,534
2,16,9.823178e-04,23.00000,16.00000,563
2,17,1.348884e-03,25.00000,16.00000,617
2,18,1.787597e-03,35.00000,12.00000,632
2,19,1.044865e-03,19.00000,20.00000,560
2,20,1.452349e-03,35.00000,12.00000,610
2,21,1.554388e-03,24.00000,16.00000,607
2,22,7.960387e-04,29.00000,16.00000,577
2,23,8.671067e-04,19.00000,20.00000,548
2,24,1.053476e-03,27.00000,16.00000,625
2,25,8.801611e-04,14.00000,20.00000,542
2,26,9.685945e-04,21.00000,16.00000,533
2,27,7.677346e-04,25.00000,16.00000,569
2,28,7.961884e-04,16.00000,20.00000,546
2,29,8.991103e-04,16.00000,20.00000,553
2,30,8.787723e-04,14.00000,20.00000,532
2,31,7.852241e-04,25.00000,16.00000,577
2,32,8.734408e-04,20.00000,20.00000,553
2,33,6.961274e-04,14.00000,20.00000,510
2,34,6.747165e-04,18.00000,20.00000,536
2,35,9.228296e-04,18.00000,20.00000,560
2,36,8.964231e-04,23.00000,16.00000,577
2,37,9.372089e-04,25.00000,16.00000,566
2,38,7.629850e-04,12.00000,20.00000,507
2,39,7.502646e-04,26.00000,16.00000,575
2,40,9.680669e-04,13.00000,20.00000,552
2,41,6.135753e-04,13.00000,20.00000,530
2,42,9.575859e-04,33.00000,12.00000,586
2,43,6.396327e-04,19.00000,20.00000,546
2,44,1.040699e-03,17.00000,20.00000,557
2,45,8.072874e-04,21.00000,20.00000,551
2,46,5.804310e-04,11.00000,20.00000,518
2,47,9.546021e-04,26.00000,16.00000,571
2,48,8.709567e-04,20.00000,16.00000,547
2,49,5.648081e-04,22.00000,20.00000,569
2,50,9.714694e-04,14.00000,20.00000,530
2,51,1.144314e-03,20.00000,16.00000,536
2,52,4.891421e-04,17.00000,20.00000,535
2,53,8.323230e-04,23.00000,16.00000,553
2,54,1.112294e-03,17.00000,16.00000,519
2,55,8.642498e-04,23.00000,16.00000,571
2,56,1.006560e-03,23.00000,16.00000,553
2,57,1.230517e-03,21.00000,16.00000,536
2,58,9.645211e-04,17.00000,20.00000,533
2,59,1.294744e-03,36.00000,12.00000,643
2,60,8.512871e-04,21.00000,16.00000,575
2,61,8.362685e-04,26.00000,16.00000,569
2,62,9.047566e-04,23.00000,16.00000,564
2,63,6.949822e-04,24.00000,16.00000,576
2,64,5.514567e-04,18.00000,20.00000,562
2,65,8.405222e-04,19.00000,20.00000,573
2,66,1.203376e-03,17.00000,16.00000,641
2,67,9.472793e-04,25.00000,16.00000,577
2,68,7.847463e-04,16.00000,20.00000,576
2,69,7.201047e-04,28.00000,16.00000,640
2,70,9.882050e-04,20.00000,16.00000,580
2,71,1.319437e-03,36.00000,12.00000,628
2,72,8.653540e-04,27.00000,16.00000,579
2,73,1.163642e-03,25.00000,16.00000,592
2,74,7.888161e-04,18.00000,20.00000,558
2,75,1.027038e-03,20.00000,16.00000,535
2,76,8.984207e-04,26.00000,16.00000,579
2,77,9.052622e-04,20.00000,20.00000,563
2,78,1.174528e-03,25.00000,16.00000,561
2,79,1.155008e-03,35.00000,12.00000,632
2,80,1.155329e-03,27.00000,16.00000,577
2,81,1.092024e-03,18.00000,20.00000,545
2,82,8.336478e-04,19.00000,20.00000,554
2,83,8.757517e-04,16.00000,20.00000,531
2,84,8.832777e-04,14.00000,20.00000,544
2,85,1.152300e-03,13.00000,20.00000,540
2,86,1.097083e-03,27.00000,16.00000,579
2,87,1.019926e-03,25.00000,16.00000,552
2,88,1.481110e-03,17.00000,16.00000,545
2,89,1.202496e-03,20.00000,16.00000,529
2,90,1.720157e-03,14.00000,20.00000,548
2,91,1.245368e-03,19.00000,20.00000,538
2,92,1.465051e-03,26.00000,16.00000,570
2,93,1.392006e-03,17.00000,16.00000,516
2,94,1.563475e-03,33.00000,12.00000,587
2,95,1.261833e-03,17.00000,16.00000,517
2,96,9.877522e-04,15.00000,20.00000,550
2,97,1.373745e-03,25.00000,16.00000,560
2,98,1.079896e-03,19.00000,20.00000,542
2,99,1.288831e-03,28.00000,16.00000,576
2,100,1.252820e-03,16.00000,20.00000,540
2,101,1.338224e-03,21.00000,16.00000,537
2,102,1.714314e-03,36.00000,12.00000,614
2,103,1.187194e-03,18.00000,20.00000,562
2,104,9.133167e-04,18.00000,20.00000,539
2,105,1.536338e-03,21.00000,16.00000,537
2,106,1.225223e-03,20.00000,16.00000,606
2,107,9.498355e-04,24.00000,16.00000,548
2,108,1.716491e-03,20.00000,16.00000,531
