pretrain_checkpoint_epoch,epoch,train_accuracy,val_accuracy,loss,time
100,1,1.75574e-01,3.13667e-01,1.41559e-02,1.59
100,2,2.22745e-01,3.06667e-01,1.39125e-02,1.54
100,3,2.65071e-01,3.06333e-01,1.37148e-02,1.54
100,4,2.80248e-01,3.18000e-01,1.36130e-02,1.54
100,5,2.94214e-01,3.19000e-01,1.35335e-02,1.54
100,6,2.99487e-01,3.18000e-01,1.34790e-02,1.54
100,7,3.02337e-01,3.08333e-01,1.34181e-02,1.55
100,8,3.13026e-01,3.31000e-01,1.33742e-02,1.55
100,9,3.13952e-01,3.20667e-01,1.33440e-02,1.54
100,10,3.20436e-01,3.38333e-01,1.33230e-02,1.54
100,11,3.27562e-01,3.77667e-01,1.32877e-02,1.54
100,12,3.30198e-01,3.82667e-01,1.32623e-02,1.53
100,13,3.36112e-01,3.66333e-01,1.32300e-02,1.55
100,14,3.33690e-01,3.36667e-01,1.32367e-02,1.54
100,15,3.34687e-01,3.31000e-01,1.32346e-02,1.56
100,16,3.43238e-01,3.01000e-01,1.31725e-02,1.55
100,17,3.50720e-01,3.40333e-01,1.31540e-02,1.65
100,18,3.48725e-01,3.42333e-01,1.31340e-02,1.69
100,19,3.51432e-01,3.82000e-01,1.31234e-02,1.71
100,20,3.47584e-01,3.88667e-01,1.31109e-02,1.55
100,21,3.55138e-01,4.04000e-01,1.30952e-02,1.55
100,22,3.55351e-01,3.94667e-01,1.30999e-02,1.59
100,23,3.58273e-01,4.11333e-01,1.30908e-02,1.55
100,24,3.61693e-01,4.04667e-01,1.30646e-02,1.55
100,25,3.63474e-01,3.77333e-01,1.30474e-02,1.55
100,26,3.65612e-01,3.83667e-01,1.30365e-02,1.54
100,27,3.65968e-01,3.96000e-01,1.30163e-02,1.57
100,28,3.69887e-01,3.36000e-01,1.30119e-02,1.54
100,29,3.73593e-01,4.11333e-01,1.30139e-02,1.55
100,30,3.74662e-01,4.02333e-01,1.29968e-02,1.54
100,31,3.78438e-01,4.11667e-01,1.29778e-02,1.55
100,32,3.81645e-01,4.02667e-01,1.29706e-02,1.54
100,33,3.71455e-01,3.96667e-01,1.29895e-02,1.54
100,34,3.76942e-01,4.15667e-01,1.29629e-02,1.54
100,35,3.78367e-01,4.09000e-01,1.29473e-02,1.54
100,36,3.75588e-01,4.17667e-01,1.29768e-02,1.54
100,37,3.83426e-01,4.13667e-01,1.29319e-02,1.56
100,38,3.86134e-01,3.64667e-01,1.29232e-02,1.57
100,39,3.84709e-01,4.12333e-01,1.29089e-02,1.55
100,40,3.86632e-01,3.96000e-01,1.29144e-02,1.55
100,41,3.83996e-01,3.99000e-01,1.29173e-02,1.54
100,42,3.85136e-01,4.18333e-01,1.29119e-02,1.53
100,43,3.87986e-01,4.06000e-01,1.28961e-02,1.53
100,44,3.95254e-01,4.21000e-01,1.28801e-02,1.54
100,45,3.95254e-01,4.18333e-01,1.28728e-02,1.54
100,46,3.87559e-01,4.24333e-01,1.28894e-02,1.54
100,47,3.92190e-01,4.14000e-01,1.28725e-02,1.54
100,48,3.95468e-01,4.16333e-01,1.28605e-02,1.54
100,49,3.91620e-01,4.03333e-01,1.28687e-02,1.54
100,50,3.91620e-01,4.10333e-01,1.28636e-02,1.54
100,51,3.96822e-01,4.00333e-01,1.28624e-02,1.54
100,52,3.98532e-01,4.16000e-01,1.28315e-02,1.54
100,53,3.99316e-01,4.05333e-01,1.28314e-02,1.54
100,54,3.92832e-01,4.25333e-01,1.28730e-02,1.54
100,55,3.92760e-01,4.22000e-01,1.28479e-02,1.54
100,56,3.98746e-01,4.19000e-01,1.28381e-02,1.53
100,57,3.93758e-01,4.22667e-01,1.28522e-02,1.54
100,58,3.99672e-01,4.17667e-01,1.28319e-02,1.54
100,59,3.99957e-01,4.26667e-01,1.28124e-02,1.53
100,60,3.97606e-01,4.26667e-01,1.28164e-02,1.53
100,61,4.02736e-01,4.27667e-01,1.28219e-02,1.53
100,62,4.05444e-01,3.92000e-01,1.27982e-02,1.53
100,63,3.99672e-01,4.25667e-01,1.28099e-02,1.54
100,64,4.02736e-01,4.30333e-01,1.28018e-02,1.53
100,65,3.99601e-01,4.24667e-01,1.28040e-02,1.53
100,66,3.98888e-01,4.24667e-01,1.28101e-02,1.54
100,67,4.02309e-01,4.17667e-01,1.28025e-02,1.54
100,68,3.98176e-01,4.24000e-01,1.28143e-02,1.54
100,69,4.05088e-01,4.33000e-01,1.27872e-02,1.54
100,70,4.03021e-01,4.21333e-01,1.27838e-02,1.54
100,71,4.03805e-01,4.19000e-01,1.27886e-02,1.53
100,72,4.07297e-01,4.21000e-01,1.27673e-02,1.54
100,73,4.07012e-01,4.19667e-01,1.27645e-02,1.54
100,74,4.08223e-01,4.30000e-01,1.27780e-02,1.53
100,75,4.04019e-01,3.83667e-01,1.27804e-02,1.54
100,76,4.08508e-01,4.24667e-01,1.27542e-02,1.55
100,77,4.06869e-01,4.34333e-01,1.27752e-02,1.55
100,78,4.03876e-01,4.21333e-01,1.27835e-02,1.53
100,79,4.03092e-01,4.28333e-01,1.27897e-02,1.55
100,80,4.06584e-01,4.25000e-01,1.27577e-02,1.54
100,81,4.05871e-01,4.34333e-01,1.27732e-02,1.54
100,82,4.08223e-01,3.97667e-01,1.27557e-02,1.54
100,83,4.10646e-01,4.26333e-01,1.27447e-02,1.55
100,84,4.13425e-01,4.26333e-01,1.27341e-02,1.54
100,85,4.13496e-01,4.27333e-01,1.27399e-02,1.54
100,86,4.07225e-01,4.22333e-01,1.27585e-02,1.55
100,87,4.09434e-01,4.10667e-01,1.27475e-02,1.55
100,88,4.08935e-01,4.18667e-01,1.27640e-02,1.55
100,89,4.06085e-01,4.27667e-01,1.27647e-02,1.55
100,90,4.12284e-01,4.18333e-01,1.27357e-02,1.54
