epoch,loss,variance
1,3.711764e-05,2.254662e-07
2,3.682070e-06,2.022760e-10
3,2.663392e-06,4.754896e-10
4,2.412782e-06,1.734511e-09
5,2.155158e-06,3.510866e-09
6,2.172636e-06,3.795513e-09
7,2.423691e-06,4.772064e-09
8,4.013537e-06,2.940300e-08
9,8.493488e-06,8.553009e-08
10,1.214875e-05,1.361006e-07
11,1.296085e-05,1.904488e-07
12,1.460953e-05,1.936299e-07
13,1.414278e-05,1.793716e-07
14,8.085751e-06,1.022724e-07
15,3.524620e-06,5.577885e-08
16,1.709784e-06,2.547976e-08
17,9.736038e-07,1.596889e-08
18,6.169908e-07,9.475160e-09
19,4.443574e-07,6.597960e-09
20,3.456147e-07,5.204556e-09
21,2.815833e-07,4.190877e-09
22,2.449538e-07,4.014530e-09
23,2.148695e-07,3.026879e-09
24,1.998559e-07,3.171201e-09
25,1.839465e-07,2.731871e-09
26,1.709611e-07,2.713479e-09
27,1.692493e-07,2.780393e-09
28,1.610246e-07,2.592575e-09
29,1.571495e-07,2.727871e-09
30,1.463452e-07,2.241604e-09
31,1.412141e-07,2.329629e-09
32,1.325780e-07,2.010903e-09
33,1.290269e-07,2.131407e-09
34,1.258158e-07,2.150191e-09
35,1.255733e-07,2.275122e-09
36,1.190924e-07,1.954587e-09
37,1.110676e-07,1.957777e-09
38,1.061212e-07,1.755134e-09
39,1.026575e-07,1.875406e-09
40,9.846766e-08,1.813859e-09
41,9.529066e-08,1.787163e-09
42,9.321194e-08,1.626949e-09
43,9.039782e-08,1.722522e-09
44,8.912764e-08,1.797723e-09
45,8.647055e-08,1.749171e-09
46,8.213433e-08,1.465425e-09
47,8.139909e-08,1.558048e-09
48,8.130594e-08,1.538055e-09
49,7.548468e-08,1.550935e-09
50,7.470152e-08,1.428556e-09
51,7.282889e-08,1.440202e-09
52,7.133230e-08,1.322764e-09
53,7.176188e-08,1.512746e-09
54,7.184689e-08,1.491799e-09
55,7.307214e-08,1.560763e-09
56,7.273432e-08,1.527540e-09
57,7.475639e-08,1.546223e-09
58,7.732772e-08,1.826341e-09
59,7.796023e-08,1.655361e-09
60,7.822574e-08,1.740319e-09
61,7.924886e-08,1.651752e-09
62,8.132821e-08,1.969510e-09
63,8.058798e-08,1.734044e-09
64,8.108322e-08,1.835650e-09
65,8.293959e-08,1.906401e-09
66,8.337630e-08,1.763128e-09
67,8.487180e-08,1.749929e-09
68,8.642559e-08,1.977174e-09
69,8.694343e-08,1.940246e-09
70,8.682161e-08,1.723113e-09
71,9.057900e-08,2.217819e-09
72,8.952237e-08,2.007242e-09
73,9.132567e-08,2.117995e-09
74,9.579817e-08,2.164791e-09
75,9.900983e-08,2.023635e-09
76,1.031355e-07,2.147746e-09
77,1.037658e-07,2.429022e-09
78,1.067515e-07,2.397854e-09
79,1.005260e-07,2.643227e-09
80,9.526070e-08,2.466817e-09
81,9.457154e-08,2.489453e-09
82,9.392685e-08,2.598685e-09
83,9.439270e-08,2.605670e-09
84,9.325461e-08,2.618417e-09
85,9.365407e-08,2.718047e-09
86,9.220105e-08,2.598285e-09
87,9.395830e-08,2.840369e-09
88,9.388702e-08,2.883425e-09
89,9.703559e-08,2.962730e-09
90,9.619083e-08,2.994556e-09
91,9.838065e-08,3.255562e-09
92,9.758569e-08,3.014909e-09
93,9.529633e-08,2.958569e-09
