epoch,itr,loss,mask-A,mask-B,time (ms)
1,0,1.066237e-04,16.00000,20.00000,974
1,1,7.272131e-04,26.00000,16.00000,545
1,2,1.607181e-04,23.00000,16.00000,472
1,3,1.218560e-04,19.00000,20.00000,474
1,4,1.145258e-04,20.00000,16.00000,457
1,5,1.283491e-04,21.00000,20.00000,476
1,6,1.144280e-04,19.00000,20.00000,470
1,7,1.735035e-04,33.00000,12.00000,509
1,8,1.145422e-04,17.00000,20.00000,483
1,9,1.567811e-04,25.00000,16.00000,515
1,10,1.195616e-04,26.00000,16.00000,489
1,11,1.509751e-04,25.00000,16.00000,487
1,12,9.969664e-05,21.00000,16.00000,450
1,13,1.176097e-04,21.00000,16.00000,460
1,14,1.050376e-04,27.00000,16.00000,494
1,15,8.031167e-05,20.00000,20.00000,474
1,16,1.013633e-04,25.00000,16.00000,494
1,17,7.994375e-05,26.00000,16.00000,491
1,18,7.263625e-05,18.00000,16.00000,448
1,19,8.270281e-05,21.00000,16.00000,466
1,20,8.236677e-05,25.00000,16.00000,486
1,21,6.646152e-05,25.00000,16.00000,486
1,22,6.116962e-05,22.00000,16.00000,470
1,23,6.930297e-05,24.00000,16.00000,481
1,24,3.819284e-05,20.00000,20.00000,471
1,25,3.962079e-05,14.00000,20.00000,445
1,26,3.439152e-05,19.00000,20.00000,473
1,27,3.150898e-05,20.00000,20.00000,474
1,28,3.337448e-05,16.00000,20.00000,453
1,29,3.255014e-05,24.00000,16.00000,481
1,30,2.669388e-05,13.00000,20.00000,459
1,31,2.933335e-05,21.00000,16.00000,466
1,32,2.759536e-05,23.00000,20.00000,489
1,33,2.072226e-05,17.00000,20.00000,463
1,34,2.130319e-05,17.00000,20.00000,455
1,35,2.581151e-05,26.00000,16.00000,489
1,36,2.195744e-05,25.00000,16.00000,489
1,37,1.948383e-05,12.00000,20.00000,451
1,38,2.215597e-05,20.00000,16.00000,459
1,39,2.402983e-05,33.00000,12.00000,515
1,40,1.968276e-05,27.00000,16.00000,496
1,41,1.848542e-05,25.00000,16.00000,486
1,42,1.393983e-05,17.00000,20.00000,463
1,43,1.866129e-05,26.00000,16.00000,492
1,44,1.437268e-05,17.00000,20.00000,452
1,45,1.514938e-05,24.00000,16.00000,482
1,46,1.164124e-05,14.00000,20.00000,473
1,47,2.164617e-05,33.00000,12.00000,527
1,48,1.363351e-05,20.00000,16.00000,460
1,49,1.906258e-05,34.00000,12.00000,522
1,50,1.159481e-05,18.00000,20.00000,468
1,51,1.126023e-05,15.00000,20.00000,451
1,52,1.162335e-05,20.00000,20.00000,476
1,53,9.825685e-06,14.00000,20.00000,445
1,54,1.185949e-05,23.00000,16.00000,475
1,55,9.769393e-06,18.00000,20.00000,468
1,56,7.471150e-06,20.00000,20.00000,477
1,57,1.047204e-05,21.00000,16.00000,470
1,58,1.061318e-05,25.00000,16.00000,489
1,59,1.557699e-05,21.00000,16.00000,469
1,60,1.034232e-05,33.00000,12.00000,516
1,61,1.381315e-05,33.00000,12.00000,517
1,62,6.144761e-06,13.00000,20.00000,441
1,63,8.150450e-06,17.00000,20.00000,463
1,64,1.330577e-05,33.00000,12.00000,518
1,65,8.466073e-06,17.00000,20.00000,465
1,66,8.407347e-06,21.00000,16.00000,471
1,67,6.539121e-06,18.00000,20.00000,460
1,68,9.034351e-06,24.00000,16.00000,484
1,69,8.370857e-06,12.00000,20.00000,438
1,70,8.060038e-06,20.00000,16.00000,498
1,71,1.010991e-05,21.00000,16.00000,470
1,72,9.831147e-06,21.00000,16.00000,468
1,73,9.518360e-06,27.00000,16.00000,500
1,74,5.996682e-06,14.00000,20.00000,448
1,75,7.388123e-06,16.00000,20.00000,453
1,76,6.878119e-06,21.00000,16.00000,511
1,77,7.509725e-06,26.00000,16.00000,494
1,78,7.544378e-06,21.00000,16.00000,471
1,79,7.737064e-06,21.00000,16.00000,470
1,80,4.568396e-06,20.00000,20.00000,484
1,81,5.226674e-06,8.00000,20.00000,419
1,82,7.727058e-06,26.00000,16.00000,485
1,83,5.282790e-06,16.00000,20.00000,453
1,84,6.191259e-06,19.00000,20.00000,474
1,85,6.880162e-06,18.00000,20.00000,470
1,86,4.472769e-06,19.00000,20.00000,475
1,87,9.078984e-06,34.00000,12.00000,516
1,88,4.713596e-06,18.00000,20.00000,471
