epoch,itr,loss,mask-A,mask-B,time (ms)
1,0,7.697820e-03,23.00000,16.00000,1377
1,1,2.838778e-02,16.00000,20.00000,577
1,2,9.152590e-03,19.00000,20.00000,469
1,3,8.630373e-03,20.00000,16.00000,463
1,4,7.283024e-03,9.00000,20.00000,454
1,5,1.117917e-02,23.00000,16.00000,469
1,6,8.865976e-03,19.00000,20.00000,478
1,7,1.107623e-02,18.00000,20.00000,507
1,8,7.878224e-03,26.00000,16.00000,479
1,9,6.895403e-03,18.00000,20.00000,453
1,10,8.908274e-03,26.00000,16.00000,480
1,11,1.175376e-02,25.00000,16.00000,484
1,12,7.725833e-03,21.00000,16.00000,461
1,13,9.522954e-03,21.00000,16.00000,461
1,14,1.048456e-02,33.00000,12.00000,494
1,15,9.168621e-03,21.00000,16.00000,460
1,16,9.077271e-03,27.00000,16.00000,489
1,17,7.541849e-03,25.00000,16.00000,492
1,18,5.725962e-03,18.00000,16.00000,467
1,19,8.040734e-03,21.00000,16.00000,470
1,20,8.633285e-03,25.00000,16.00000,472
1,21,6.965390e-03,25.00000,16.00000,490
1,22,6.860815e-03,22.00000,16.00000,456
1,23,7.521478e-03,24.00000,16.00000,477
1,24,4.041355e-03,20.00000,20.00000,473
1,25,4.691388e-03,14.00000,20.00000,448
1,26,4.338252e-03,20.00000,20.00000,469
1,27,3.663914e-03,20.00000,20.00000,468
1,28,4.059531e-03,16.00000,20.00000,441
1,29,4.390747e-03,24.00000,16.00000,482
1,30,3.438435e-03,17.00000,20.00000,446
1,31,3.807298e-03,21.00000,16.00000,454
1,32,3.900182e-03,23.00000,20.00000,474
1,33,3.032848e-03,17.00000,20.00000,464
1,34,3.001950e-03,17.00000,20.00000,451
1,35,3.882976e-03,26.00000,16.00000,487
1,36,3.185639e-03,23.00000,16.00000,483
1,37,3.042581e-03,16.00000,20.00000,436
1,38,3.193561e-03,20.00000,16.00000,456
1,39,3.734643e-03,33.00000,12.00000,510
1,40,3.302185e-03,27.00000,16.00000,495
1,41,2.714880e-03,25.00000,16.00000,475
1,42,1.926853e-03,17.00000,20.00000,457
1,43,3.233498e-03,26.00000,16.00000,488
1,44,2.477590e-03,17.00000,20.00000,458
1,45,2.356028e-03,24.00000,16.00000,481
1,46,1.973213e-03,20.00000,20.00000,469
1,47,3.439326e-03,36.00000,12.00000,519
1,48,2.287856e-03,20.00000,16.00000,457
1,49,3.461547e-03,34.00000,12.00000,512
1,50,1.984171e-03,16.00000,20.00000,464
1,51,1.984218e-03,15.00000,20.00000,448
1,52,2.099484e-03,20.00000,20.00000,476
1,53,1.655731e-03,14.00000,20.00000,443
1,54,2.045806e-03,23.00000,16.00000,472
1,55,1.762871e-03,18.00000,20.00000,467
1,56,1.234069e-03,20.00000,20.00000,474
1,57,1.902016e-03,21.00000,16.00000,465
1,58,1.833180e-03,25.00000,16.00000,485
