epoch,itr,loss,mask-A,mask-B,time (ms)
1,0,1.231848e-04,14.00000,20.00000,1272
1,1,2.277764e-03,21.00000,16.00000,578
1,2,1.853154e-04,23.00000,16.00000,492
1,3,1.490196e-04,19.00000,20.00000,474
1,4,1.100947e-04,16.00000,20.00000,463
1,5,2.076689e-04,35.00000,12.00000,535
1,6,1.439546e-04,19.00000,20.00000,466
1,7,1.513050e-04,27.00000,16.00000,503
1,8,1.300927e-04,20.00000,16.00000,466
1,9,1.138594e-04,17.00000,20.00000,469
1,10,1.496180e-04,24.00000,16.00000,489
1,11,1.460760e-04,26.00000,16.00000,501
1,12,1.342088e-04,27.00000,16.00000,504
1,13,1.220792e-04,17.00000,16.00000,450
1,14,9.800712e-05,19.00000,20.00000,503
1,15,1.073481e-04,23.00000,16.00000,484
1,16,9.491593e-05,25.00000,16.00000,494
1,17,7.381264e-05,20.00000,16.00000,467
1,18,1.062414e-04,17.00000,16.00000,452
1,19,8.306422e-05,26.00000,16.00000,500
1,20,8.228858e-05,17.00000,16.00000,452
1,21,7.197473e-05,23.00000,16.00000,486
1,22,5.956632e-05,21.00000,16.00000,495
1,23,5.211285e-05,23.00000,16.00000,489
1,24,4.274373e-05,15.00000,20.00000,458
1,25,4.192612e-05,19.00000,20.00000,479
1,26,3.680402e-05,20.00000,20.00000,486
1,27,3.621625e-05,20.00000,20.00000,483
1,28,3.357983e-05,18.00000,20.00000,475
1,29,3.637036e-05,24.00000,16.00000,495
1,30,3.307995e-05,19.00000,20.00000,479
1,31,3.669187e-05,26.00000,16.00000,501
1,32,2.358740e-05,20.00000,20.00000,486
1,33,2.323171e-05,20.00000,20.00000,486
1,34,2.124726e-05,22.00000,20.00000,495
1,35,2.604386e-05,24.00000,16.00000,492
1,36,2.242323e-05,24.00000,16.00000,494
1,37,1.557969e-05,9.00000,20.00000,429
1,38,1.922915e-05,27.00000,16.00000,510
1,39,2.377378e-05,34.00000,12.00000,535
1,40,2.040602e-05,23.00000,16.00000,483
1,41,2.001239e-05,25.00000,16.00000,493
1,42,1.399902e-05,12.00000,20.00000,445
1,43,1.843557e-05,28.00000,16.00000,515
1,44,1.345826e-05,16.00000,20.00000,466
1,45,1.551034e-05,26.00000,16.00000,504
1,46,1.264894e-05,20.00000,20.00000,488
1,47,2.019655e-05,34.00000,12.00000,538
1,48,1.484967e-05,25.00000,16.00000,499
1,49,1.841601e-05,34.00000,12.00000,535
1,50,9.972586e-06,17.00000,20.00000,472
1,51,1.202171e-05,9.00000,20.00000,429
1,52,9.435198e-06,17.00000,20.00000,474
1,53,7.103341e-06,19.00000,20.00000,479
1,54,1.069999e-05,24.00000,16.00000,495
1,55,9.521113e-06,16.00000,20.00000,469
1,56,9.594256e-06,18.00000,20.00000,477
1,57,1.001674e-05,25.00000,16.00000,514
1,58,8.507703e-06,24.00000,16.00000,496
1,59,1.113342e-05,27.00000,16.00000,512
1,60,1.303685e-05,33.00000,12.00000,529
1,61,1.202327e-05,33.00000,12.00000,539
1,62,7.879624e-06,19.00000,20.00000,484
1,63,6.664292e-06,19.00000,20.00000,483
1,64,1.130242e-05,33.00000,12.00000,528
1,65,6.689156e-06,15.00000,20.00000,461
1,66,8.351691e-06,27.00000,16.00000,512
1,67,8.586231e-06,15.00000,20.00000,482
1,68,8.592484e-06,25.00000,16.00000,502
1,69,5.665636e-06,19.00000,20.00000,475
1,70,9.360096e-06,23.00000,16.00000,486
1,71,6.554225e-06,26.00000,16.00000,506
1,72,8.498292e-06,17.00000,16.00000,454
1,73,7.189276e-06,24.00000,16.00000,496
1,74,5.018859e-06,16.00000,20.00000,468
1,75,3.878097e-06,16.00000,20.00000,468
1,76,6.541344e-06,26.00000,16.00000,508
1,77,6.761342e-06,26.00000,16.00000,506
1,78,6.054947e-06,25.00000,16.00000,503
1,79,5.665129e-06,20.00000,16.00000,475
1,80,4.613030e-06,19.00000,20.00000,485
1,81,4.933240e-06,14.00000,20.00000,463
1,82,5.951832e-06,26.00000,16.00000,507
