epoch,itr,loss,mask-A,mask-B,time (ms)
1,0,6.495565e-02,23.00000,16.00000,10406
1,1,4.730331e-02,16.00000,20.00000,500
1,2,4.232898e-02,23.00000,16.00000,428
1,3,4.382924e-02,20.00000,16.00000,420
1,4,3.696246e-02,9.00000,20.00000,414
1,5,3.566228e-02,21.00000,20.00000,434
1,6,3.001793e-02,19.00000,20.00000,427
1,7,3.815424e-02,33.00000,12.00000,461
1,8,3.066561e-02,26.00000,16.00000,440
1,9,2.633603e-02,18.00000,20.00000,425
1,10,3.703691e-02,26.00000,16.00000,466
1,11,3.126774e-02,25.00000,16.00000,444
1,12,2.668871e-02,21.00000,16.00000,416
1,13,2.927393e-02,21.00000,16.00000,424
1,14,2.787314e-02,27.00000,16.00000,452
1,15,2.731530e-02,21.00000,16.00000,423
1,16,2.638769e-02,27.00000,16.00000,449
1,17,2.513643e-02,25.00000,16.00000,448
1,18,2.511757e-02,18.00000,16.00000,408
1,19,2.234076e-02,19.00000,20.00000,426
1,20,2.407262e-02,25.00000,16.00000,442
1,21,2.304969e-02,25.00000,16.00000,444
1,22,2.215001e-02,22.00000,16.00000,426
1,23,2.263813e-02,24.00000,16.00000,438
1,24,1.713290e-02,20.00000,20.00000,433
1,25,1.676016e-02,14.00000,20.00000,406
1,26,1.619254e-02,20.00000,20.00000,430
1,27,1.611040e-02,20.00000,20.00000,434
1,28,1.540824e-02,16.00000,20.00000,412
1,29,1.842410e-02,24.00000,16.00000,439
1,30,1.440047e-02,17.00000,20.00000,416
1,31,1.746919e-02,21.00000,16.00000,426
1,32,1.471413e-02,23.00000,20.00000,450
1,33,1.417290e-02,17.00000,20.00000,421
1,34,1.442016e-02,17.00000,20.00000,422
1,35,1.645853e-02,26.00000,16.00000,451
1,36,1.525465e-02,23.00000,16.00000,447
1,37,1.373384e-02,16.00000,20.00000,409
1,38,1.840052e-02,20.00000,16.00000,418
1,39,2.126750e-02,33.00000,12.00000,469
1,40,1.635883e-02,27.00000,16.00000,459
1,41,1.839071e-02,25.00000,16.00000,445
1,42,1.334651e-02,17.00000,20.00000,422
1,43,1.691371e-02,26.00000,16.00000,452
1,44,1.325399e-02,17.00000,20.00000,422
1,45,1.626146e-02,24.00000,16.00000,442
1,46,1.472052e-02,20.00000,20.00000,430
1,47,2.077707e-02,36.00000,12.00000,482
1,48,1.683639e-02,20.00000,16.00000,417
1,49,2.043232e-02,34.00000,12.00000,477
1,50,1.346887e-02,16.00000,20.00000,427
1,51,1.449021e-02,15.00000,20.00000,410
1,52,1.429566e-02,20.00000,20.00000,438
1,53,1.546687e-02,14.00000,20.00000,407
1,54,1.820165e-02,23.00000,16.00000,435
1,55,1.481111e-02,18.00000,20.00000,428
1,56,1.373678e-02,20.00000,20.00000,437
1,57,1.741219e-02,21.00000,16.00000,427
1,58,1.819177e-02,25.00000,16.00000,447
1,59,2.099459e-02,21.00000,16.00000,428
1,60,2.205034e-02,35.00000,12.00000,479
1,61,2.009937e-02,33.00000,12.00000,473
1,62,1.736990e-02,13.00000,20.00000,402
1,63,1.445658e-02,17.00000,20.00000,423
1,64,2.154938e-02,33.00000,12.00000,472
1,65,1.634044e-02,17.00000,20.00000,425
1,66,1.913363e-02,22.00000,16.00000,430
1,67,1.499159e-02,17.00000,20.00000,430
1,68,2.086604e-02,24.00000,16.00000,443
1,69,1.842140e-02,12.00000,20.00000,405
1,70,1.951129e-02,27.00000,16.00000,455
1,71,2.092965e-02,21.00000,16.00000,428
1,72,1.786948e-02,21.00000,16.00000,428
1,73,1.924666e-02,27.00000,16.00000,458
1,74,1.774315e-02,14.00000,20.00000,410
1,75,1.863308e-02,16.00000,20.00000,415
1,76,2.073885e-02,30.00000,16.00000,471
1,77,2.215860e-02,21.00000,16.00000,451
1,78,2.055395e-02,21.00000,16.00000,430
1,79,2.231329e-02,21.00000,16.00000,429
1,80,1.677817e-02,16.00000,20.00000,439
1,81,2.020126e-02,8.00000,20.00000,378
1,82,2.131487e-02,26.00000,16.00000,453
1,83,1.600574e-02,16.00000,20.00000,416
1,84,1.467253e-02,19.00000,20.00000,432
1,85,1.759162e-02,18.00000,20.00000,430
1,86,1.801678e-02,17.00000,20.00000,435
1,87,2.678943e-02,33.00000,12.00000,481
1,88,1.594501e-02,18.00000,20.00000,432
1,89,1.951463e-02,16.00000,20.00000,417
1,90,2.270859e-02,25.00000,16.00000,446
1,91,1.828090e-02,23.00000,16.00000,439
1,92,1.992729e-02,17.00000,20.00000,426
1,93,1.954106e-02,26.00000,16.00000,455
1,94,2.068167e-02,26.00000,16.00000,456
1,95,2.190183e-02,23.00000,16.00000,472
1,96,1.874628e-02,15.00000,20.00000,433
1,97,2.071087e-02,23.00000,16.00000,445
1,98,2.189376e-02,24.00000,16.00000,445
1,99,2.141710e-02,20.00000,16.00000,422
1,100,2.009017e-02,26.00000,16.00000,461
1,101,1.706327e-02,26.00000,16.00000,458
1,102,2.909821e-02,35.00000,12.00000,488
1,103,2.045507e-02,19.00000,20.00000,435
1,104,2.038510e-02,18.00000,20.00000,429
1,105,2.548561e-02,23.00000,16.00000,454
1,106,2.480135e-02,17.00000,16.00000,435
1,107,1.847517e-02,16.00000,20.00000,438
1,108,1.994248e-02,20.00000,20.00000,440
1,109,2.145368e-02,26.00000,16.00000,454
1,110,1.945234e-02,21.00000,20.00000,440
1,111,2.003352e-02,17.00000,20.00000,426
1,112,3.026197e-02,36.00000,12.00000,494
1,113,2.383661e-02,25.00000,16.00000,454
1,114,2.258487e-02,13.00000,20.00000,404
1,115,1.982524e-02,27.00000,16.00000,461
2,0,2.674082e-02,26.00000,16.00000,2238
2,1,2.671465e-02,20.00000,16.00000,472
2,2,2.752881e-02,21.00000,16.00000,429
2,3,2.825598e-02,20.00000,16.00000,421
2,4,2.494656e-02,33.00000,12.00000,467
