pretrain_checkpoint_epoch,epoch,train_accuracy,val_accuracy,loss,time
100,1,3.57631e-01,5.06000e-01,1.31621e-02,2.34
100,2,5.04133e-01,5.36000e-01,1.21176e-02,2.10
100,3,5.31637e-01,5.65000e-01,1.18950e-02,2.22
100,4,5.56577e-01,5.82000e-01,1.17244e-02,2.17
100,5,5.72182e-01,5.94667e-01,1.15964e-02,2.29
100,6,5.89639e-01,6.04333e-01,1.14818e-02,2.38
100,7,5.96124e-01,6.03667e-01,1.14355e-02,2.21
100,8,6.01824e-01,6.12667e-01,1.13840e-02,2.12
100,9,6.11159e-01,6.24000e-01,1.13258e-02,2.34
100,10,6.15149e-01,6.21667e-01,1.12898e-02,2.20
100,11,6.12940e-01,6.20000e-01,1.12707e-02,2.20
100,12,6.16289e-01,6.27333e-01,1.12463e-02,2.14
100,13,6.20351e-01,6.28667e-01,1.12089e-02,2.17
100,14,6.23201e-01,6.29333e-01,1.11751e-02,2.11
100,15,6.30896e-01,6.33000e-01,1.11296e-02,2.21
100,16,6.32393e-01,6.30333e-01,1.11152e-02,2.20
100,17,6.38521e-01,6.36333e-01,1.10692e-02,2.17
100,18,6.36027e-01,6.37000e-01,1.10705e-02,2.29
100,19,6.40801e-01,6.34667e-01,1.10536e-02,2.37
100,20,6.41870e-01,6.38667e-01,1.10287e-02,2.33
100,21,6.44292e-01,6.31667e-01,1.10165e-02,2.01
100,22,6.43010e-01,6.39000e-01,1.10220e-02,2.06
100,23,6.46216e-01,6.44667e-01,1.10049e-02,2.08
100,24,6.48639e-01,6.46333e-01,1.09894e-02,2.07
100,25,6.49779e-01,6.43333e-01,1.09758e-02,1.99
100,26,6.50349e-01,6.39667e-01,1.09756e-02,1.99
100,27,6.52487e-01,6.49667e-01,1.09674e-02,2.02
100,28,6.52273e-01,6.49333e-01,1.09564e-02,2.06
100,29,6.47998e-01,6.44000e-01,1.09584e-02,2.21
100,30,6.54553e-01,6.49000e-01,1.09371e-02,2.17
100,31,6.53983e-01,6.43333e-01,1.09368e-02,2.08
100,32,6.54339e-01,6.50000e-01,1.09442e-02,2.25
100,33,6.55551e-01,6.56000e-01,1.09344e-02,2.09
100,34,6.54696e-01,6.53333e-01,1.09196e-02,2.19
100,35,6.56976e-01,6.51333e-01,1.09058e-02,2.16
100,36,6.52344e-01,6.52333e-01,1.09253e-02,2.16
100,37,6.55693e-01,6.49000e-01,1.09168e-02,2.01
100,38,6.56192e-01,6.45667e-01,1.09122e-02,2.17
100,39,6.59185e-01,6.49000e-01,1.08994e-02,2.17
100,40,6.60182e-01,6.59333e-01,1.08932e-02,2.08
100,41,6.58757e-01,6.53000e-01,1.08906e-02,2.22
100,42,6.60254e-01,6.47667e-01,1.08847e-02,2.26
100,43,6.61109e-01,6.53333e-01,1.08868e-02,2.11
100,44,6.60752e-01,6.59000e-01,1.08811e-02,2.13
100,45,6.60182e-01,6.53667e-01,1.08768e-02,2.31
100,46,6.59256e-01,6.52333e-01,1.08700e-02,2.13
100,47,6.62463e-01,6.58333e-01,1.08729e-02,2.32
100,48,6.59826e-01,6.59667e-01,1.08761e-02,2.34
100,49,6.61394e-01,6.50000e-01,1.08591e-02,2.21
100,50,6.59327e-01,6.63000e-01,1.08758e-02,2.36
100,51,6.62106e-01,6.59000e-01,1.08606e-02,2.20
100,52,6.61821e-01,6.60000e-01,1.08586e-02,2.43
100,53,6.63104e-01,6.57000e-01,1.08525e-02,2.20
100,54,6.63318e-01,6.60667e-01,1.08614e-02,2.21
100,55,6.62391e-01,6.57667e-01,1.08671e-02,2.21
100,56,6.59969e-01,6.57333e-01,1.08566e-02,2.22
100,57,6.59541e-01,6.55000e-01,1.08516e-02,2.28
100,58,6.62249e-01,6.53667e-01,1.08478e-02,2.27
100,59,6.62961e-01,6.57667e-01,1.08433e-02,2.35
100,60,6.62819e-01,6.60000e-01,1.08452e-02,2.31
100,61,6.64600e-01,6.57333e-01,1.08356e-02,2.19
100,62,6.67308e-01,6.61667e-01,1.08216e-02,2.16
100,63,6.63175e-01,6.61000e-01,1.08341e-02,1.98
100,64,6.66809e-01,6.59667e-01,1.08214e-02,2.04
100,65,6.67094e-01,6.58667e-01,1.08247e-02,2.16
100,66,6.65954e-01,6.51333e-01,1.08329e-02,2.25
100,67,6.64244e-01,6.63667e-01,1.08291e-02,2.06
100,68,6.66168e-01,6.61333e-01,1.08236e-02,2.05
100,69,6.66382e-01,6.59000e-01,1.08234e-02,2.08
100,70,6.64315e-01,6.56333e-01,1.08246e-02,2.23
100,71,6.65883e-01,6.54000e-01,1.08259e-02,2.14
100,72,6.66310e-01,6.57000e-01,1.08199e-02,2.17
100,73,6.62819e-01,6.61333e-01,1.08221e-02,2.12
100,74,6.65598e-01,6.61333e-01,1.08164e-02,2.36
100,75,6.67094e-01,6.57667e-01,1.08137e-02,2.39
100,76,6.69161e-01,6.61333e-01,1.08072e-02,2.35
100,77,6.69018e-01,6.56667e-01,1.08051e-02,2.35
100,78,6.67664e-01,6.59000e-01,1.08001e-02,2.26
100,79,6.66524e-01,6.57000e-01,1.08205e-02,2.19
100,80,6.68163e-01,6.57000e-01,1.08023e-02,2.52
100,81,6.63959e-01,6.63667e-01,1.08285e-02,2.35
100,82,6.69161e-01,6.63333e-01,1.08098e-02,2.36
100,83,6.67450e-01,6.58000e-01,1.08046e-02,2.40
100,84,6.67165e-01,6.58000e-01,1.07967e-02,2.39
100,85,6.66453e-01,6.62333e-01,1.07987e-02,2.32
100,86,6.66595e-01,6.62667e-01,1.08046e-02,2.15
100,87,6.67807e-01,6.57000e-01,1.08017e-02,2.27
100,88,6.69374e-01,6.64667e-01,1.07969e-02,2.17
100,89,6.69731e-01,6.64667e-01,1.07941e-02,2.36
100,90,6.69659e-01,6.55333e-01,1.07995e-02,2.01
100,91,6.69374e-01,6.64333e-01,1.07907e-02,2.09
100,92,6.69374e-01,6.64667e-01,1.07918e-02,2.12
100,93,6.70799e-01,6.64000e-01,1.07844e-02,2.24
100,94,6.69873e-01,6.66000e-01,1.07841e-02,2.13
100,95,6.69944e-01,6.66667e-01,1.07909e-02,2.24
100,96,6.68733e-01,6.65000e-01,1.07875e-02,2.19
100,97,6.70728e-01,6.62333e-01,1.07758e-02,2.01
100,98,6.69018e-01,6.64667e-01,1.07848e-02,2.11
100,99,6.69731e-01,6.63000e-01,1.07924e-02,2.13
100,100,6.70087e-01,6.66333e-01,1.07896e-02,2.05
100,101,6.70443e-01,6.63000e-01,1.07800e-02,2.09
