pretrain_checkpoint_epoch,epoch,train_accuracy,val_accuracy,loss,time
100,1,3.75873e-01,5.01667e-01,1.30492e-02,2.14
100,2,4.82329e-01,5.09000e-01,1.22964e-02,2.31
100,3,5.03135e-01,5.32333e-01,1.21052e-02,2.32
100,4,5.57646e-01,5.89333e-01,1.17185e-02,2.40
100,5,5.98974e-01,6.17333e-01,1.14592e-02,2.35
100,6,6.11372e-01,6.15667e-01,1.13540e-02,2.21
100,7,6.22417e-01,6.17333e-01,1.12815e-02,2.04
100,8,6.28046e-01,6.29667e-01,1.12044e-02,2.05
100,9,6.35172e-01,6.20667e-01,1.11680e-02,2.15
100,10,6.37951e-01,6.29333e-01,1.11275e-02,2.43
100,11,6.40730e-01,6.30667e-01,1.11071e-02,2.26
100,12,6.47000e-01,6.33000e-01,1.10642e-02,2.30
100,13,6.46145e-01,6.38667e-01,1.10481e-02,2.16
100,14,6.46929e-01,6.46667e-01,1.10257e-02,2.19
100,15,6.49637e-01,6.33333e-01,1.10046e-02,2.19
100,16,6.51204e-01,6.48333e-01,1.09813e-02,2.19
100,17,6.55052e-01,6.45333e-01,1.09671e-02,2.30
100,18,6.59470e-01,6.47000e-01,1.09481e-02,2.24
100,19,6.55765e-01,6.48000e-01,1.09425e-02,2.30
100,20,6.59755e-01,6.46000e-01,1.09166e-02,2.16
100,21,6.63674e-01,6.52333e-01,1.09041e-02,2.07
100,22,6.60396e-01,6.49000e-01,1.09033e-02,2.17
100,23,6.66667e-01,6.55000e-01,1.08703e-02,2.19
100,24,6.65242e-01,6.51000e-01,1.08811e-02,2.34
100,25,6.63246e-01,6.55333e-01,1.08767e-02,2.03
100,26,6.64458e-01,6.50667e-01,1.08689e-02,2.14
100,27,6.67165e-01,6.55667e-01,1.08613e-02,2.19
100,28,6.67664e-01,6.54667e-01,1.08645e-02,2.16
100,29,6.69089e-01,6.50333e-01,1.08315e-02,2.25
100,30,6.68306e-01,6.59333e-01,1.08391e-02,2.05
100,31,6.69446e-01,6.61000e-01,1.08409e-02,2.32
100,32,6.67593e-01,6.53667e-01,1.08441e-02,2.30
100,33,6.71726e-01,6.57333e-01,1.08202e-02,2.20
100,34,6.70799e-01,6.60667e-01,1.08185e-02,2.24
100,35,6.72225e-01,6.65000e-01,1.08061e-02,2.39
100,36,6.70016e-01,6.58333e-01,1.08039e-02,2.38
100,37,6.72866e-01,6.55000e-01,1.08055e-02,2.17
100,38,6.71085e-01,6.66333e-01,1.08128e-02,2.21
100,39,6.71013e-01,6.64667e-01,1.08039e-02,2.14
100,40,6.73008e-01,6.58000e-01,1.07932e-02,2.33
100,41,6.73365e-01,6.59000e-01,1.07881e-02,2.41
100,42,6.76714e-01,6.62000e-01,1.07642e-02,2.35
100,43,6.75645e-01,6.58667e-01,1.07730e-02,2.44
100,44,6.75716e-01,6.54667e-01,1.07769e-02,2.26
100,45,6.76856e-01,6.59333e-01,1.07626e-02,2.38
100,46,6.77925e-01,6.60000e-01,1.07641e-02,2.38
100,47,6.75930e-01,6.63667e-01,1.07705e-02,2.30
100,48,6.76571e-01,6.62667e-01,1.07620e-02,2.46
100,49,6.78139e-01,6.59667e-01,1.07492e-02,2.54
100,50,6.80205e-01,6.59333e-01,1.07491e-02,2.30
100,51,6.77996e-01,6.64000e-01,1.07485e-02,2.20
100,52,6.77498e-01,6.64000e-01,1.07585e-02,2.21
100,53,6.75787e-01,6.64333e-01,1.07500e-02,2.21
100,54,6.78424e-01,6.60333e-01,1.07487e-02,2.31
100,55,6.77355e-01,6.59333e-01,1.07521e-02,2.29
100,56,6.77141e-01,6.65000e-01,1.07495e-02,2.18
100,57,6.79136e-01,6.64000e-01,1.07366e-02,2.22
100,58,6.81488e-01,6.66000e-01,1.07260e-02,2.25
100,59,6.81060e-01,6.71667e-01,1.07263e-02,2.23
100,60,6.81559e-01,6.64333e-01,1.07310e-02,2.28
100,61,6.78851e-01,6.61000e-01,1.07320e-02,2.08
100,62,6.78068e-01,6.67000e-01,1.07294e-02,2.14
100,63,6.80134e-01,6.68000e-01,1.07304e-02,2.38
100,64,6.80561e-01,6.66667e-01,1.07208e-02,2.35
100,65,6.80063e-01,6.67000e-01,1.07207e-02,2.20
100,66,6.78923e-01,6.66667e-01,1.07371e-02,2.20
100,67,6.80775e-01,6.66333e-01,1.07143e-02,2.15
100,68,6.80205e-01,6.66000e-01,1.07335e-02,2.16
100,69,6.77996e-01,6.70000e-01,1.07268e-02,2.30
100,70,6.79421e-01,6.66333e-01,1.07330e-02,2.05
100,71,6.81559e-01,6.60667e-01,1.07140e-02,2.17
100,72,6.80775e-01,6.66667e-01,1.07214e-02,2.16
100,73,6.81630e-01,6.67000e-01,1.07075e-02,2.45
100,74,6.81488e-01,6.66333e-01,1.06947e-02,2.24
100,75,6.83697e-01,6.69000e-01,1.06984e-02,2.36
100,76,6.80989e-01,6.66000e-01,1.07170e-02,2.17
100,77,6.79493e-01,6.60000e-01,1.07180e-02,2.31
100,78,6.80419e-01,6.64000e-01,1.07162e-02,2.28
100,79,6.81987e-01,6.65000e-01,1.07107e-02,2.44
100,80,6.82058e-01,6.69000e-01,1.07003e-02,2.12
100,81,6.82414e-01,6.62333e-01,1.07002e-02,2.33
100,82,6.80633e-01,6.70667e-01,1.07049e-02,2.14
100,83,6.84053e-01,6.69333e-01,1.07023e-02,2.30
100,84,6.82842e-01,6.66333e-01,1.06892e-02,2.30
100,85,6.83554e-01,6.70000e-01,1.06856e-02,2.29
100,86,6.83340e-01,6.67667e-01,1.06821e-02,2.24
100,87,6.82272e-01,6.71333e-01,1.06955e-02,2.18
100,88,6.79421e-01,6.66000e-01,1.07079e-02,2.39
100,89,6.83412e-01,6.66000e-01,1.06895e-02,2.60
100,90,6.84694e-01,6.65333e-01,1.06937e-02,2.32
100,91,6.81773e-01,6.69333e-01,1.06951e-02,2.10
100,92,6.85336e-01,6.66000e-01,1.06829e-02,1.99
100,93,6.83483e-01,6.68000e-01,1.06852e-02,2.33
100,94,6.86048e-01,6.68000e-01,1.06696e-02,2.26
100,95,6.82272e-01,6.66333e-01,1.06935e-02,2.14
100,96,6.86618e-01,6.68667e-01,1.06755e-02,2.36
100,97,6.83768e-01,6.71333e-01,1.06927e-02,2.22
100,98,6.86832e-01,6.69667e-01,1.06768e-02,2.26
100,99,6.86618e-01,6.64000e-01,1.06687e-02,2.17
100,100,6.81203e-01,6.70000e-01,1.06861e-02,2.19
100,101,6.82557e-01,6.68000e-01,1.06836e-02,2.18
100,102,6.82699e-01,6.77667e-01,1.06813e-02,2.27
100,103,6.83697e-01,6.72000e-01,1.06721e-02,2.31
100,104,6.86119e-01,6.70333e-01,1.06688e-02,2.16
100,105,6.85122e-01,6.69000e-01,1.06744e-02,2.36
100,106,6.86547e-01,6.72333e-01,1.06701e-02,2.24
100,107,6.82699e-01,6.69333e-01,1.06740e-02,2.11
100,108,6.90537e-01,6.71000e-01,1.06559e-02,2.15
100,109,6.84196e-01,6.71667e-01,1.06819e-02,2.19
100,110,6.87616e-01,6.73333e-01,1.06628e-02,2.12
100,111,6.85193e-01,6.72333e-01,1.06682e-02,2.33
100,112,6.82913e-01,6.72333e-01,1.06714e-02,2.05
100,113,6.84338e-01,6.70000e-01,1.06752e-02,2.24
100,114,6.85051e-01,6.65667e-01,1.06643e-02,2.09
100,115,6.82628e-01,6.72000e-01,1.06710e-02,2.24
100,116,6.87687e-01,6.74000e-01,1.06600e-02,2.26
100,117,6.90466e-01,6.68667e-01,1.06477e-02,2.11
100,118,6.82485e-01,6.75667e-01,1.06689e-02,2.16
100,119,6.84908e-01,6.72667e-01,1.06642e-02,2.28
100,120,6.85549e-01,6.76000e-01,1.06593e-02,2.36
100,121,6.85051e-01,6.72000e-01,1.06672e-02,2.17
100,122,6.83839e-01,6.69333e-01,1.06704e-02,2.35
100,123,6.83269e-01,6.72667e-01,1.06731e-02,2.17
100,124,6.86689e-01,6.71000e-01,1.06541e-02,2.37
100,125,6.90110e-01,6.73333e-01,1.06498e-02,2.30
100,126,6.85193e-01,6.69667e-01,1.06649e-02,2.13
100,127,6.87188e-01,6.72333e-01,1.06529e-02,2.30
100,128,6.87687e-01,6.72667e-01,1.06540e-02,2.25
100,129,6.87117e-01,6.74667e-01,1.06556e-02,2.22
100,130,6.89825e-01,6.74333e-01,1.06350e-02,2.17
100,131,6.91464e-01,6.74667e-01,1.06352e-02,2.36
100,132,6.85478e-01,6.73667e-01,1.06510e-02,2.30
100,133,6.84338e-01,6.74667e-01,1.06685e-02,2.32
100,134,6.86191e-01,6.72333e-01,1.06491e-02,2.34
100,135,6.83269e-01,6.71667e-01,1.06703e-02,2.32
100,136,6.84409e-01,6.72667e-01,1.06571e-02,2.25
100,137,6.88328e-01,6.74667e-01,1.06450e-02,2.21
100,138,6.86333e-01,6.71000e-01,1.06514e-02,2.41
100,139,6.85763e-01,6.75667e-01,1.06462e-02,2.10
100,140,6.83625e-01,6.74333e-01,1.06713e-02,2.47
100,141,6.84338e-01,6.68333e-01,1.06673e-02,2.42
100,142,6.86903e-01,6.74667e-01,1.06469e-02,2.31
100,143,6.88613e-01,6.72667e-01,1.06512e-02,2.38
100,144,6.86119e-01,6.73333e-01,1.06443e-02,2.11
100,145,6.89468e-01,6.74333e-01,1.06359e-02,2.05
100,146,6.89112e-01,6.76333e-01,1.06405e-02,2.27
100,147,6.87260e-01,6.75333e-01,1.06508e-02,2.39
100,148,6.87545e-01,6.68667e-01,1.06426e-02,2.12
100,149,6.86689e-01,6.74000e-01,1.06545e-02,2.32
100,150,6.85692e-01,6.72667e-01,1.06395e-02,2.27
100,151,6.86476e-01,6.69333e-01,1.06562e-02,2.25
100,152,6.89397e-01,6.71333e-01,1.06432e-02,2.28
100,153,6.86761e-01,6.66667e-01,1.06452e-02,2.37
100,154,6.87402e-01,6.73333e-01,1.06463e-02,2.22
100,155,6.83198e-01,6.73000e-01,1.06577e-02,2.36
100,156,6.91606e-01,6.73333e-01,1.06447e-02,2.23
100,157,6.87830e-01,6.71333e-01,1.06413e-02,2.05
100,158,6.89967e-01,6.73667e-01,1.06398e-02,2.25
100,159,6.88898e-01,6.71000e-01,1.06395e-02,2.43
100,160,6.84908e-01,6.70000e-01,1.06407e-02,2.13
100,161,6.87545e-01,6.74667e-01,1.06590e-02,2.06
100,162,6.88898e-01,6.75667e-01,1.06355e-02,2.03
100,163,6.92105e-01,6.77000e-01,1.06143e-02,2.24
100,164,6.84908e-01,6.74000e-01,1.06530e-02,2.35
100,165,6.87260e-01,6.75667e-01,1.06338e-02,2.14
100,166,6.86476e-01,6.77667e-01,1.06406e-02,2.17
100,167,6.86761e-01,6.74667e-01,1.06381e-02,2.46
100,168,6.89468e-01,6.68333e-01,1.06260e-02,2.31
100,169,6.87331e-01,6.77333e-01,1.06385e-02,2.30
100,170,6.85051e-01,6.71667e-01,1.06500e-02,2.16
100,171,6.87972e-01,6.75333e-01,1.06394e-02,2.36
100,172,6.89041e-01,6.73333e-01,1.06289e-02,2.22
100,173,6.91250e-01,6.76000e-01,1.06259e-02,2.26
100,174,6.85621e-01,6.76667e-01,1.06420e-02,2.12
100,175,6.87758e-01,6.77333e-01,1.06426e-02,2.17
100,176,6.90181e-01,6.74000e-01,1.06219e-02,2.38
100,177,6.88186e-01,6.68667e-01,1.06315e-02,2.41
100,178,6.85906e-01,6.77000e-01,1.06410e-02,2.25
100,179,6.89468e-01,6.71000e-01,1.06295e-02,2.37
100,180,6.86903e-01,6.73333e-01,1.06326e-02,2.10
100,181,6.89397e-01,6.74000e-01,1.06303e-02,2.27
100,182,6.89255e-01,6.74333e-01,1.06294e-02,2.27
100,183,6.89255e-01,6.76667e-01,1.06307e-02,2.15
100,184,6.86262e-01,6.75667e-01,1.06479e-02,2.22
100,185,6.88186e-01,6.77333e-01,1.06310e-02,2.22
100,186,6.91250e-01,6.72667e-01,1.06195e-02,2.43
100,187,6.89468e-01,6.68000e-01,1.06303e-02,2.25
100,188,6.85051e-01,6.77667e-01,1.06467e-02,2.13
100,189,6.90395e-01,6.73667e-01,1.06327e-02,2.11
100,190,6.91179e-01,6.75000e-01,1.06172e-02,1.93
100,191,6.88257e-01,6.73667e-01,1.06284e-02,1.75
100,192,6.89682e-01,6.71333e-01,1.06164e-02,1.70
100,193,6.86048e-01,6.74667e-01,1.06404e-02,1.64
100,194,6.90324e-01,6.83000e-01,1.06131e-02,1.64
100,195,6.88613e-01,6.74667e-01,1.06305e-02,1.60
100,196,6.89183e-01,6.79333e-01,1.06303e-02,1.60
100,197,6.88328e-01,6.76000e-01,1.06352e-02,1.62
100,198,6.87046e-01,6.77667e-01,1.06364e-02,1.62
100,199,6.89326e-01,6.76667e-01,1.06236e-02,1.60
100,200,6.87687e-01,6.77000e-01,1.06325e-02,1.60
200,1,4.02879e-01,5.45333e-01,1.28622e-02,2.15
200,2,5.52088e-01,6.18333e-01,1.18395e-02,2.27
200,3,6.03677e-01,6.34000e-01,1.14260e-02,2.45
200,4,6.28189e-01,6.45000e-01,1.12413e-02,2.50
200,5,6.37951e-01,6.48333e-01,1.11359e-02,2.39
200,6,6.49494e-01,6.54000e-01,1.10527e-02,2.23
200,7,6.54268e-01,6.64667e-01,1.09905e-02,2.27
200,8,6.57617e-01,6.60000e-01,1.09557e-02,2.39
200,9,6.62534e-01,6.66667e-01,1.09055e-02,2.40
200,10,6.66595e-01,6.68333e-01,1.08778e-02,2.11
200,11,6.74220e-01,6.62667e-01,1.08321e-02,2.26
200,12,6.73436e-01,6.65333e-01,1.08250e-02,2.22
200,13,6.77141e-01,6.73333e-01,1.07903e-02,2.22
200,14,6.77925e-01,6.73667e-01,1.07778e-02,2.28
200,15,6.80348e-01,6.74667e-01,1.07556e-02,2.41
