epoch,train_accuracy,val_accuracy,loss,time
1,3.93259e-01,5.81000e-01,1.29159e-02,1.55
2,5.61707e-01,6.19333e-01,1.17805e-02,1.61
3,6.05957e-01,6.46667e-01,1.14141e-02,1.56
4,6.32749e-01,6.47667e-01,1.12076e-02,1.55
5,6.43366e-01,6.53000e-01,1.11041e-02,1.55
6,6.49494e-01,6.61000e-01,1.10283e-02,1.55
7,6.59969e-01,6.68000e-01,1.09744e-02,1.55
8,6.65527e-01,6.65667e-01,1.09216e-02,1.56
9,6.63389e-01,6.75667e-01,1.08828e-02,1.55
10,6.73365e-01,6.74000e-01,1.08425e-02,1.56
11,6.76357e-01,6.79333e-01,1.08118e-02,1.55
12,6.78638e-01,6.79333e-01,1.07922e-02,1.55
13,6.78424e-01,6.81000e-01,1.07850e-02,1.55
14,6.81915e-01,6.83000e-01,1.07465e-02,1.54
15,6.78923e-01,6.84667e-01,1.07508e-02,1.55
16,6.86262e-01,6.83667e-01,1.07149e-02,1.55
17,6.86689e-01,6.86333e-01,1.07143e-02,1.54
18,6.88400e-01,6.85333e-01,1.06932e-02,1.54
19,6.92461e-01,6.85667e-01,1.06825e-02,1.57
20,6.89753e-01,6.91667e-01,1.06849e-02,1.57
21,6.90038e-01,6.89333e-01,1.06708e-02,1.56
22,6.91677e-01,6.92000e-01,1.06598e-02,1.56
23,6.90324e-01,6.89333e-01,1.06603e-02,1.56
24,6.95739e-01,6.90333e-01,1.06353e-02,1.55
25,6.91820e-01,6.93667e-01,1.06402e-02,1.55
26,6.94029e-01,6.90000e-01,1.06375e-02,1.56
27,6.95311e-01,6.91333e-01,1.06141e-02,1.56
28,6.99230e-01,6.93667e-01,1.06081e-02,1.55
29,6.96736e-01,6.92667e-01,1.06103e-02,1.57
30,6.96024e-01,6.95000e-01,1.06133e-02,1.55
31,6.99800e-01,6.96667e-01,1.05772e-02,1.55
32,7.01012e-01,6.95000e-01,1.05809e-02,1.55
33,7.01083e-01,6.98333e-01,1.05769e-02,1.55
34,7.02936e-01,6.96333e-01,1.05772e-02,1.55
35,7.00442e-01,6.99000e-01,1.05682e-02,1.54
36,6.99159e-01,6.96333e-01,1.05732e-02,1.55
37,7.03435e-01,6.98000e-01,1.05665e-02,1.55
38,7.04503e-01,6.97333e-01,1.05450e-02,1.55
39,7.01439e-01,6.96000e-01,1.05547e-02,1.54
40,7.04503e-01,6.96333e-01,1.05564e-02,1.54
41,7.02508e-01,6.99333e-01,1.05505e-02,1.55
42,7.05287e-01,6.99667e-01,1.05536e-02,1.55
43,7.06427e-01,6.99000e-01,1.05379e-02,1.55
44,7.02722e-01,7.01667e-01,1.05355e-02,1.55
45,7.06570e-01,7.03333e-01,1.05313e-02,1.56
46,7.02579e-01,7.02667e-01,1.05375e-02,1.54
47,7.04432e-01,6.99667e-01,1.05321e-02,1.55
48,7.09776e-01,7.01000e-01,1.05119e-02,1.55
49,7.07354e-01,7.03667e-01,1.05137e-02,1.55
50,7.07710e-01,6.98333e-01,1.05182e-02,1.55
51,7.08992e-01,7.04333e-01,1.05031e-02,1.55
52,7.09562e-01,7.02000e-01,1.05044e-02,1.55
53,7.07710e-01,7.02333e-01,1.05102e-02,1.54
54,7.07069e-01,7.04000e-01,1.05172e-02,1.54
55,7.11415e-01,7.06667e-01,1.04967e-02,1.54
56,7.11486e-01,7.06667e-01,1.04884e-02,1.55
57,7.08137e-01,7.08333e-01,1.04965e-02,1.54
58,7.12983e-01,7.03667e-01,1.04863e-02,1.54
59,7.06071e-01,7.03000e-01,1.05100e-02,1.55
60,7.11130e-01,7.05000e-01,1.04951e-02,1.55
61,7.09848e-01,7.05000e-01,1.04848e-02,1.55
62,7.09349e-01,7.06667e-01,1.04955e-02,1.55
63,7.11486e-01,7.03333e-01,1.04827e-02,1.56
64,7.10988e-01,7.04667e-01,1.04743e-02,1.55
65,7.10489e-01,7.06667e-01,1.04868e-02,1.56
66,7.12840e-01,7.04667e-01,1.04724e-02,1.55
67,7.12199e-01,7.05667e-01,1.04799e-02,1.55
68,7.12128e-01,7.12000e-01,1.04644e-02,1.55
69,7.12270e-01,7.07000e-01,1.04724e-02,1.55
70,7.11415e-01,7.09000e-01,1.04731e-02,1.55
71,7.10489e-01,7.11667e-01,1.04695e-02,1.54
72,7.12270e-01,7.09333e-01,1.04688e-02,1.55
73,7.09776e-01,7.09000e-01,1.04839e-02,1.55
74,7.11130e-01,7.09667e-01,1.04711e-02,1.56
75,7.13624e-01,7.09000e-01,1.04589e-02,1.55
76,7.12698e-01,7.10333e-01,1.04615e-02,1.55
77,7.14693e-01,7.07333e-01,1.04667e-02,1.56
78,7.13268e-01,7.07333e-01,1.04547e-02,1.55
79,7.15904e-01,7.09333e-01,1.04471e-02,1.55
80,7.15904e-01,7.08000e-01,1.04499e-02,1.54
81,7.13624e-01,7.12667e-01,1.04500e-02,1.55
82,7.12769e-01,7.10333e-01,1.04526e-02,1.54
83,7.16261e-01,7.11000e-01,1.04387e-02,1.55
84,7.17258e-01,7.10333e-01,1.04493e-02,1.55
85,7.12413e-01,7.14000e-01,1.04529e-02,1.55
86,7.11914e-01,7.15333e-01,1.04507e-02,1.55
87,7.17543e-01,7.09000e-01,1.04338e-02,1.55
88,7.18327e-01,7.05333e-01,1.04436e-02,1.55
89,7.14693e-01,7.14333e-01,1.04477e-02,1.55
90,7.16118e-01,7.11667e-01,1.04406e-02,1.55
91,7.18826e-01,7.13667e-01,1.04305e-02,1.54
92,7.18968e-01,7.10333e-01,1.04291e-02,1.54
93,7.20465e-01,7.15667e-01,1.04280e-02,1.54
94,7.15548e-01,7.14333e-01,1.04419e-02,1.54
95,7.18256e-01,7.15667e-01,1.04275e-02,1.55
96,7.15975e-01,7.15667e-01,1.04293e-02,1.54
97,7.14622e-01,7.11667e-01,1.04527e-02,1.55
98,7.17828e-01,7.09000e-01,1.04326e-02,1.54
99,7.16261e-01,7.14000e-01,1.04244e-02,1.55
100,7.17614e-01,7.08667e-01,1.04276e-02,1.55
101,7.13482e-01,7.09000e-01,1.04301e-02,1.55
102,7.18327e-01,7.16333e-01,1.04275e-02,1.55
103,7.20251e-01,7.12667e-01,1.04198e-02,1.54
104,7.17899e-01,7.18333e-01,1.04203e-02,1.54
105,7.17258e-01,7.14000e-01,1.04190e-02,1.55
106,7.20251e-01,7.16333e-01,1.04085e-02,1.55
107,7.13125e-01,7.10333e-01,1.04453e-02,1.55
108,7.17044e-01,7.13667e-01,1.04307e-02,1.55
109,7.19752e-01,7.18000e-01,1.04190e-02,1.55
110,7.17828e-01,7.15000e-01,1.04143e-02,1.55
111,7.17472e-01,7.15333e-01,1.04231e-02,1.55
112,7.16474e-01,7.12333e-01,1.04180e-02,1.55
113,7.17258e-01,7.17667e-01,1.04197e-02,1.55
114,7.19895e-01,7.11000e-01,1.04178e-02,1.54
115,7.16474e-01,7.10667e-01,1.04078e-02,1.55
116,7.16474e-01,7.16667e-01,1.04199e-02,1.55
117,7.17472e-01,7.15000e-01,1.04175e-02,1.55
118,7.20180e-01,7.13000e-01,1.04094e-02,1.55
119,7.14693e-01,7.16000e-01,1.04284e-02,1.55
120,7.21035e-01,7.04333e-01,1.03959e-02,1.55
121,7.14907e-01,7.16000e-01,1.04208e-02,1.54
122,7.18184e-01,7.15333e-01,1.04077e-02,1.55
123,7.20037e-01,7.17333e-01,1.04013e-02,1.55
124,7.21462e-01,7.16667e-01,1.03940e-02,1.55
125,7.17614e-01,7.13667e-01,1.04104e-02,1.54
126,7.19966e-01,7.17667e-01,1.04131e-02,1.55
127,7.19253e-01,7.15000e-01,1.04134e-02,1.54
128,7.21035e-01,7.12333e-01,1.03975e-02,1.54
129,7.16902e-01,7.10333e-01,1.04165e-02,1.55
130,7.15548e-01,7.18667e-01,1.04230e-02,1.55
131,7.17044e-01,7.20000e-01,1.04182e-02,1.54
132,7.17971e-01,7.18000e-01,1.04105e-02,1.54
133,7.22175e-01,7.12000e-01,1.04008e-02,1.55
134,7.21035e-01,7.19000e-01,1.03960e-02,1.55
135,7.20322e-01,7.18333e-01,1.03983e-02,1.54
136,7.20037e-01,7.20333e-01,1.04089e-02,1.54
137,7.20037e-01,7.19333e-01,1.03969e-02,1.54
138,7.17329e-01,7.16333e-01,1.04027e-02,1.55
139,7.20892e-01,7.17667e-01,1.03936e-02,1.54
140,7.22175e-01,7.17333e-01,1.03879e-02,1.55
141,7.18398e-01,7.17667e-01,1.04002e-02,1.54
142,7.22745e-01,7.19333e-01,1.03943e-02,1.54
143,7.20892e-01,7.18667e-01,1.03879e-02,1.54
144,7.22175e-01,7.16000e-01,1.03906e-02,1.56
145,7.23030e-01,7.19667e-01,1.03807e-02,1.55
146,7.21106e-01,7.18667e-01,1.03920e-02,1.55
147,7.22745e-01,7.14333e-01,1.03884e-02,1.55
148,7.19752e-01,7.12000e-01,1.03972e-02,1.54
149,7.22246e-01,7.15667e-01,1.03803e-02,1.55
150,7.20607e-01,7.18000e-01,1.03993e-02,1.54
151,7.19396e-01,7.19000e-01,1.03992e-02,1.55
152,7.22460e-01,7.20333e-01,1.03899e-02,1.55
153,7.22032e-01,7.14333e-01,1.03918e-02,1.54
154,7.22531e-01,7.15667e-01,1.03831e-02,1.55
155,7.18897e-01,7.18000e-01,1.03983e-02,1.55
156,7.22175e-01,7.19667e-01,1.03866e-02,1.55
157,7.22959e-01,7.22333e-01,1.03807e-02,1.54
158,7.21890e-01,7.18333e-01,1.03829e-02,1.55
159,7.23101e-01,7.21333e-01,1.03769e-02,1.54
160,7.21533e-01,7.19000e-01,1.03800e-02,1.55
161,7.24597e-01,7.11333e-01,1.03632e-02,1.56
162,7.23030e-01,7.13667e-01,1.03681e-02,1.56
163,7.19039e-01,7.25000e-01,1.03901e-02,1.54
164,7.23030e-01,7.19000e-01,1.03756e-02,1.54
165,7.22887e-01,7.10333e-01,1.03794e-02,1.54
166,7.22816e-01,7.21333e-01,1.03766e-02,1.54
167,7.19752e-01,7.21333e-01,1.03916e-02,1.55
168,7.20251e-01,7.21333e-01,1.03883e-02,1.56
169,7.21106e-01,7.21000e-01,1.03776e-02,1.55
170,7.26664e-01,7.19333e-01,1.03550e-02,1.55
171,7.21818e-01,7.21000e-01,1.03677e-02,1.55
172,7.20607e-01,7.23000e-01,1.03801e-02,1.54
173,7.23457e-01,7.22000e-01,1.03798e-02,1.55
174,7.24811e-01,7.20000e-01,1.03760e-02,1.54
175,7.24241e-01,7.20000e-01,1.03669e-02,1.55
176,7.20821e-01,7.21667e-01,1.03764e-02,1.55
177,7.21320e-01,7.07333e-01,1.03769e-02,1.54
178,7.22816e-01,7.20667e-01,1.03661e-02,1.56
179,7.22388e-01,7.21667e-01,1.03787e-02,1.56
180,7.21605e-01,7.19000e-01,1.03776e-02,1.55
181,7.17472e-01,7.23333e-01,1.03936e-02,1.55
182,7.23244e-01,7.18333e-01,1.03640e-02,1.55
183,7.22103e-01,7.21667e-01,1.03750e-02,1.55
184,7.19966e-01,7.24000e-01,1.03754e-02,1.55
185,7.24027e-01,7.22333e-01,1.03680e-02,1.55
186,7.24241e-01,7.21333e-01,1.03719e-02,1.55
187,7.25951e-01,7.19000e-01,1.03635e-02,1.56
188,7.22531e-01,7.16333e-01,1.03750e-02,1.54
189,7.21248e-01,7.17667e-01,1.03698e-02,1.55
190,7.20465e-01,7.20000e-01,1.03762e-02,1.55
191,7.26878e-01,7.23333e-01,1.03610e-02,1.54
192,7.23315e-01,7.21333e-01,1.03647e-02,1.54
193,7.21747e-01,7.21000e-01,1.03713e-02,1.55
194,7.22388e-01,7.20333e-01,1.03804e-02,1.55
195,7.21320e-01,7.24333e-01,1.03776e-02,1.54
196,7.22175e-01,7.20667e-01,1.03594e-02,1.55
197,7.24099e-01,7.22000e-01,1.03688e-02,1.55
198,7.22317e-01,7.18667e-01,1.03684e-02,1.55
199,7.22032e-01,7.20667e-01,1.03614e-02,1.54
200,7.25809e-01,7.21333e-01,1.03585e-02,1.55
