epoch,itr,loss,mask-A,mask-B,time (ms)
1,0,5.444464e-02,16.00000,20.00000,1182
1,1,4.957164e-02,26.00000,16.00000,578
1,2,4.454005e-02,19.00000,20.00000,515
1,3,4.184186e-02,21.00000,16.00000,513
1,4,4.563215e-02,9.00000,20.00000,559
1,5,4.828954e-02,35.00000,12.00000,546
1,6,3.916987e-02,25.00000,16.00000,522
1,7,3.744677e-02,23.00000,16.00000,509
1,8,2.931387e-02,17.00000,20.00000,504
1,9,2.862974e-02,18.00000,20.00000,540
1,10,3.335887e-02,26.00000,16.00000,525
1,11,3.393592e-02,25.00000,16.00000,521
1,12,3.179219e-02,21.00000,16.00000,499
1,13,3.145224e-02,21.00000,16.00000,486
1,14,3.045814e-02,27.00000,16.00000,528
1,15,2.703819e-02,21.00000,16.00000,504
1,16,2.912338e-02,25.00000,16.00000,526
1,17,2.761378e-02,26.00000,16.00000,526
1,18,2.800990e-02,18.00000,16.00000,488
1,19,2.520830e-02,19.00000,20.00000,511
1,20,2.765788e-02,25.00000,16.00000,511
1,21,2.597851e-02,25.00000,16.00000,524
1,22,2.518526e-02,22.00000,16.00000,507
1,23,2.697507e-02,24.00000,16.00000,515
1,24,1.989969e-02,20.00000,20.00000,507
1,25,2.006929e-02,14.00000,20.00000,474
1,26,2.008664e-02,19.00000,20.00000,511
1,27,1.881823e-02,20.00000,20.00000,510
1,28,1.937637e-02,16.00000,20.00000,486
1,29,2.213386e-02,24.00000,16.00000,519
1,30,1.834713e-02,13.00000,20.00000,503
1,31,2.123134e-02,21.00000,16.00000,503
1,32,1.873097e-02,23.00000,20.00000,574
1,33,1.874761e-02,17.00000,20.00000,509
1,34,1.933165e-02,17.00000,20.00000,509
1,35,1.889089e-02,26.00000,16.00000,511
1,36,1.853191e-02,25.00000,16.00000,518
1,37,1.843453e-02,12.00000,20.00000,481
1,38,2.322834e-02,20.00000,16.00000,486
1,39,2.687456e-02,33.00000,12.00000,546
1,40,2.011525e-02,27.00000,16.00000,533
1,41,2.359686e-02,25.00000,16.00000,526
1,42,1.732196e-02,17.00000,20.00000,510
1,43,2.196853e-02,26.00000,16.00000,531
1,44,1.820029e-02,17.00000,20.00000,502
1,45,2.066402e-02,24.00000,16.00000,509
1,46,1.928896e-02,14.00000,20.00000,521
1,47,2.607621e-02,33.00000,12.00000,555
1,48,2.149308e-02,20.00000,16.00000,488
1,49,2.442167e-02,34.00000,12.00000,549
1,50,1.802408e-02,18.00000,20.00000,516
1,51,1.964168e-02,15.00000,20.00000,494
1,52,2.102606e-02,20.00000,20.00000,516
1,53,2.183815e-02,14.00000,20.00000,486
1,54,2.239594e-02,23.00000,16.00000,505
1,55,2.213441e-02,18.00000,20.00000,516
1,56,1.771466e-02,20.00000,20.00000,508
1,57,2.178942e-02,21.00000,16.00000,506
1,58,2.445907e-02,25.00000,16.00000,521
1,59,2.938562e-02,21.00000,16.00000,507
1,60,2.525467e-02,33.00000,12.00000,552
1,61,2.501636e-02,33.00000,12.00000,549
1,62,2.331032e-02,13.00000,20.00000,492
1,63,2.047531e-02,17.00000,20.00000,512
1,64,2.539750e-02,33.00000,12.00000,546
1,65,2.179546e-02,17.00000,20.00000,513
1,66,2.589224e-02,21.00000,16.00000,510
1,67,2.114778e-02,18.00000,20.00000,517
1,68,2.626793e-02,24.00000,16.00000,506
1,69,2.633986e-02,12.00000,20.00000,488
1,70,2.483895e-02,20.00000,16.00000,529
1,71,2.666151e-02,21.00000,16.00000,496
1,72,2.337256e-02,21.00000,16.00000,508
1,73,2.551574e-02,27.00000,16.00000,539
1,74,2.255214e-02,14.00000,20.00000,494
1,75,2.423771e-02,16.00000,20.00000,503
1,76,2.582832e-02,21.00000,16.00000,535
1,77,2.805837e-02,26.00000,16.00000,518
1,78,2.699738e-02,21.00000,16.00000,558
1,79,2.980025e-02,21.00000,16.00000,509
1,80,2.236852e-02,20.00000,20.00000,527
1,81,2.509523e-02,8.00000,20.00000,466
1,82,2.572944e-02,26.00000,16.00000,534
1,83,2.299228e-02,16.00000,20.00000,500
1,84,2.068668e-02,19.00000,20.00000,512
1,85,2.420107e-02,18.00000,20.00000,517
1,86,2.314227e-02,19.00000,20.00000,524
1,87,3.238197e-02,34.00000,12.00000,547
1,88,2.203788e-02,18.00000,20.00000,519
1,89,2.557860e-02,16.00000,20.00000,507
1,90,2.919979e-02,23.00000,16.00000,523
1,91,2.240924e-02,23.00000,16.00000,507
1,92,2.703138e-02,17.00000,20.00000,515
1,93,2.507411e-02,26.00000,16.00000,535
1,94,2.814613e-02,26.00000,16.00000,527
1,95,2.876538e-02,29.00000,16.00000,553
1,96,2.382495e-02,18.00000,20.00000,501
1,97,2.782270e-02,24.00000,16.00000,509
1,98,2.690795e-02,24.00000,16.00000,528
1,99,2.576860e-02,20.00000,16.00000,488
1,100,2.619139e-02,27.00000,16.00000,543
1,101,2.120382e-02,26.00000,16.00000,518
1,102,3.130814e-02,35.00000,12.00000,546
1,103,2.570761e-02,19.00000,20.00000,506
1,104,2.697962e-02,18.00000,20.00000,500
1,105,2.973450e-02,26.00000,16.00000,519
1,106,3.085301e-02,22.00000,16.00000,500
