pretrain_checkpoint_epoch,epoch,train_accuracy,val_accuracy,loss,time
100,1,3.50435e-01,4.87667e-01,1.32291e-02,1.58
100,2,4.79478e-01,5.07000e-01,1.22861e-02,1.55
100,3,5.15534e-01,5.22333e-01,1.20252e-02,1.52
100,4,5.33989e-01,5.49333e-01,1.18625e-02,1.58
100,5,5.47741e-01,5.54000e-01,1.17864e-02,1.51
100,6,5.51304e-01,5.60333e-01,1.17263e-02,1.58
100,7,5.65769e-01,5.64000e-01,1.16423e-02,1.51
100,8,5.64486e-01,5.67333e-01,1.16261e-02,1.57
100,9,5.70044e-01,5.70333e-01,1.15861e-02,1.51
100,10,5.72752e-01,5.72333e-01,1.15618e-02,1.51
100,11,5.76172e-01,5.75333e-01,1.15368e-02,1.59
100,12,5.78239e-01,5.75000e-01,1.15148e-02,1.52
100,13,5.83369e-01,5.78333e-01,1.14794e-02,1.50
100,14,5.86219e-01,5.80333e-01,1.14716e-02,1.52
100,15,5.83226e-01,5.78667e-01,1.14670e-02,1.55
100,16,5.88499e-01,5.88000e-01,1.14332e-02,1.52
100,17,5.90352e-01,5.78333e-01,1.14307e-02,1.56
100,18,5.93345e-01,5.88000e-01,1.14145e-02,1.51
100,19,5.95197e-01,5.82333e-01,1.13995e-02,1.51
100,20,5.94841e-01,5.86667e-01,1.13849e-02,1.57
100,21,5.96908e-01,5.92667e-01,1.13808e-02,1.50
100,22,5.99116e-01,5.91333e-01,1.13702e-02,1.52
100,23,5.96551e-01,5.92333e-01,1.13593e-02,1.54
100,24,6.02323e-01,5.88333e-01,1.13356e-02,1.57
100,25,6.02109e-01,5.90000e-01,1.13328e-02,1.51
100,26,6.02465e-01,5.96667e-01,1.13259e-02,1.58
100,27,6.00328e-01,5.95667e-01,1.13243e-02,1.51
100,28,6.06598e-01,5.98667e-01,1.13088e-02,1.58
100,29,6.04461e-01,5.97667e-01,1.13132e-02,1.49
100,30,6.06028e-01,6.01333e-01,1.13011e-02,1.51
100,31,6.06384e-01,6.03000e-01,1.12900e-02,1.50
100,32,6.08807e-01,5.98333e-01,1.12884e-02,1.49
100,33,6.02893e-01,6.02333e-01,1.13057e-02,1.51
100,34,6.09092e-01,5.94333e-01,1.12801e-02,1.50
100,35,6.09306e-01,6.04333e-01,1.12708e-02,1.50
100,36,6.10517e-01,6.00000e-01,1.12625e-02,1.52
100,37,6.13510e-01,6.03667e-01,1.12540e-02,1.51
100,38,6.12156e-01,6.01333e-01,1.12410e-02,1.52
100,39,6.10517e-01,5.97000e-01,1.12559e-02,1.50
100,40,6.11800e-01,6.05667e-01,1.12467e-02,1.51
100,41,6.09876e-01,6.08333e-01,1.12571e-02,1.51
100,42,6.12869e-01,6.04000e-01,1.12395e-02,1.50
100,43,6.06598e-01,6.03000e-01,1.12583e-02,1.52
100,44,6.15719e-01,6.06667e-01,1.12187e-02,1.51
100,45,6.16075e-01,6.05333e-01,1.12250e-02,1.51
100,46,6.15291e-01,6.04667e-01,1.12263e-02,1.52
100,47,6.16147e-01,6.10333e-01,1.12134e-02,1.51
100,48,6.16788e-01,6.06000e-01,1.11973e-02,1.50
100,49,6.13368e-01,6.11667e-01,1.12165e-02,1.51
100,50,6.15006e-01,6.09000e-01,1.12098e-02,1.51
100,51,6.16930e-01,6.08333e-01,1.12069e-02,1.50
100,52,6.18640e-01,6.09667e-01,1.11943e-02,1.51
100,53,6.17215e-01,6.06000e-01,1.12073e-02,1.51
100,54,6.18427e-01,6.12667e-01,1.12012e-02,1.50
100,55,6.18355e-01,6.12667e-01,1.12003e-02,1.50
100,56,6.19068e-01,6.11000e-01,1.11966e-02,1.50
100,57,6.23201e-01,6.14000e-01,1.11676e-02,1.51
100,58,6.15505e-01,6.11333e-01,1.12003e-02,1.50
100,59,6.20137e-01,6.12333e-01,1.11869e-02,1.50
100,60,6.22346e-01,6.13667e-01,1.11743e-02,1.51
100,61,6.16645e-01,6.12667e-01,1.11956e-02,1.50
100,62,6.18925e-01,6.13667e-01,1.11820e-02,1.50
100,63,6.21776e-01,6.14667e-01,1.11778e-02,1.50
100,64,6.23700e-01,6.11667e-01,1.11551e-02,1.50
100,65,6.20564e-01,6.11667e-01,1.11780e-02,1.50
100,66,6.24697e-01,6.14667e-01,1.11631e-02,1.50
100,67,6.21063e-01,6.13000e-01,1.11631e-02,1.51
100,68,6.19353e-01,6.14333e-01,1.11724e-02,1.49
100,69,6.21134e-01,6.13333e-01,1.11643e-02,1.50
100,70,6.21348e-01,6.15333e-01,1.11614e-02,1.51
100,71,6.26122e-01,6.20000e-01,1.11391e-02,1.50
100,72,6.24412e-01,6.17333e-01,1.11536e-02,1.50
100,73,6.19994e-01,6.14667e-01,1.11792e-02,1.50
100,74,6.22773e-01,6.13000e-01,1.11556e-02,1.50
100,75,6.24626e-01,6.15000e-01,1.11380e-02,1.50
100,76,6.21562e-01,6.14333e-01,1.11494e-02,1.50
100,77,6.27975e-01,6.20333e-01,1.11361e-02,1.51
100,78,6.22488e-01,6.15000e-01,1.11442e-02,1.49
100,79,6.23842e-01,6.17667e-01,1.11381e-02,1.51
100,80,6.26906e-01,6.20000e-01,1.11359e-02,1.51
100,81,6.23557e-01,6.14333e-01,1.11426e-02,1.50
100,82,6.28331e-01,6.13333e-01,1.11330e-02,1.52
100,83,6.25837e-01,6.18333e-01,1.11355e-02,1.51
100,84,6.26906e-01,6.13333e-01,1.11357e-02,1.52
100,85,6.24127e-01,6.19333e-01,1.11348e-02,1.50
100,86,6.29044e-01,6.17333e-01,1.11146e-02,1.51
100,87,6.27120e-01,6.20000e-01,1.11213e-02,1.51
