pretrain_checkpoint_epoch,epoch,train_accuracy,val_accuracy,loss,time
100,1,1.86903e-01,3.11667e-01,1.41272e-02,1.72
100,2,2.30654e-01,3.28000e-01,1.38972e-02,1.55
100,3,2.66852e-01,3.06000e-01,1.37260e-02,1.54
100,4,2.76044e-01,3.30000e-01,1.36313e-02,1.54
100,5,2.83526e-01,3.05000e-01,1.35577e-02,1.54
100,6,3.00983e-01,3.04000e-01,1.34658e-02,1.55
100,7,3.06114e-01,3.05000e-01,1.34374e-02,1.54
100,8,3.01625e-01,3.02000e-01,1.34331e-02,1.54
100,9,3.11814e-01,3.49000e-01,1.33895e-02,1.55
100,10,3.12384e-01,3.34333e-01,1.33698e-02,1.54
100,11,3.13596e-01,3.44667e-01,1.33637e-02,1.54
100,12,3.17942e-01,3.11333e-01,1.33218e-02,1.54
100,13,3.19011e-01,3.37333e-01,1.32978e-02,1.61
100,14,3.24925e-01,3.28333e-01,1.32796e-02,1.54
100,15,3.26208e-01,3.43333e-01,1.32685e-02,1.53
100,16,3.22788e-01,3.51333e-01,1.32866e-02,1.54
100,17,3.28987e-01,3.60667e-01,1.32513e-02,1.54
100,18,3.28773e-01,3.59667e-01,1.32424e-02,1.53
100,19,3.35827e-01,3.60333e-01,1.32247e-02,1.55
100,20,3.29984e-01,3.39000e-01,1.32332e-02,1.54
100,21,3.31552e-01,3.24000e-01,1.32327e-02,1.54
100,22,3.32977e-01,3.51000e-01,1.32281e-02,1.54
100,23,3.38179e-01,3.55333e-01,1.32014e-02,1.54
100,24,3.40601e-01,3.57667e-01,1.31960e-02,1.54
100,25,3.39746e-01,3.54000e-01,1.31774e-02,1.54
100,26,3.42383e-01,3.48667e-01,1.31892e-02,1.54
100,27,3.33832e-01,3.47000e-01,1.31945e-02,1.54
100,28,3.45803e-01,3.60000e-01,1.31421e-02,1.54
100,29,3.38820e-01,3.71667e-01,1.31460e-02,1.53
100,30,3.43167e-01,3.64333e-01,1.31467e-02,1.54
100,31,3.39604e-01,3.69000e-01,1.31563e-02,1.54
100,32,3.43594e-01,3.84333e-01,1.31400e-02,1.53
100,33,3.44164e-01,3.72000e-01,1.31418e-02,1.54
100,34,3.45518e-01,3.83000e-01,1.31211e-02,1.54
100,35,3.44805e-01,3.47000e-01,1.31185e-02,1.54
100,36,3.40031e-01,3.40000e-01,1.31342e-02,1.53
100,37,3.52074e-01,3.62000e-01,1.31120e-02,1.54
100,38,3.47228e-01,3.86667e-01,1.31155e-02,1.54
100,39,3.45518e-01,3.60667e-01,1.31209e-02,1.53
100,40,3.45518e-01,3.67000e-01,1.31280e-02,1.54
100,41,3.48725e-01,3.80333e-01,1.31051e-02,1.54
100,42,3.52929e-01,3.80667e-01,1.31012e-02,1.54
100,43,3.50648e-01,3.53333e-01,1.31051e-02,1.53
100,44,3.49366e-01,3.53333e-01,1.31052e-02,1.54
100,45,3.45233e-01,3.61333e-01,1.31075e-02,1.54
100,46,3.52857e-01,3.70333e-01,1.30805e-02,1.53
100,47,3.51860e-01,3.82000e-01,1.30765e-02,1.55
100,48,3.51860e-01,3.83000e-01,1.30887e-02,1.54
100,49,3.54354e-01,3.81333e-01,1.30923e-02,1.56
100,50,3.52216e-01,3.75000e-01,1.30927e-02,1.54
100,51,3.54140e-01,3.56333e-01,1.30907e-02,1.54
100,52,3.53855e-01,3.75667e-01,1.30751e-02,1.54
100,53,3.58344e-01,3.49000e-01,1.30769e-02,1.53
