epoch,itr,loss,mask-A,mask-B,time (ms)
1,0,2.239472e+01,23.00000,16.00000,1096
1,1,5.502891e+02,36.00000,12.00000,523
1,2,2.426881e+01,23.00000,16.00000,427
1,3,2.949038e+01,19.00000,20.00000,430
1,4,2.302855e+01,9.00000,20.00000,408
1,5,2.682945e+01,23.00000,16.00000,428
1,6,2.709195e+01,19.00000,20.00000,427
1,7,2.410019e+01,18.00000,20.00000,459
1,8,2.273457e+01,26.00000,16.00000,445
1,9,2.362560e+01,18.00000,20.00000,424
1,10,2.084922e+01,26.00000,16.00000,445
1,11,2.737203e+01,25.00000,16.00000,445
1,12,2.391552e+01,21.00000,16.00000,421
1,13,2.271037e+01,21.00000,16.00000,422
1,14,2.122730e+01,27.00000,16.00000,452
1,15,2.140202e+01,21.00000,16.00000,421
1,16,2.144241e+01,25.00000,16.00000,448
1,17,1.846200e+01,16.00000,20.00000,437
1,18,1.647816e+01,18.00000,16.00000,406
1,19,1.752228e+01,21.00000,16.00000,423
1,20,2.196493e+01,25.00000,16.00000,442
1,21,1.902733e+01,25.00000,16.00000,444
1,22,1.593517e+01,22.00000,16.00000,428
1,23,1.869703e+01,24.00000,16.00000,439
1,24,1.295493e+01,20.00000,20.00000,433
1,25,1.335420e+01,14.00000,20.00000,405
1,26,1.205510e+01,19.00000,20.00000,428
1,27,1.104226e+01,20.00000,20.00000,433
1,28,1.347250e+01,16.00000,20.00000,412
1,29,9.873693e+00,24.00000,16.00000,439
1,30,1.150344e+01,13.00000,20.00000,414
1,31,8.791068e+00,21.00000,16.00000,423
1,32,1.096893e+01,23.00000,20.00000,449
1,33,1.221141e+01,17.00000,20.00000,419
1,34,9.237948e+00,17.00000,20.00000,420
1,35,9.277861e+00,26.00000,16.00000,449
1,36,7.669385e+00,25.00000,16.00000,444
1,37,9.644207e+00,12.00000,20.00000,407
1,38,7.308814e+00,20.00000,16.00000,418
1,39,7.058854e+00,33.00000,12.00000,471
1,40,6.521292e+00,27.00000,16.00000,454
1,41,6.162485e+00,25.00000,16.00000,445
1,42,6.316320e+00,17.00000,20.00000,421
1,43,7.144774e+00,26.00000,16.00000,450
1,44,6.431240e+00,17.00000,20.00000,420
1,45,5.599477e+00,24.00000,16.00000,439
1,46,5.946955e+00,14.00000,20.00000,429
1,47,5.460774e+00,33.00000,12.00000,480
1,48,5.320695e+00,20.00000,16.00000,416
1,49,5.288427e+00,34.00000,12.00000,474
1,50,5.637498e+00,18.00000,20.00000,425
1,51,5.548812e+00,15.00000,20.00000,409
1,52,6.369113e+00,20.00000,20.00000,435
1,53,5.566374e+00,14.00000,20.00000,404
1,54,4.926233e+00,23.00000,16.00000,434
1,55,5.763234e+00,18.00000,20.00000,425
1,56,3.818457e+00,20.00000,20.00000,436
1,57,4.921006e+00,21.00000,16.00000,425
1,58,4.755525e+00,25.00000,16.00000,446
1,59,6.552926e+00,21.00000,16.00000,427
1,60,3.795518e+00,33.00000,12.00000,477
1,61,4.323050e+00,33.00000,12.00000,472
1,62,3.694929e+00,13.00000,20.00000,401
1,63,4.706216e+00,17.00000,20.00000,422
1,64,4.061096e+00,33.00000,12.00000,473
1,65,4.115459e+00,17.00000,20.00000,423
1,66,3.712630e+00,21.00000,16.00000,429
1,67,4.160985e+00,18.00000,20.00000,428
1,68,3.852180e+00,24.00000,16.00000,441
1,69,3.793150e+00,12.00000,20.00000,397
1,70,3.902312e+00,20.00000,16.00000,453
1,71,4.426168e+00,21.00000,16.00000,428
1,72,3.914572e+00,21.00000,16.00000,428
1,73,4.044453e+00,27.00000,16.00000,457
1,74,3.238489e+00,14.00000,20.00000,407
1,75,4.275199e+00,16.00000,20.00000,414
1,76,3.141245e+00,21.00000,16.00000,467
1,77,3.120483e+00,26.00000,16.00000,452
1,78,2.948008e+00,21.00000,16.00000,428
1,79,3.166806e+00,21.00000,16.00000,429
1,80,3.000413e+00,20.00000,20.00000,438
1,81,2.929965e+00,8.00000,20.00000,378
1,82,4.050142e+00,26.00000,16.00000,453
1,83,3.584855e+00,16.00000,20.00000,415
1,84,3.390561e+00,19.00000,20.00000,434
1,85,3.723493e+00,18.00000,20.00000,427
1,86,2.735946e+00,19.00000,20.00000,434
1,87,3.302175e+00,34.00000,12.00000,479
1,88,2.538951e+00,18.00000,20.00000,429
1,89,3.491627e+00,16.00000,20.00000,415
1,90,2.373434e+00,23.00000,16.00000,445
1,91,2.712034e+00,23.00000,16.00000,437
1,92,2.562335e+00,17.00000,20.00000,425
1,93,2.645876e+00,26.00000,16.00000,454
1,94,2.674851e+00,26.00000,16.00000,455
1,95,3.154291e+00,29.00000,16.00000,469
1,96,2.657811e+00,18.00000,20.00000,430
1,97,2.895147e+00,24.00000,16.00000,445
1,98,3.118784e+00,24.00000,16.00000,446
1,99,2.586151e+00,20.00000,16.00000,423
1,100,3.017757e+00,27.00000,16.00000,461
1,101,2.751123e+00,26.00000,16.00000,456
1,102,3.114969e+00,35.00000,12.00000,491
1,103,2.842095e+00,19.00000,20.00000,435
1,104,2.883111e+00,18.00000,20.00000,430
1,105,3.007307e+00,26.00000,16.00000,457
1,106,2.675478e+00,22.00000,16.00000,435
1,107,2.692849e+00,19.00000,20.00000,434
1,108,2.266378e+00,20.00000,20.00000,441
1,109,2.394538e+00,26.00000,16.00000,455
1,110,2.586898e+00,18.00000,20.00000,442
1,111,2.880854e+00,17.00000,20.00000,425
1,112,2.405768e+00,36.00000,12.00000,494
1,113,2.303424e+00,25.00000,16.00000,451
1,114,2.407633e+00,13.00000,20.00000,404
1,115,2.268471e+00,27.00000,16.00000,462
2,0,2.265042e+00,26.00000,16.00000,470
2,1,3.783763e+00,20.00000,16.00000,418
2,2,2.716412e+00,21.00000,16.00000,482
2,3,2.317949e+00,33.00000,12.00000,472
2,4,2.629125e+00,28.00000,16.00000,466
2,5,2.385941e+00,21.00000,16.00000,426
2,6,2.599673e+00,20.00000,16.00000,428
2,7,2.005711e+00,33.00000,12.00000,475
2,8,2.286739e+00,21.00000,16.00000,427
2,9,2.335814e+00,17.00000,20.00000,423
2,10,2.148981e+00,20.00000,20.00000,439
2,11,2.431451e+00,21.00000,16.00000,434
2,12,2.072263e+00,21.00000,16.00000,432
2,13,2.269546e+00,35.00000,12.00000,485
2,14,1.835605e+00,21.00000,20.00000,444
2,15,2.540000e+00,26.00000,16.00000,600
2,16,2.525489e+00,17.00000,20.00000,423
2,17,2.213823e+00,16.00000,20.00000,458
2,18,2.171715e+00,27.00000,16.00000,459
