epoch,train_accuracy,val_accuracy,loss,time
1,4.01881e-01,6.04667e-01,1.28544e-02,1.54
2,6.11515e-01,6.74333e-01,1.14735e-02,1.60
3,6.69731e-01,7.07333e-01,1.09870e-02,1.54
4,6.95739e-01,7.22333e-01,1.07593e-02,1.56
5,7.06285e-01,7.29000e-01,1.06435e-02,1.54
6,7.18754e-01,7.25333e-01,1.05522e-02,1.54
7,7.23814e-01,7.35333e-01,1.05036e-02,1.54
8,7.29799e-01,7.38333e-01,1.04459e-02,1.54
9,7.31295e-01,7.38667e-01,1.04142e-02,1.54
10,7.33861e-01,7.39000e-01,1.03823e-02,1.53
11,7.38421e-01,7.40000e-01,1.03481e-02,1.53
12,7.43765e-01,7.44000e-01,1.03105e-02,1.53
13,7.44264e-01,7.45000e-01,1.02965e-02,1.53
14,7.47328e-01,7.46000e-01,1.02750e-02,1.53
15,7.46900e-01,7.49667e-01,1.02608e-02,1.53
16,7.47613e-01,7.51000e-01,1.02693e-02,1.53
17,7.49537e-01,7.52333e-01,1.02401e-02,1.54
18,7.49466e-01,7.48000e-01,1.02361e-02,1.53
19,7.52387e-01,7.48000e-01,1.02122e-02,1.54
20,7.51888e-01,7.50667e-01,1.02150e-02,1.54
21,7.50677e-01,7.54333e-01,1.02061e-02,1.55
22,7.53670e-01,7.52667e-01,1.01985e-02,1.54
23,7.51176e-01,7.51333e-01,1.01923e-02,1.54
24,7.53883e-01,7.55333e-01,1.01854e-02,1.54
25,7.53741e-01,7.55333e-01,1.01823e-02,1.54
26,7.58871e-01,7.54667e-01,1.01562e-02,1.53
27,7.55237e-01,7.53667e-01,1.01648e-02,1.53
28,7.58159e-01,7.59333e-01,1.01533e-02,1.54
29,7.57090e-01,7.57000e-01,1.01513e-02,1.54
30,7.57945e-01,7.58000e-01,1.01512e-02,1.54
31,7.59726e-01,7.62000e-01,1.01307e-02,1.53
32,7.56591e-01,7.59667e-01,1.01353e-02,1.54
33,7.57731e-01,7.61333e-01,1.01193e-02,1.54
34,7.62149e-01,7.60667e-01,1.01176e-02,1.54
35,7.60011e-01,7.60667e-01,1.01095e-02,1.54
36,7.60510e-01,7.60667e-01,1.01118e-02,1.54
37,7.60225e-01,7.63000e-01,1.01108e-02,1.54
38,7.61508e-01,7.61667e-01,1.00988e-02,1.54
39,7.63289e-01,7.62333e-01,1.00968e-02,1.55
40,7.61722e-01,7.64667e-01,1.01033e-02,1.54
41,7.67564e-01,7.64667e-01,1.00779e-02,1.54
42,7.63004e-01,7.65333e-01,1.00939e-02,1.53
43,7.60581e-01,7.59000e-01,1.01009e-02,1.54
44,7.62149e-01,7.64000e-01,1.00869e-02,1.54
45,7.63788e-01,7.64333e-01,1.00862e-02,1.53
46,7.63147e-01,7.64000e-01,1.00821e-02,1.54
47,7.64358e-01,7.66000e-01,1.00769e-02,1.55
48,7.65569e-01,7.62000e-01,1.00696e-02,1.54
49,7.62220e-01,7.67000e-01,1.00822e-02,1.53
