epoch,itr,loss,mask-A,mask-B,time (ms)
1,0,6.718639e-02,23.00000,16.00000,1024
1,1,5.461404e-02,26.00000,16.00000,550
1,2,4.449169e-02,19.00000,20.00000,512
1,3,3.766936e-02,19.00000,20.00000,519
1,4,3.908958e-02,9.00000,20.00000,484
1,5,3.402485e-02,21.00000,20.00000,513
1,6,4.613108e-02,25.00000,16.00000,570
1,7,4.046861e-02,33.00000,12.00000,538
1,8,3.317844e-02,17.00000,20.00000,518
1,9,3.237486e-02,25.00000,16.00000,524
1,10,3.402848e-02,26.00000,16.00000,513
1,11,3.206722e-02,25.00000,16.00000,524
1,12,3.255261e-02,21.00000,16.00000,484
1,13,3.224384e-02,21.00000,16.00000,498
1,14,3.061714e-02,27.00000,16.00000,530
1,15,3.070396e-02,21.00000,16.00000,499
1,16,2.937242e-02,25.00000,16.00000,518
1,17,2.792950e-02,26.00000,16.00000,511
1,18,2.327579e-02,19.00000,20.00000,512
1,19,2.762971e-02,21.00000,16.00000,502
1,20,2.809601e-02,25.00000,16.00000,522
1,21,2.572574e-02,25.00000,16.00000,513
1,22,2.610667e-02,22.00000,16.00000,499
1,23,2.674113e-02,24.00000,16.00000,517
1,24,2.007356e-02,20.00000,20.00000,519
1,25,2.000118e-02,14.00000,20.00000,490
1,26,1.947902e-02,19.00000,20.00000,515
1,27,1.907112e-02,20.00000,20.00000,519
1,28,1.906696e-02,16.00000,20.00000,497
1,29,2.183322e-02,24.00000,16.00000,503
1,30,1.772970e-02,13.00000,20.00000,501
1,31,2.049421e-02,21.00000,16.00000,500
1,32,1.898631e-02,23.00000,20.00000,575
1,33,1.799586e-02,17.00000,20.00000,500
1,34,1.857722e-02,17.00000,20.00000,505
1,35,1.983272e-02,26.00000,16.00000,526
1,36,1.765642e-02,25.00000,16.00000,517
1,37,1.966687e-02,12.00000,20.00000,489
1,38,2.153099e-02,20.00000,16.00000,489
1,39,2.566608e-02,33.00000,12.00000,536
1,40,2.111138e-02,27.00000,16.00000,531
1,41,2.047815e-02,25.00000,16.00000,519
1,42,1.633040e-02,17.00000,20.00000,498
1,43,2.177595e-02,26.00000,16.00000,512
1,44,1.754843e-02,17.00000,20.00000,506
1,45,1.969336e-02,24.00000,16.00000,520
1,46,1.928297e-02,14.00000,20.00000,515
1,47,2.351197e-02,33.00000,12.00000,546
1,48,2.068207e-02,20.00000,16.00000,496
1,49,2.426781e-02,34.00000,12.00000,548
1,50,1.698080e-02,18.00000,20.00000,503
1,51,1.947514e-02,15.00000,20.00000,496
1,52,2.090417e-02,20.00000,20.00000,521
1,53,2.021268e-02,14.00000,20.00000,490
1,54,2.289510e-02,23.00000,16.00000,512
1,55,2.145613e-02,18.00000,20.00000,512
1,56,1.746525e-02,20.00000,20.00000,521
1,57,2.034074e-02,21.00000,16.00000,497
1,58,2.267993e-02,25.00000,16.00000,522
1,59,2.828151e-02,21.00000,16.00000,494
1,60,2.423320e-02,33.00000,12.00000,551
1,61,2.381883e-02,33.00000,12.00000,546
1,62,2.127473e-02,13.00000,20.00000,488
1,63,2.277861e-02,17.00000,20.00000,509
1,64,2.376040e-02,33.00000,12.00000,548
1,65,2.058620e-02,17.00000,20.00000,509
1,66,2.527582e-02,21.00000,16.00000,508
1,67,2.024360e-02,18.00000,20.00000,500
1,68,2.489915e-02,24.00000,16.00000,520
1,69,2.334070e-02,12.00000,20.00000,484
1,70,2.419612e-02,20.00000,16.00000,524
1,71,2.584029e-02,21.00000,16.00000,495
1,72,2.093928e-02,21.00000,16.00000,506
1,73,2.562333e-02,27.00000,16.00000,522
1,74,2.138520e-02,14.00000,20.00000,479
1,75,2.275162e-02,16.00000,20.00000,486
1,76,2.327051e-02,21.00000,16.00000,546
1,77,2.435663e-02,26.00000,16.00000,519
1,78,2.395728e-02,21.00000,16.00000,540
1,79,2.549466e-02,21.00000,16.00000,489
1,80,2.042688e-02,20.00000,20.00000,523
1,81,2.344483e-02,8.00000,20.00000,459
1,82,2.516748e-02,26.00000,16.00000,527
1,83,2.041353e-02,16.00000,20.00000,484
1,84,2.082700e-02,19.00000,20.00000,520
1,85,2.315797e-02,18.00000,20.00000,501
