epoch,itr,loss,mask-A,mask-B,time (ms)
1,0,2.314756e-05,23.00000,16.00000,990
1,1,9.417028e-05,26.00000,16.00000,532
1,2,2.342897e-05,23.00000,16.00000,429
1,3,2.633082e-05,19.00000,20.00000,425
1,4,2.064193e-05,9.00000,20.00000,405
1,5,2.287440e-05,21.00000,20.00000,435
1,6,2.097735e-05,36.00000,12.00000,481
1,7,1.846961e-05,18.00000,20.00000,422
1,8,1.798547e-05,17.00000,20.00000,416
1,9,1.741303e-05,25.00000,16.00000,440
1,10,1.456343e-05,26.00000,16.00000,445
1,11,1.898403e-05,15.00000,20.00000,434
1,12,1.531824e-05,21.00000,16.00000,421
1,13,1.393013e-05,21.00000,16.00000,420
1,14,1.222059e-05,27.00000,16.00000,449
1,15,1.166593e-05,21.00000,16.00000,421
1,16,1.194530e-05,25.00000,16.00000,445
1,17,9.069379e-06,26.00000,16.00000,446
1,18,8.730951e-06,18.00000,16.00000,405
1,19,8.752009e-06,21.00000,16.00000,421
1,20,1.076300e-05,25.00000,16.00000,443
1,21,9.183084e-06,25.00000,16.00000,442
1,22,7.342807e-06,22.00000,16.00000,426
1,23,8.769722e-06,24.00000,16.00000,437
1,24,6.291432e-06,20.00000,20.00000,434
1,25,6.058989e-06,14.00000,20.00000,402
1,26,5.413820e-06,19.00000,20.00000,428
1,27,5.159210e-06,20.00000,20.00000,432
1,28,6.142140e-06,16.00000,20.00000,409
1,29,4.178592e-06,24.00000,16.00000,440
1,30,4.922798e-06,13.00000,20.00000,412
1,31,3.762625e-06,21.00000,16.00000,423
1,32,4.658412e-06,23.00000,20.00000,446
1,33,4.766979e-06,17.00000,20.00000,419
1,34,3.704424e-06,17.00000,20.00000,419
1,35,3.460673e-06,26.00000,16.00000,447
1,36,3.023760e-06,25.00000,16.00000,442
1,37,3.423282e-06,12.00000,20.00000,405
1,38,2.858026e-06,20.00000,16.00000,417
1,39,2.683486e-06,33.00000,12.00000,470
1,40,2.431937e-06,27.00000,16.00000,456
1,41,2.360374e-06,25.00000,16.00000,446
1,42,2.578715e-06,17.00000,20.00000,420
1,43,2.527485e-06,26.00000,16.00000,448
1,44,2.322144e-06,17.00000,20.00000,420
1,45,2.020440e-06,24.00000,16.00000,440
1,46,2.202562e-06,14.00000,20.00000,427
1,47,2.047122e-06,33.00000,12.00000,477
1,48,1.866315e-06,20.00000,16.00000,416
1,49,1.741447e-06,34.00000,12.00000,474
1,50,2.005477e-06,18.00000,20.00000,426
1,51,1.776737e-06,15.00000,20.00000,409
1,52,2.096094e-06,20.00000,20.00000,433
1,53,1.825189e-06,14.00000,20.00000,406
1,54,1.615253e-06,23.00000,16.00000,434
1,55,1.735634e-06,18.00000,20.00000,426
1,56,1.260608e-06,20.00000,20.00000,435
1,57,1.505132e-06,21.00000,16.00000,424
1,58,1.555602e-06,25.00000,16.00000,446
1,59,1.923103e-06,21.00000,16.00000,427
1,60,1.194879e-06,33.00000,12.00000,475
1,61,1.243547e-06,33.00000,12.00000,472
