epoch,knn_accuracy_train,knn_accuracy_test
epoch,knn_accuracy_train,knn_accuracy_test
20,6.995708e-01,5.760000e-01
40,7.163805e-01,5.823333e-01
60,7.072961e-01,5.766667e-01
80,7.128040e-01,5.713333e-01
100,7.173104e-01,5.746667e-01
120,7.138770e-01,5.886667e-01
140,7.185265e-01,5.830000e-01
160,7.211731e-01,5.980000e-01
180,7.241059e-01,5.910000e-01
200,7.261803e-01,6.053333e-01
220,7.309728e-01,5.906667e-01
240,7.263948e-01,5.816667e-01
260,7.261087e-01,5.860000e-01
280,7.308298e-01,6.013333e-01
300,7.332618e-01,5.963333e-01
320,7.339771e-01,6.040000e-01
340,7.345494e-01,6.066667e-01
360,7.371960e-01,6.100000e-01
380,7.386266e-01,6.076667e-01
400,7.364092e-01,6.033333e-01
420,7.329757e-01,6.016667e-01
440,7.381974e-01,6.066667e-01
460,7.352647e-01,6.090000e-01
480,7.288984e-01,5.933333e-01
500,7.356223e-01,6.073333e-01
520,7.389127e-01,6.110000e-01
540,7.391989e-01,6.086667e-01
560,7.366953e-01,6.036667e-01
580,7.381259e-01,6.120000e-01
600,7.487840e-01,6.226667e-01
620,7.439199e-01,6.120000e-01
640,7.367668e-01,6.206667e-01
660,7.471388e-01,6.150000e-01
680,7.437768e-01,6.073333e-01
700,7.488555e-01,6.176667e-01
720,7.496423e-01,6.333333e-01
740,7.501431e-01,6.213333e-01
760,7.549356e-01,6.396667e-01
780,7.597282e-01,6.310000e-01
800,7.584406e-01,6.243333e-01
820,7.638770e-01,6.556667e-01
840,7.706724e-01,6.420000e-01
860,7.699571e-01,6.506667e-01
880,7.733906e-01,6.526667e-01
900,7.716738e-01,6.600000e-01
920,7.817597e-01,6.743333e-01
940,7.809013e-01,6.666667e-01
960,7.741774e-01,6.546667e-01
980,7.823319e-01,6.656667e-01
1000,7.768956e-01,6.613333e-01
