pretrain_checkpoint_epoch,epoch,train_accuracy,val_accuracy,loss,val_loss,time
250,1,4.34089e-01,6.51667e-01,1.21308e-02,9.23072e-03,0.14
250,2,6.92817e-01,6.94333e-01,7.84759e-03,7.47502e-03,0.14
250,3,7.16332e-01,7.08000e-01,6.74500e-03,6.76372e-03,0.14
250,4,7.28303e-01,7.22667e-01,6.22404e-03,6.40647e-03,0.15
250,5,7.34858e-01,7.32000e-01,5.91511e-03,6.14614e-03,0.15
250,6,7.41556e-01,7.33667e-01,5.71332e-03,6.01053e-03,0.13
250,7,7.46473e-01,7.38667e-01,5.56706e-03,5.86891e-03,0.15
250,8,7.49679e-01,7.43000e-01,5.45387e-03,5.74863e-03,0.14
250,9,7.50962e-01,7.44000e-01,5.36934e-03,5.70689e-03,0.14
250,10,7.53242e-01,7.51000e-01,5.30051e-03,5.61970e-03,0.12
250,11,7.56021e-01,7.49000e-01,5.24640e-03,5.54354e-03,0.14
250,12,7.57161e-01,7.49333e-01,5.18813e-03,5.50983e-03,0.14
250,13,7.57660e-01,7.51333e-01,5.14709e-03,5.48799e-03,0.15
250,14,7.60225e-01,7.53333e-01,5.12227e-03,5.43192e-03,0.14
250,15,7.59085e-01,7.57667e-01,5.08062e-03,5.42954e-03,0.14
250,16,7.64215e-01,7.56333e-01,5.05590e-03,5.37964e-03,0.14
250,17,7.63075e-01,7.59333e-01,5.03628e-03,5.36463e-03,0.14
250,18,7.64144e-01,7.60000e-01,5.01167e-03,5.33554e-03,0.15
250,19,7.66068e-01,7.59333e-01,4.98936e-03,5.31519e-03,0.14
250,20,7.65498e-01,7.60667e-01,4.97231e-03,5.35279e-03,0.14
250,21,7.66139e-01,7.60333e-01,4.95718e-03,5.28521e-03,0.14
250,22,7.68705e-01,7.58000e-01,4.93226e-03,5.27723e-03,0.14
250,23,7.67636e-01,7.59000e-01,4.93021e-03,5.33446e-03,0.14
250,24,7.69132e-01,7.63667e-01,4.91747e-03,5.27536e-03,0.12
250,25,7.69488e-01,7.60333e-01,4.89832e-03,5.25453e-03,0.14
250,26,7.70771e-01,7.61667e-01,4.89627e-03,5.26615e-03,0.15
250,27,7.72125e-01,7.62667e-01,4.87861e-03,5.21086e-03,0.14
250,28,7.70415e-01,7.63000e-01,4.86964e-03,5.21482e-03,0.14
250,29,7.70842e-01,7.65000e-01,4.85562e-03,5.23263e-03,0.14
250,30,7.71769e-01,7.65333e-01,4.84345e-03,5.18984e-03,0.15
250,31,7.71199e-01,7.62667e-01,4.83651e-03,5.17678e-03,0.15
250,32,7.71412e-01,7.65000e-01,4.83033e-03,5.18981e-03,0.14
250,33,7.71697e-01,7.66667e-01,4.82240e-03,5.18407e-03,0.14
250,34,7.71697e-01,7.69667e-01,4.80648e-03,5.15928e-03,0.17
250,35,7.73835e-01,7.68000e-01,4.80472e-03,5.15519e-03,0.15
250,36,7.73265e-01,7.64667e-01,4.80039e-03,5.13969e-03,0.15
250,37,7.74405e-01,7.69667e-01,4.78867e-03,5.13124e-03,0.14
250,38,7.73336e-01,7.70333e-01,4.77713e-03,5.12612e-03,0.14
250,39,7.75260e-01,7.66667e-01,4.77103e-03,5.12192e-03,0.14
250,40,7.74690e-01,7.67333e-01,4.76954e-03,5.10874e-03,0.15
250,41,7.76258e-01,7.70000e-01,4.75686e-03,5.11480e-03,0.15
250,42,7.75545e-01,7.71000e-01,4.75289e-03,5.11338e-03,0.11
250,43,7.76400e-01,7.70000e-01,4.75773e-03,5.10494e-03,0.15
250,44,7.76329e-01,7.73667e-01,4.74449e-03,5.09926e-03,0.14
250,45,7.75830e-01,7.70000e-01,4.73959e-03,5.12366e-03,0.14
250,46,7.78752e-01,7.70000e-01,4.73641e-03,5.09270e-03,0.15
250,47,7.77897e-01,7.71333e-01,4.72094e-03,5.09140e-03,0.15
250,48,7.78609e-01,7.71333e-01,4.72535e-03,5.09101e-03,0.11
250,49,7.77469e-01,7.66667e-01,4.71417e-03,5.11807e-03,0.08
250,50,7.76970e-01,7.74333e-01,4.71550e-03,5.07111e-03,0.08
250,51,7.78395e-01,7.73333e-01,4.70189e-03,5.07737e-03,0.08
250,52,7.81103e-01,7.69333e-01,4.70148e-03,5.07192e-03,0.10
250,53,7.77540e-01,7.73000e-01,4.69560e-03,5.07378e-03,0.15
250,54,7.79892e-01,7.71333e-01,4.69253e-03,5.09838e-03,0.14
250,55,7.79464e-01,7.71667e-01,4.69053e-03,5.06468e-03,0.15
250,56,7.79535e-01,7.74000e-01,4.68925e-03,5.03405e-03,0.14
250,57,7.81602e-01,7.72333e-01,4.68793e-03,5.05326e-03,0.14
250,58,7.80889e-01,7.74000e-01,4.67634e-03,5.03717e-03,0.16
250,59,7.80961e-01,7.73000e-01,4.66885e-03,5.02516e-03,0.14
250,60,7.80818e-01,7.73333e-01,4.66542e-03,5.03576e-03,0.14
250,61,7.80961e-01,7.74667e-01,4.66013e-03,5.02758e-03,0.15
250,62,7.80889e-01,7.74000e-01,4.65995e-03,5.03580e-03,0.14
250,63,7.83169e-01,7.72667e-01,4.65776e-03,5.03509e-03,0.15
250,64,7.79892e-01,7.74667e-01,4.64906e-03,5.00872e-03,0.13
250,65,7.82671e-01,7.74000e-01,4.64297e-03,5.01387e-03,0.14
250,66,7.81103e-01,7.75667e-01,4.64802e-03,5.02510e-03,0.15
250,67,7.83098e-01,7.74667e-01,4.63722e-03,4.99728e-03,0.15
250,68,7.81958e-01,7.73000e-01,4.64899e-03,5.00353e-03,0.15
250,69,7.82813e-01,7.74333e-01,4.63173e-03,5.00161e-03,0.14
250,70,7.83953e-01,7.72000e-01,4.63261e-03,5.03562e-03,0.14
250,71,7.82599e-01,7.76667e-01,4.63386e-03,4.99492e-03,0.15
250,72,7.83882e-01,7.77667e-01,4.62518e-03,4.98356e-03,0.14
250,73,7.82528e-01,7.74000e-01,4.62218e-03,4.97854e-03,0.14
250,74,7.84666e-01,7.77333e-01,4.62515e-03,4.98794e-03,0.17
250,75,7.85307e-01,7.74667e-01,4.61638e-03,4.97827e-03,0.14
250,76,7.82813e-01,7.75333e-01,4.61028e-03,4.98471e-03,0.14
250,77,7.83312e-01,7.78000e-01,4.61684e-03,5.00936e-03,0.17
250,78,7.82528e-01,7.72000e-01,4.61411e-03,4.99930e-03,0.13
250,79,7.84025e-01,7.77667e-01,4.60099e-03,4.96614e-03,0.13
250,80,7.84666e-01,7.76667e-01,4.60260e-03,4.96766e-03,0.14
250,81,7.85307e-01,7.76000e-01,4.59568e-03,4.96350e-03,0.12
250,82,7.82172e-01,7.78000e-01,4.59876e-03,4.97309e-03,0.13
250,83,7.84167e-01,7.73333e-01,4.58937e-03,4.97996e-03,0.15
250,84,7.85165e-01,7.75667e-01,4.59174e-03,4.98729e-03,0.15
250,85,7.86946e-01,7.76333e-01,4.59634e-03,4.95533e-03,0.14
250,86,7.82101e-01,7.80000e-01,4.59492e-03,4.96462e-03,0.15
250,87,7.85093e-01,7.77000e-01,4.58455e-03,4.96366e-03,0.15
250,88,7.84951e-01,7.81000e-01,4.58241e-03,4.94928e-03,0.15
250,89,7.85592e-01,7.78000e-01,4.57859e-03,4.97915e-03,0.14
250,90,7.84523e-01,7.78667e-01,4.57945e-03,4.94871e-03,0.14
250,91,7.85806e-01,7.77333e-01,4.56937e-03,4.95983e-03,0.13
250,92,7.82884e-01,7.79000e-01,4.57315e-03,4.95291e-03,0.14
250,93,7.85307e-01,7.76333e-01,4.57074e-03,4.95420e-03,0.15
250,94,7.85236e-01,7.78000e-01,4.56683e-03,4.93775e-03,0.14
250,95,7.86803e-01,7.78333e-01,4.56623e-03,4.93814e-03,0.14
250,96,7.85877e-01,7.78000e-01,4.55904e-03,4.93659e-03,0.14
250,97,7.86376e-01,7.76000e-01,4.54986e-03,4.99923e-03,0.14
250,98,7.87944e-01,7.81000e-01,4.55442e-03,4.93435e-03,0.15
250,99,7.87160e-01,7.79333e-01,4.55114e-03,4.93831e-03,0.15
250,100,7.87587e-01,7.77667e-01,4.54859e-03,4.93715e-03,0.14
250,101,7.87160e-01,7.77333e-01,4.54856e-03,4.92068e-03,0.14
250,102,7.87587e-01,7.81333e-01,4.55225e-03,4.91283e-03,0.14
250,103,7.87374e-01,7.79000e-01,4.54341e-03,4.92460e-03,0.15
250,104,7.86305e-01,7.81333e-01,4.54225e-03,4.94033e-03,0.14
250,105,7.87587e-01,7.79667e-01,4.54256e-03,4.91970e-03,0.14
250,106,7.87088e-01,7.79667e-01,4.54336e-03,4.94404e-03,0.12
250,107,7.88585e-01,7.81000e-01,4.53816e-03,4.92391e-03,0.14
250,108,7.87516e-01,7.77333e-01,4.53462e-03,4.91459e-03,0.14
250,109,7.88157e-01,7.79000e-01,4.53768e-03,4.90536e-03,0.14
250,110,7.86233e-01,7.79333e-01,4.52928e-03,4.91219e-03,0.08
250,111,7.89440e-01,7.79667e-01,4.52556e-03,4.91073e-03,0.10
250,112,7.86732e-01,7.83000e-01,4.52893e-03,4.90356e-03,0.14
250,113,7.87017e-01,7.77667e-01,4.53289e-03,4.94552e-03,0.14
250,114,7.88585e-01,7.79667e-01,4.52301e-03,4.92973e-03,0.14
250,115,7.88514e-01,7.80000e-01,4.52103e-03,4.91357e-03,0.16
250,116,7.87374e-01,7.82333e-01,4.51997e-03,4.91240e-03,0.15
250,117,7.88442e-01,7.78000e-01,4.51192e-03,4.88935e-03,0.13
250,118,7.89297e-01,7.79000e-01,4.52231e-03,4.90440e-03,0.14
250,119,7.89440e-01,7.78333e-01,4.51519e-03,4.88696e-03,0.16
250,120,7.89867e-01,7.84667e-01,4.51423e-03,4.88481e-03,0.15
250,121,7.88799e-01,7.78667e-01,4.51146e-03,4.91750e-03,0.14
250,122,7.89939e-01,7.81667e-01,4.51220e-03,4.88295e-03,0.15
250,123,7.90152e-01,7.83333e-01,4.51086e-03,4.90662e-03,0.15
250,124,7.89012e-01,7.82333e-01,4.50562e-03,4.88150e-03,0.14
250,125,7.88157e-01,7.82000e-01,4.50566e-03,4.89653e-03,0.14
250,126,7.89511e-01,7.80000e-01,4.50656e-03,4.90568e-03,0.15
250,127,7.88015e-01,7.84333e-01,4.51135e-03,4.87819e-03,0.17
250,128,7.88870e-01,7.83333e-01,4.50141e-03,4.88650e-03,0.15
250,129,7.90438e-01,7.81000e-01,4.49389e-03,4.89452e-03,0.11
250,130,7.89796e-01,7.84000e-01,4.49613e-03,4.87951e-03,0.09
250,131,7.91934e-01,7.80667e-01,4.49250e-03,4.87696e-03,0.08
250,132,7.89369e-01,7.83000e-01,4.49435e-03,4.87430e-03,0.08
250,133,7.89297e-01,7.78667e-01,4.49508e-03,4.90350e-03,0.08
250,134,7.89440e-01,7.82333e-01,4.50009e-03,4.88427e-03,0.13
250,135,7.90936e-01,7.81000e-01,4.49207e-03,4.87854e-03,0.14
250,136,7.91293e-01,7.84333e-01,4.49019e-03,4.86115e-03,0.14
250,137,7.90865e-01,7.84000e-01,4.48432e-03,4.88293e-03,0.15
250,138,7.89155e-01,7.80667e-01,4.48684e-03,4.85606e-03,0.14
250,139,7.90651e-01,7.79667e-01,4.48789e-03,4.86311e-03,0.16
250,140,7.91150e-01,7.82000e-01,4.48337e-03,4.89091e-03,0.14
250,141,7.90224e-01,7.83000e-01,4.48316e-03,4.85164e-03,0.14
250,142,7.90509e-01,7.83333e-01,4.48280e-03,4.87183e-03,0.15
250,143,7.90152e-01,7.80333e-01,4.47268e-03,4.86058e-03,0.15
250,144,7.89939e-01,7.77000e-01,4.47426e-03,4.86125e-03,0.14
250,145,7.89226e-01,7.84333e-01,4.48557e-03,4.84513e-03,0.15
250,146,7.90651e-01,7.80000e-01,4.48096e-03,4.86562e-03,0.15
250,147,7.92504e-01,7.85667e-01,4.46851e-03,4.84745e-03,0.15
250,148,7.91293e-01,7.86000e-01,4.46466e-03,4.84645e-03,0.14
250,149,7.90865e-01,7.83000e-01,4.46802e-03,4.86214e-03,0.15
250,150,7.91364e-01,7.82333e-01,4.46358e-03,4.86076e-03,0.15
250,151,7.91506e-01,7.84667e-01,4.47034e-03,4.85277e-03,0.14
250,152,7.91150e-01,7.83000e-01,4.47986e-03,4.84392e-03,0.14
250,153,7.91079e-01,7.80667e-01,4.46803e-03,4.85772e-03,0.16
250,154,7.92789e-01,7.84333e-01,4.46561e-03,4.84545e-03,0.14
250,155,7.91293e-01,7.82333e-01,4.45499e-03,4.83702e-03,0.14
250,156,7.90509e-01,7.85000e-01,4.46144e-03,4.85289e-03,0.15
250,157,7.92575e-01,7.85667e-01,4.45652e-03,4.83986e-03,0.15
250,158,7.91934e-01,7.85000e-01,4.45667e-03,4.84121e-03,0.12
250,159,7.91150e-01,7.81333e-01,4.47165e-03,4.85924e-03,0.13
250,160,7.92219e-01,7.82000e-01,4.45327e-03,4.84443e-03,0.13
250,161,7.93858e-01,7.80000e-01,4.45466e-03,4.85702e-03,0.14
250,162,7.92219e-01,7.84333e-01,4.45551e-03,4.85825e-03,0.15
250,163,7.93145e-01,7.80667e-01,4.45068e-03,4.83931e-03,0.15
250,164,7.91079e-01,7.85333e-01,4.45461e-03,4.83444e-03,0.15
