epoch,knn_accuracy_train,knn_accuracy_test
20,6.942529e-01,5.793333e-01
40,6.709770e-01,5.106667e-01
60,6.553161e-01,4.906667e-01
80,6.778736e-01,5.046667e-01
100,6.728448e-01,4.960000e-01
120,6.925287e-01,5.206667e-01
140,6.910920e-01,5.266667e-01
160,6.896552e-01,5.353333e-01
180,6.880747e-01,5.413333e-01
200,6.942529e-01,5.460000e-01
220,6.988506e-01,5.453333e-01
240,6.972701e-01,5.420000e-01
260,7.050287e-01,5.340000e-01
280,6.987069e-01,5.680000e-01
300,7.025862e-01,5.480000e-01
320,7.127874e-01,5.540000e-01
340,7.097701e-01,5.580000e-01
360,7.054598e-01,5.566667e-01
380,7.120690e-01,5.780000e-01
400,7.195402e-01,5.746667e-01
420,7.262931e-01,5.653333e-01
440,7.264368e-01,5.686667e-01
460,7.271552e-01,5.673333e-01
480,7.272989e-01,5.826667e-01
500,7.257184e-01,5.846667e-01
