epoch,itr,loss,mask-A,mask-B,time (ms)
1,0,3.154197e-02,18.00000,16.00000,806
1,1,2.702399e-02,33.00000,12.00000,418
1,2,2.643405e-02,23.00000,16.00000,384
1,3,1.902768e-02,21.00000,20.00000,361
1,4,1.593569e-02,8.00000,20.00000,313
1,5,1.529305e-02,16.00000,20.00000,336
1,6,1.626593e-02,18.00000,20.00000,359
1,7,1.538273e-02,18.00000,20.00000,343
1,8,1.460323e-02,26.00000,16.00000,356
1,9,1.577390e-02,24.00000,16.00000,356
1,10,1.515516e-02,17.00000,16.00000,333
1,11,1.486599e-02,25.00000,16.00000,357
1,12,1.391770e-02,17.00000,16.00000,360
1,13,1.246848e-02,21.00000,20.00000,350
1,14,1.300455e-02,27.00000,16.00000,365
1,15,1.149879e-02,25.00000,16.00000,355
1,16,1.232574e-02,24.00000,16.00000,353
1,17,1.085997e-02,25.00000,16.00000,353
1,18,1.162840e-02,24.00000,16.00000,356
1,19,1.168679e-02,23.00000,16.00000,350
1,20,1.136150e-02,20.00000,16.00000,342
1,21,1.058847e-02,23.00000,16.00000,351
1,22,1.056506e-02,24.00000,16.00000,361
1,23,1.050285e-02,25.00000,16.00000,356
1,24,7.904830e-03,24.00000,20.00000,366
1,25,7.559356e-03,19.00000,20.00000,349
1,26,8.022336e-03,17.00000,20.00000,344
1,27,8.066863e-03,17.00000,20.00000,344
1,28,7.736184e-03,18.00000,20.00000,347
1,29,9.096381e-03,26.00000,16.00000,361
1,30,7.095225e-03,19.00000,20.00000,346
1,31,8.719357e-03,21.00000,16.00000,345
1,32,7.269309e-03,16.00000,20.00000,343
1,33,7.246028e-03,16.00000,20.00000,349
1,34,7.205510e-03,16.00000,20.00000,337
1,35,8.576099e-03,23.00000,16.00000,354
1,36,7.690671e-03,26.00000,16.00000,362
1,37,6.610612e-03,22.00000,20.00000,360
1,38,8.512912e-03,23.00000,16.00000,351
1,39,1.111133e-02,33.00000,12.00000,380
1,40,8.260746e-03,25.00000,16.00000,361
1,41,8.135887e-03,26.00000,16.00000,365
1,42,6.441242e-03,19.00000,20.00000,346
1,43,8.159681e-03,26.00000,16.00000,363
1,44,6.404186e-03,17.00000,20.00000,342
1,45,8.315191e-03,20.00000,16.00000,342
1,46,7.335990e-03,17.00000,20.00000,345
1,47,9.906294e-03,35.00000,12.00000,387
1,48,7.660205e-03,25.00000,16.00000,362
1,49,1.020376e-02,35.00000,12.00000,386
1,50,7.649481e-03,12.00000,20.00000,330
1,51,7.063990e-03,17.00000,20.00000,344
1,52,7.906056e-03,11.00000,20.00000,347
1,53,6.484884e-03,19.00000,20.00000,347
1,54,8.413373e-03,27.00000,16.00000,367
1,55,8.043746e-03,12.00000,20.00000,329
1,56,7.128080e-03,20.00000,20.00000,354
1,57,8.050863e-03,20.00000,16.00000,344
1,58,9.359379e-03,21.00000,16.00000,348
1,59,8.616941e-03,25.00000,16.00000,361
1,60,1.036760e-02,33.00000,12.00000,379
1,61,9.990422e-03,33.00000,12.00000,379
1,62,7.202575e-03,17.00000,20.00000,346
1,63,8.178534e-03,14.00000,20.00000,336
1,64,1.319023e-02,33.00000,12.00000,380
1,65,8.420844e-03,21.00000,20.00000,355
1,66,1.228377e-02,25.00000,16.00000,362
1,67,9.172326e-03,16.00000,20.00000,339
1,68,9.030011e-03,27.00000,16.00000,366
1,69,1.074644e-02,17.00000,20.00000,346
1,70,1.117886e-02,27.00000,16.00000,369
1,71,1.027950e-02,25.00000,16.00000,362
1,72,9.520868e-03,24.00000,16.00000,357
1,73,1.021766e-02,23.00000,16.00000,362
1,74,8.578019e-03,22.00000,20.00000,360
1,75,9.853264e-03,16.00000,20.00000,336
1,76,1.198062e-02,24.00000,16.00000,361
1,77,1.186314e-02,17.00000,16.00000,337
1,78,9.244939e-03,25.00000,16.00000,363
1,79,1.248540e-02,17.00000,16.00000,338
1,80,8.551442e-03,20.00000,20.00000,355
1,81,9.837225e-03,14.00000,20.00000,336
1,82,1.135648e-02,25.00000,16.00000,363
1,83,8.617086e-03,19.00000,20.00000,349
1,84,8.533785e-03,21.00000,20.00000,357
1,85,1.046807e-02,16.00000,20.00000,360
1,86,1.023144e-02,12.00000,20.00000,329
1,87,1.359620e-02,33.00000,12.00000,381
1,88,9.454165e-03,19.00000,20.00000,353
1,89,9.714658e-03,20.00000,20.00000,355
1,90,1.049005e-02,24.00000,16.00000,362
1,91,1.256765e-02,17.00000,16.00000,338
1,92,9.952182e-03,15.00000,20.00000,358
1,93,1.048769e-02,27.00000,16.00000,366
1,94,1.095755e-02,24.00000,16.00000,362
1,95,1.179003e-02,27.00000,16.00000,366
1,96,9.872790e-03,17.00000,20.00000,346
1,97,1.067325e-02,25.00000,16.00000,365
1,98,9.893127e-03,28.00000,16.00000,374
1,99,1.057999e-02,24.00000,16.00000,360
1,100,1.003427e-02,24.00000,16.00000,360
1,101,1.052760e-02,24.00000,16.00000,361
1,102,1.730469e-02,33.00000,12.00000,383
1,103,1.155658e-02,13.00000,20.00000,358
1,104,9.796098e-03,21.00000,20.00000,354
1,105,1.173420e-02,23.00000,16.00000,354
1,106,1.227757e-02,20.00000,16.00000,345
1,107,9.093679e-03,18.00000,20.00000,348
1,108,9.112723e-03,18.00000,20.00000,350
1,109,1.265074e-02,21.00000,16.00000,350
1,110,1.053932e-02,14.00000,20.00000,337
1,111,8.999161e-03,19.00000,20.00000,353
1,112,1.452805e-02,35.00000,12.00000,385
1,113,9.633496e-03,23.00000,16.00000,360
1,114,9.576263e-03,19.00000,20.00000,353
1,115,1.099219e-02,25.00000,16.00000,361
2,0,1.116566e-02,20.00000,16.00000,1526
2,1,1.144785e-02,33.00000,12.00000,371
2,2,1.255712e-02,25.00000,16.00000,360
2,3,1.259899e-02,21.00000,16.00000,380
2,4,1.080820e-02,25.00000,16.00000,362
2,5,1.085355e-02,25.00000,16.00000,361
2,6,1.318941e-02,33.00000,12.00000,375
2,7,1.020923e-02,25.00000,16.00000,359
