epoch,loss,loss_L2,loss_PKT,cross_mse
1,2.140368e-02,0.000000e+00,0.000000e+00,0.000000e+00
2,1.927584e-02,0.000000e+00,0.000000e+00,0.000000e+00
3,1.678573e-02,0.000000e+00,0.000000e+00,0.000000e+00
4,1.470263e-02,0.000000e+00,0.000000e+00,0.000000e+00
5,1.167140e-02,0.000000e+00,0.000000e+00,0.000000e+00
6,9.353035e-03,0.000000e+00,0.000000e+00,0.000000e+00
7,8.101522e-03,0.000000e+00,0.000000e+00,0.000000e+00
8,6.788278e-03,0.000000e+00,0.000000e+00,0.000000e+00
9,6.365961e-03,0.000000e+00,0.000000e+00,0.000000e+00
10,6.052679e-03,0.000000e+00,0.000000e+00,0.000000e+00
11,5.903111e-03,0.000000e+00,0.000000e+00,0.000000e+00
12,5.777451e-03,0.000000e+00,0.000000e+00,0.000000e+00
13,5.857280e-03,0.000000e+00,0.000000e+00,0.000000e+00
14,5.743881e-03,0.000000e+00,0.000000e+00,0.000000e+00
15,5.604219e-03,0.000000e+00,0.000000e+00,0.000000e+00
16,5.654284e-03,0.000000e+00,0.000000e+00,0.000000e+00
17,5.792122e-03,0.000000e+00,0.000000e+00,0.000000e+00
18,5.879764e-03,0.000000e+00,0.000000e+00,0.000000e+00
19,5.982635e-03,0.000000e+00,0.000000e+00,0.000000e+00
20,6.048911e-03,0.000000e+00,0.000000e+00,0.000000e+00
21,6.258818e-03,0.000000e+00,0.000000e+00,0.000000e+00
22,6.243862e-03,0.000000e+00,0.000000e+00,0.000000e+00
23,6.155601e-03,0.000000e+00,0.000000e+00,0.000000e+00
24,6.209596e-03,0.000000e+00,0.000000e+00,0.000000e+00
25,6.294446e-03,0.000000e+00,0.000000e+00,0.000000e+00
26,6.533514e-03,0.000000e+00,0.000000e+00,0.000000e+00
27,6.560622e-03,0.000000e+00,0.000000e+00,0.000000e+00
28,6.471617e-03,0.000000e+00,0.000000e+00,0.000000e+00
29,6.367376e-03,0.000000e+00,0.000000e+00,0.000000e+00
30,6.315812e-03,0.000000e+00,0.000000e+00,0.000000e+00
31,6.211238e-03,0.000000e+00,0.000000e+00,0.000000e+00
32,6.139210e-03,0.000000e+00,0.000000e+00,0.000000e+00
33,6.095994e-03,0.000000e+00,0.000000e+00,0.000000e+00
34,6.126648e-03,0.000000e+00,0.000000e+00,0.000000e+00
35,6.125515e-03,0.000000e+00,0.000000e+00,0.000000e+00
36,5.951432e-03,0.000000e+00,0.000000e+00,0.000000e+00
37,5.966884e-03,0.000000e+00,0.000000e+00,0.000000e+00
38,5.895675e-03,0.000000e+00,0.000000e+00,0.000000e+00
39,5.673789e-03,0.000000e+00,0.000000e+00,0.000000e+00
40,5.577717e-03,0.000000e+00,0.000000e+00,0.000000e+00
41,5.644095e-03,0.000000e+00,0.000000e+00,0.000000e+00
42,5.564468e-03,0.000000e+00,0.000000e+00,0.000000e+00
43,5.368161e-03,0.000000e+00,0.000000e+00,0.000000e+00
44,5.389703e-03,0.000000e+00,0.000000e+00,0.000000e+00
45,5.525010e-03,0.000000e+00,0.000000e+00,0.000000e+00
46,5.481022e-03,0.000000e+00,0.000000e+00,0.000000e+00
47,5.381580e-03,0.000000e+00,0.000000e+00,0.000000e+00
48,5.409019e-03,0.000000e+00,0.000000e+00,0.000000e+00
49,5.280697e-03,0.000000e+00,0.000000e+00,0.000000e+00
50,5.279710e-03,0.000000e+00,0.000000e+00,0.000000e+00
51,5.289021e-03,0.000000e+00,0.000000e+00,0.000000e+00
52,5.099654e-03,0.000000e+00,0.000000e+00,0.000000e+00
53,4.968653e-03,0.000000e+00,0.000000e+00,0.000000e+00
54,4.952498e-03,0.000000e+00,0.000000e+00,0.000000e+00
55,4.981813e-03,0.000000e+00,0.000000e+00,0.000000e+00
56,4.854775e-03,0.000000e+00,0.000000e+00,0.000000e+00
57,4.822443e-03,0.000000e+00,0.000000e+00,0.000000e+00
58,4.835491e-03,0.000000e+00,0.000000e+00,0.000000e+00
59,4.801457e-03,0.000000e+00,0.000000e+00,0.000000e+00
60,4.819265e-03,0.000000e+00,0.000000e+00,0.000000e+00
61,4.812647e-03,0.000000e+00,0.000000e+00,0.000000e+00
62,4.729275e-03,0.000000e+00,0.000000e+00,0.000000e+00
63,4.781967e-03,0.000000e+00,0.000000e+00,0.000000e+00
64,4.747306e-03,0.000000e+00,0.000000e+00,0.000000e+00
65,4.780797e-03,0.000000e+00,0.000000e+00,0.000000e+00
66,4.796241e-03,0.000000e+00,0.000000e+00,0.000000e+00
67,4.676419e-03,0.000000e+00,0.000000e+00,0.000000e+00
68,4.695213e-03,0.000000e+00,0.000000e+00,0.000000e+00
69,4.796404e-03,0.000000e+00,0.000000e+00,0.000000e+00
70,4.761081e-03,0.000000e+00,0.000000e+00,0.000000e+00
71,4.817864e-03,0.000000e+00,0.000000e+00,0.000000e+00
72,4.849999e-03,0.000000e+00,0.000000e+00,0.000000e+00
73,4.833017e-03,0.000000e+00,0.000000e+00,0.000000e+00
74,4.846386e-03,0.000000e+00,0.000000e+00,0.000000e+00
75,4.830191e-03,0.000000e+00,0.000000e+00,0.000000e+00
76,4.849222e-03,0.000000e+00,0.000000e+00,0.000000e+00
77,4.854185e-03,0.000000e+00,0.000000e+00,0.000000e+00
78,4.945079e-03,0.000000e+00,0.000000e+00,0.000000e+00
79,5.020888e-03,0.000000e+00,0.000000e+00,0.000000e+00
80,5.040105e-03,0.000000e+00,0.000000e+00,0.000000e+00
81,4.994531e-03,0.000000e+00,0.000000e+00,0.000000e+00
82,4.945536e-03,0.000000e+00,0.000000e+00,0.000000e+00
83,5.023271e-03,0.000000e+00,0.000000e+00,0.000000e+00
84,5.019964e-03,0.000000e+00,0.000000e+00,0.000000e+00
85,5.009739e-03,0.000000e+00,0.000000e+00,0.000000e+00
86,5.045688e-03,0.000000e+00,0.000000e+00,0.000000e+00
87,5.018807e-03,0.000000e+00,0.000000e+00,0.000000e+00
88,5.055797e-03,0.000000e+00,0.000000e+00,0.000000e+00
89,5.088088e-03,0.000000e+00,0.000000e+00,0.000000e+00
90,5.188616e-03,0.000000e+00,0.000000e+00,0.000000e+00
91,5.250086e-03,0.000000e+00,0.000000e+00,0.000000e+00
92,5.281532e-03,0.000000e+00,0.000000e+00,0.000000e+00
93,5.350230e-03,0.000000e+00,0.000000e+00,0.000000e+00
94,5.345116e-03,0.000000e+00,0.000000e+00,0.000000e+00
95,5.433002e-03,0.000000e+00,0.000000e+00,0.000000e+00
96,5.513474e-03,0.000000e+00,0.000000e+00,0.000000e+00
97,5.485245e-03,0.000000e+00,0.000000e+00,0.000000e+00
98,5.602285e-03,0.000000e+00,0.000000e+00,0.000000e+00
99,5.656104e-03,0.000000e+00,0.000000e+00,0.000000e+00
100,5.767398e-03,0.000000e+00,0.000000e+00,0.000000e+00
101,5.813795e-03,0.000000e+00,0.000000e+00,0.000000e+00
102,5.934566e-03,0.000000e+00,0.000000e+00,0.000000e+00
103,5.827482e-03,0.000000e+00,0.000000e+00,0.000000e+00
104,5.865884e-03,0.000000e+00,0.000000e+00,0.000000e+00
105,5.878320e-03,0.000000e+00,0.000000e+00,0.000000e+00
106,5.904496e-03,0.000000e+00,0.000000e+00,0.000000e+00
107,5.971070e-03,0.000000e+00,0.000000e+00,0.000000e+00
108,6.112296e-03,0.000000e+00,0.000000e+00,0.000000e+00
109,6.164518e-03,0.000000e+00,0.000000e+00,0.000000e+00
110,6.138616e-03,0.000000e+00,0.000000e+00,0.000000e+00
111,6.291270e-03,0.000000e+00,0.000000e+00,0.000000e+00
112,6.354101e-03,0.000000e+00,0.000000e+00,0.000000e+00
113,6.367149e-03,0.000000e+00,0.000000e+00,0.000000e+00
114,6.527850e-03,0.000000e+00,0.000000e+00,0.000000e+00
115,6.668925e-03,0.000000e+00,0.000000e+00,0.000000e+00
116,6.677533e-03,0.000000e+00,0.000000e+00,0.000000e+00
117,6.707812e-03,0.000000e+00,0.000000e+00,0.000000e+00
