pretrain_checkpoint_epoch,epoch,train_accuracy,val_accuracy,loss,val_loss,time
100,1,4.58244e-01,5.48333e-01,1.12551e-02,9.34405e-03,0.24
100,2,5.98475e-01,5.96667e-01,8.44268e-03,8.34394e-03,0.19
100,3,6.17999e-01,6.16000e-01,7.81036e-03,7.97123e-03,0.26
100,4,6.36383e-01,6.30333e-01,7.47823e-03,7.68381e-03,0.25
100,5,6.45290e-01,6.38667e-01,7.28657e-03,7.52462e-03,0.23
100,6,6.55693e-01,6.38333e-01,7.13937e-03,7.44536e-03,0.37
100,7,6.59969e-01,6.42333e-01,7.02959e-03,7.37948e-03,0.27
100,8,6.62748e-01,6.50000e-01,6.96254e-03,7.25316e-03,0.25
100,9,6.65170e-01,6.44667e-01,6.89063e-03,7.21383e-03,0.26
100,10,6.65954e-01,6.57333e-01,6.85501e-03,7.13990e-03,0.27
100,11,6.70942e-01,6.52000e-01,6.79319e-03,7.12777e-03,0.25
100,12,6.72795e-01,6.57000e-01,6.76401e-03,7.07080e-03,0.26
100,13,6.75146e-01,6.55333e-01,6.72644e-03,7.04528e-03,0.24
100,14,6.75075e-01,6.58000e-01,6.71435e-03,7.02449e-03,0.23
100,15,6.77640e-01,6.59667e-01,6.69635e-03,7.03748e-03,0.38
100,16,6.78424e-01,6.60333e-01,6.66617e-03,7.02356e-03,0.24
100,17,6.78424e-01,6.58333e-01,6.65169e-03,7.01079e-03,0.23
100,18,6.80134e-01,6.58333e-01,6.63104e-03,7.02540e-03,0.23
100,19,6.78923e-01,6.63333e-01,6.61896e-03,6.97255e-03,0.19
100,20,6.80989e-01,6.58333e-01,6.59743e-03,7.01313e-03,0.22
100,21,6.81274e-01,6.59333e-01,6.58344e-03,6.96750e-03,0.19
100,22,6.86262e-01,6.62333e-01,6.57065e-03,6.93291e-03,0.23
100,23,6.82557e-01,6.64333e-01,6.57001e-03,6.90759e-03,0.24
100,24,6.84694e-01,6.65000e-01,6.54304e-03,6.90441e-03,0.23
100,25,6.83768e-01,6.61333e-01,6.54527e-03,6.96040e-03,0.35
100,26,6.85549e-01,6.64000e-01,6.52843e-03,6.85367e-03,0.26
100,27,6.84979e-01,6.67000e-01,6.51840e-03,6.85912e-03,0.22
100,28,6.85763e-01,6.68667e-01,6.51816e-03,6.86026e-03,0.24
100,29,6.82557e-01,6.67333e-01,6.51044e-03,6.87548e-03,0.26
100,30,6.84766e-01,6.65333e-01,6.50374e-03,6.86861e-03,0.27
100,31,6.85763e-01,6.70333e-01,6.49897e-03,6.85391e-03,0.24
100,32,6.87260e-01,6.69333e-01,6.49069e-03,6.86881e-03,0.23
100,33,6.89041e-01,6.67000e-01,6.46419e-03,6.81980e-03,0.24
100,34,6.86832e-01,6.70667e-01,6.45841e-03,6.80376e-03,0.23
100,35,6.88115e-01,6.70000e-01,6.46059e-03,6.84201e-03,0.34
100,36,6.89682e-01,6.72667e-01,6.45289e-03,6.80594e-03,0.21
100,37,6.86333e-01,6.71000e-01,6.45855e-03,6.80077e-03,0.20
100,38,6.88970e-01,6.70667e-01,6.43335e-03,6.81383e-03,0.21
100,39,6.89753e-01,6.69333e-01,6.43819e-03,6.85458e-03,0.19
100,40,6.89611e-01,6.73000e-01,6.43177e-03,6.83038e-03,0.22
100,41,6.86618e-01,6.76333e-01,6.42411e-03,6.76056e-03,0.20
100,42,6.87901e-01,6.76333e-01,6.42641e-03,6.80593e-03,0.23
100,43,6.90680e-01,6.66333e-01,6.43566e-03,6.85945e-03,0.23
100,44,6.89041e-01,6.69333e-01,6.42890e-03,6.74795e-03,0.23
100,45,6.91891e-01,6.73000e-01,6.41209e-03,6.76939e-03,0.24
100,46,6.90395e-01,6.71667e-01,6.40924e-03,6.76356e-03,0.33
100,47,6.91820e-01,6.73000e-01,6.39328e-03,6.81088e-03,0.23
100,48,6.88400e-01,6.78667e-01,6.39523e-03,6.72724e-03,0.23
100,49,6.90466e-01,6.69000e-01,6.37739e-03,6.81587e-03,0.23
100,50,6.92105e-01,6.76667e-01,6.38161e-03,6.72967e-03,0.23
100,51,6.91535e-01,6.76000e-01,6.37717e-03,6.73149e-03,0.23
100,52,6.97520e-01,6.76000e-01,6.38038e-03,6.72662e-03,0.23
100,53,6.92176e-01,6.76000e-01,6.36837e-03,6.74186e-03,0.24
100,54,6.92319e-01,6.77000e-01,6.35686e-03,6.69766e-03,0.23
100,55,6.91250e-01,6.77667e-01,6.36278e-03,6.72373e-03,0.23
100,56,6.94599e-01,6.78333e-01,6.36879e-03,6.70043e-03,0.31
100,57,6.96594e-01,6.74333e-01,6.34990e-03,6.71796e-03,0.21
100,58,6.91962e-01,6.78333e-01,6.37380e-03,6.68336e-03,0.22
100,59,6.93031e-01,6.70000e-01,6.34680e-03,6.71032e-03,0.19
100,60,6.92176e-01,6.77667e-01,6.35840e-03,6.77681e-03,0.21
100,61,6.91962e-01,6.79000e-01,6.35796e-03,6.78971e-03,0.20
100,62,6.94314e-01,6.74333e-01,6.33999e-03,6.75482e-03,0.20
100,63,6.92034e-01,6.81000e-01,6.32687e-03,6.70361e-03,0.23
100,64,6.95953e-01,6.79000e-01,6.32693e-03,6.67648e-03,0.19
100,65,6.95026e-01,6.77333e-01,6.32398e-03,6.68337e-03,0.22
100,66,6.95881e-01,6.78667e-01,6.32663e-03,6.68856e-03,0.19
100,67,6.93744e-01,6.78333e-01,6.31936e-03,6.68606e-03,0.35
100,68,6.93886e-01,6.81333e-01,6.31566e-03,6.70837e-03,0.25
100,69,6.96523e-01,6.80333e-01,6.30442e-03,6.69626e-03,0.23
100,70,6.95383e-01,6.83000e-01,6.30828e-03,6.71566e-03,0.24
100,71,6.97520e-01,6.81000e-01,6.30045e-03,6.68501e-03,0.24
100,72,6.92960e-01,6.79333e-01,6.31948e-03,6.67111e-03,0.23
100,73,6.98162e-01,6.87667e-01,6.32014e-03,6.72014e-03,0.26
100,74,6.94741e-01,6.79000e-01,6.30407e-03,6.77730e-03,0.23
100,75,6.97235e-01,6.79000e-01,6.29466e-03,6.63251e-03,0.23
100,76,6.98447e-01,6.78333e-01,6.28302e-03,6.71238e-03,0.26
100,77,6.96950e-01,6.78000e-01,6.29081e-03,6.63429e-03,0.30
100,78,6.96950e-01,6.78333e-01,6.30124e-03,6.67640e-03,0.23
100,79,6.94456e-01,6.81667e-01,6.29355e-03,6.63050e-03,0.27
100,80,6.98732e-01,6.81333e-01,6.28479e-03,6.65633e-03,0.24
100,81,7.00157e-01,6.82000e-01,6.27713e-03,6.64781e-03,0.23
100,82,7.00228e-01,6.85000e-01,6.27044e-03,6.61846e-03,0.23
100,83,6.98090e-01,6.77667e-01,6.27794e-03,6.65490e-03,0.23
100,84,6.95953e-01,6.83000e-01,6.29241e-03,6.65143e-03,0.23
100,85,6.98304e-01,6.82667e-01,6.26733e-03,6.61845e-03,0.24
100,86,6.98945e-01,6.80000e-01,6.25573e-03,6.68355e-03,0.23
100,87,6.96594e-01,6.78000e-01,6.28254e-03,6.63902e-03,0.28
100,88,6.97734e-01,6.81000e-01,6.26234e-03,6.61464e-03,0.23
100,89,7.02793e-01,6.87333e-01,6.24690e-03,6.67192e-03,0.23
100,90,6.99515e-01,6.84000e-01,6.26370e-03,6.60652e-03,0.23
100,91,6.98518e-01,6.87000e-01,6.25183e-03,6.71461e-03,0.23
100,92,6.98090e-01,6.86667e-01,6.25565e-03,6.58701e-03,0.23
100,93,6.99017e-01,6.76333e-01,6.24085e-03,6.61258e-03,0.23
100,94,7.00869e-01,6.82000e-01,6.24913e-03,6.60399e-03,0.23
100,95,6.97378e-01,6.83000e-01,6.24941e-03,6.61324e-03,0.23
100,96,7.00371e-01,6.81667e-01,6.25835e-03,6.62200e-03,0.23
100,97,6.99017e-01,6.79000e-01,6.24390e-03,6.60883e-03,0.28
100,98,6.97805e-01,6.78000e-01,6.24739e-03,6.63119e-03,0.23
100,99,6.99373e-01,6.86333e-01,6.25598e-03,6.57766e-03,0.23
100,100,7.00656e-01,6.87333e-01,6.24264e-03,6.56750e-03,0.23
100,101,7.04147e-01,6.85000e-01,6.21244e-03,6.56936e-03,0.24
100,102,7.00014e-01,6.86333e-01,6.22926e-03,6.61827e-03,0.24
100,103,7.01511e-01,6.83667e-01,6.21451e-03,6.56513e-03,0.24
100,104,7.00014e-01,6.82333e-01,6.22557e-03,6.59638e-03,0.24
100,105,7.00941e-01,6.78667e-01,6.23111e-03,6.80154e-03,0.24
100,106,7.02936e-01,6.87333e-01,6.23162e-03,6.62905e-03,0.24
100,107,7.02152e-01,6.83000e-01,6.22474e-03,6.58391e-03,0.56
100,108,7.03648e-01,6.88333e-01,6.22956e-03,6.55651e-03,0.29
100,109,7.01439e-01,6.87667e-01,6.21919e-03,6.57513e-03,0.29
100,110,7.00228e-01,6.88333e-01,6.22894e-03,6.60719e-03,0.29
100,111,7.03078e-01,6.84667e-01,6.22040e-03,6.64228e-03,0.29
100,112,7.01368e-01,6.86333e-01,6.21894e-03,6.60243e-03,0.29
100,113,7.00371e-01,6.87000e-01,6.21812e-03,6.60236e-03,0.29
100,114,7.00941e-01,6.89000e-01,6.21764e-03,6.57871e-03,0.40
100,115,7.03363e-01,6.82333e-01,6.21506e-03,6.55689e-03,0.23
100,116,7.00656e-01,6.78333e-01,6.21976e-03,6.63260e-03,0.23
100,117,7.01796e-01,6.89000e-01,6.20796e-03,6.58976e-03,0.23
100,118,7.00656e-01,6.89667e-01,6.20182e-03,6.53943e-03,0.23
100,119,7.02294e-01,6.89667e-01,6.20273e-03,6.54253e-03,0.23
100,120,7.01938e-01,6.86333e-01,6.20639e-03,6.56551e-03,0.23
100,121,7.00299e-01,6.86000e-01,6.21594e-03,6.57843e-03,0.23
100,122,7.02294e-01,6.88000e-01,6.20987e-03,6.55749e-03,0.23
100,123,7.01154e-01,6.90333e-01,6.19378e-03,6.56721e-03,0.26
100,124,7.03791e-01,6.87667e-01,6.18964e-03,6.63077e-03,0.49
100,125,7.03435e-01,6.84333e-01,6.19865e-03,6.55675e-03,0.23
100,126,7.01154e-01,6.90333e-01,6.19551e-03,6.53427e-03,0.23
100,127,7.04931e-01,6.88333e-01,6.17748e-03,6.57690e-03,0.23
100,128,7.05501e-01,6.89667e-01,6.18506e-03,6.52731e-03,0.23
100,129,7.01368e-01,6.88667e-01,6.19618e-03,6.65948e-03,0.24
100,130,7.03933e-01,6.89333e-01,6.18875e-03,6.57261e-03,0.23
100,131,7.02437e-01,6.91333e-01,6.17935e-03,6.54145e-03,0.23
100,132,7.03435e-01,6.88333e-01,6.18105e-03,6.55864e-03,0.36
100,133,7.03007e-01,6.87333e-01,6.17705e-03,6.53446e-03,0.23
100,134,7.04931e-01,6.91333e-01,6.18222e-03,6.58132e-03,0.23
100,135,7.00727e-01,6.91333e-01,6.18614e-03,6.54611e-03,0.26
100,136,7.03221e-01,6.88333e-01,6.16863e-03,6.53578e-03,0.23
100,137,7.03007e-01,6.89333e-01,6.17358e-03,6.55098e-03,0.23
100,138,7.03007e-01,6.88000e-01,6.17437e-03,6.61044e-03,0.23
100,139,7.03435e-01,6.86333e-01,6.17442e-03,6.52879e-03,0.23
100,140,7.03149e-01,6.94667e-01,6.16697e-03,6.55801e-03,0.23
100,141,7.03435e-01,6.90333e-01,6.19063e-03,6.51870e-03,0.23
100,142,7.03007e-01,6.90000e-01,6.18142e-03,6.54564e-03,0.23
100,143,7.05002e-01,6.83333e-01,6.18554e-03,6.52847e-03,0.52
100,144,7.04575e-01,6.90333e-01,6.16532e-03,6.58385e-03,0.23
100,145,7.03221e-01,6.94333e-01,6.16640e-03,6.55647e-03,0.23
100,146,7.04717e-01,6.90667e-01,6.16989e-03,6.53222e-03,0.24
100,147,7.06570e-01,6.87000e-01,6.15993e-03,6.62916e-03,0.24
100,148,7.03648e-01,6.90000e-01,6.16528e-03,6.52222e-03,0.24
100,149,7.06142e-01,6.91000e-01,6.16123e-03,6.56356e-03,0.24
100,150,7.04361e-01,6.79667e-01,6.15460e-03,6.55910e-03,0.24
100,151,7.03078e-01,6.82333e-01,6.16233e-03,6.51666e-03,0.36
100,152,7.01653e-01,6.89667e-01,6.17598e-03,6.50843e-03,0.42
100,153,7.07140e-01,6.91000e-01,6.14831e-03,6.54561e-03,0.23
100,154,7.04931e-01,6.90667e-01,6.14290e-03,6.53682e-03,0.23
100,155,7.05786e-01,6.88667e-01,6.15173e-03,6.51520e-03,0.23
100,156,7.05073e-01,6.86667e-01,6.16465e-03,6.51272e-03,0.23
100,157,7.05501e-01,6.92000e-01,6.14154e-03,6.52823e-03,0.23
100,158,7.04860e-01,6.76333e-01,6.13900e-03,6.57219e-03,0.23
100,159,7.03933e-01,6.88667e-01,6.14627e-03,6.54462e-03,0.23
100,160,7.05430e-01,6.94000e-01,6.14259e-03,6.48957e-03,0.23
100,161,7.04503e-01,6.91000e-01,6.15310e-03,6.50696e-03,0.58
100,162,7.05643e-01,6.90667e-01,6.14967e-03,6.49582e-03,0.23
100,163,7.04931e-01,6.91333e-01,6.13594e-03,6.53133e-03,0.23
100,164,7.04218e-01,6.94000e-01,6.14827e-03,6.49917e-03,0.23
100,165,7.04503e-01,6.92333e-01,6.14185e-03,6.53881e-03,0.23
100,166,7.05786e-01,6.83000e-01,6.13274e-03,6.65336e-03,0.24
100,167,7.04646e-01,6.90000e-01,6.13973e-03,6.62801e-03,0.24
100,168,7.04860e-01,6.92333e-01,6.14285e-03,6.52039e-03,0.24
100,169,7.07211e-01,6.91000e-01,6.12685e-03,6.54399e-03,0.24
100,170,7.05501e-01,6.90667e-01,6.14119e-03,6.48018e-03,0.35
