pretrain_checkpoint_epoch,epoch,train_accuracy,val_accuracy,loss,time
100,1,4.26037e-01,5.34667e-01,1.29819e-02,3.11
100,2,5.60282e-01,5.75667e-01,1.19762e-02,2.22
100,3,5.91207e-01,5.81667e-01,1.16975e-02,2.37
100,4,6.09235e-01,6.09333e-01,1.15344e-02,2.38
100,5,6.21989e-01,6.18333e-01,1.14121e-02,2.34
100,6,6.32179e-01,6.22667e-01,1.13219e-02,2.55
100,7,6.37024e-01,6.27667e-01,1.12550e-02,2.17
100,8,6.43224e-01,6.29667e-01,1.11984e-02,2.23
100,9,6.47855e-01,6.34667e-01,1.11544e-02,2.29
100,10,6.52629e-01,6.36333e-01,1.11208e-02,2.32
100,11,6.53484e-01,6.35667e-01,1.10881e-02,2.20
100,12,6.56976e-01,6.37000e-01,1.10588e-02,2.34
100,13,6.61109e-01,6.43000e-01,1.10291e-02,2.19
100,14,6.62748e-01,6.39667e-01,1.10068e-02,2.43
100,15,6.64030e-01,6.45667e-01,1.09895e-02,2.27
100,16,6.63674e-01,6.45000e-01,1.09722e-02,2.18
100,17,6.66738e-01,6.43667e-01,1.09532e-02,2.25
100,18,6.68662e-01,6.47333e-01,1.09365e-02,2.27
100,19,6.70016e-01,6.50000e-01,1.09208e-02,2.37
100,20,6.70942e-01,6.50667e-01,1.09065e-02,2.23
100,21,6.73080e-01,6.50000e-01,1.08971e-02,2.40
100,22,6.73792e-01,6.52667e-01,1.08816e-02,2.15
100,23,6.73935e-01,6.53333e-01,1.08712e-02,2.24
100,24,6.75217e-01,6.50667e-01,1.08622e-02,2.12
100,25,6.73863e-01,6.50667e-01,1.08531e-02,2.25
100,26,6.76927e-01,6.55333e-01,1.08424e-02,2.48
100,27,6.77355e-01,6.52667e-01,1.08398e-02,2.32
100,28,6.77996e-01,6.57000e-01,1.08287e-02,2.08
100,29,6.77925e-01,6.53667e-01,1.08248e-02,2.42
100,30,6.78994e-01,6.58000e-01,1.08163e-02,2.32
100,31,6.79279e-01,6.57333e-01,1.08090e-02,2.24
100,32,6.79136e-01,6.55667e-01,1.08038e-02,2.36
100,33,6.80989e-01,6.58667e-01,1.07951e-02,2.14
100,34,6.82984e-01,6.56667e-01,1.07903e-02,2.38
100,35,6.83055e-01,6.61333e-01,1.07854e-02,2.05
100,36,6.80704e-01,6.59667e-01,1.07853e-02,2.10
100,37,6.82984e-01,6.58333e-01,1.07734e-02,2.16
100,38,6.82984e-01,6.59000e-01,1.07728e-02,2.28
100,39,6.83625e-01,6.60667e-01,1.07678e-02,2.22
100,40,6.83127e-01,6.60667e-01,1.07636e-02,2.38
100,41,6.85336e-01,6.64000e-01,1.07574e-02,2.18
100,42,6.86689e-01,6.64667e-01,1.07556e-02,2.19
100,43,6.84196e-01,6.63333e-01,1.07499e-02,2.47
100,44,6.86191e-01,6.65333e-01,1.07404e-02,2.16
100,45,6.83911e-01,6.64333e-01,1.07399e-02,2.13
100,46,6.85692e-01,6.63333e-01,1.07398e-02,2.23
100,47,6.86404e-01,6.62333e-01,1.07362e-02,2.42
100,48,6.86191e-01,6.66667e-01,1.07339e-02,2.53
100,49,6.86119e-01,6.64333e-01,1.07306e-02,2.31
100,50,6.85478e-01,6.67667e-01,1.07256e-02,2.50
100,51,6.84837e-01,6.64000e-01,1.07253e-02,2.17
100,52,6.88613e-01,6.63333e-01,1.07145e-02,2.37
100,53,6.87545e-01,6.66333e-01,1.07121e-02,2.37
100,54,6.88400e-01,6.68333e-01,1.07135e-02,2.25
100,55,6.88043e-01,6.68333e-01,1.07091e-02,2.36
100,56,6.90822e-01,6.65667e-01,1.07043e-02,2.35
100,57,6.87473e-01,6.68333e-01,1.07066e-02,2.27
100,58,6.90395e-01,6.65333e-01,1.07049e-02,2.48
100,59,6.87402e-01,6.66667e-01,1.06998e-02,2.33
100,60,6.86689e-01,6.66000e-01,1.07001e-02,2.23
100,61,6.88043e-01,6.70667e-01,1.06946e-02,2.31
100,62,6.91179e-01,6.70667e-01,1.06894e-02,2.18
100,63,6.90110e-01,6.68000e-01,1.06906e-02,2.15
100,64,6.89326e-01,6.66667e-01,1.06858e-02,2.19
100,65,6.90751e-01,6.71667e-01,1.06885e-02,2.32
