epoch,loss,loss_L2,loss_PKT,cross_mse
1,2.146007e-02,0.000000e+00,0.000000e+00,0.000000e+00
2,1.969942e-02,0.000000e+00,0.000000e+00,0.000000e+00
3,1.764063e-02,0.000000e+00,0.000000e+00,0.000000e+00
4,1.646573e-02,0.000000e+00,0.000000e+00,0.000000e+00
5,1.450369e-02,0.000000e+00,0.000000e+00,0.000000e+00
6,1.219631e-02,0.000000e+00,0.000000e+00,0.000000e+00
7,1.023804e-02,0.000000e+00,0.000000e+00,0.000000e+00
8,8.355072e-03,0.000000e+00,0.000000e+00,0.000000e+00
9,7.548065e-03,0.000000e+00,0.000000e+00,0.000000e+00
10,6.946647e-03,0.000000e+00,0.000000e+00,0.000000e+00
11,6.567752e-03,0.000000e+00,0.000000e+00,0.000000e+00
12,6.282282e-03,0.000000e+00,0.000000e+00,0.000000e+00
13,6.081599e-03,0.000000e+00,0.000000e+00,0.000000e+00
14,6.079411e-03,0.000000e+00,0.000000e+00,0.000000e+00
15,6.055902e-03,0.000000e+00,0.000000e+00,0.000000e+00
16,5.988367e-03,0.000000e+00,0.000000e+00,0.000000e+00
17,6.097371e-03,0.000000e+00,0.000000e+00,0.000000e+00
18,6.087229e-03,0.000000e+00,0.000000e+00,0.000000e+00
19,6.071725e-03,0.000000e+00,0.000000e+00,0.000000e+00
20,6.056758e-03,0.000000e+00,0.000000e+00,0.000000e+00
21,6.165685e-03,0.000000e+00,0.000000e+00,0.000000e+00
22,6.080923e-03,0.000000e+00,0.000000e+00,0.000000e+00
23,5.981741e-03,0.000000e+00,0.000000e+00,0.000000e+00
24,6.055008e-03,0.000000e+00,0.000000e+00,0.000000e+00
25,5.963982e-03,0.000000e+00,0.000000e+00,0.000000e+00
26,5.895425e-03,0.000000e+00,0.000000e+00,0.000000e+00
27,5.865861e-03,0.000000e+00,0.000000e+00,0.000000e+00
28,5.803659e-03,0.000000e+00,0.000000e+00,0.000000e+00
29,5.885714e-03,0.000000e+00,0.000000e+00,0.000000e+00
30,5.967416e-03,0.000000e+00,0.000000e+00,0.000000e+00
31,5.764422e-03,0.000000e+00,0.000000e+00,0.000000e+00
32,5.804907e-03,0.000000e+00,0.000000e+00,0.000000e+00
33,5.718119e-03,0.000000e+00,0.000000e+00,0.000000e+00
34,5.678781e-03,0.000000e+00,0.000000e+00,0.000000e+00
35,5.582152e-03,0.000000e+00,0.000000e+00,0.000000e+00
36,5.371901e-03,0.000000e+00,0.000000e+00,0.000000e+00
37,5.442731e-03,0.000000e+00,0.000000e+00,0.000000e+00
38,5.505009e-03,0.000000e+00,0.000000e+00,0.000000e+00
39,5.342845e-03,0.000000e+00,0.000000e+00,0.000000e+00
40,5.318950e-03,0.000000e+00,0.000000e+00,0.000000e+00
41,5.348658e-03,0.000000e+00,0.000000e+00,0.000000e+00
42,5.361814e-03,0.000000e+00,0.000000e+00,0.000000e+00
43,5.258045e-03,0.000000e+00,0.000000e+00,0.000000e+00
44,5.239543e-03,0.000000e+00,0.000000e+00,0.000000e+00
45,5.245667e-03,0.000000e+00,0.000000e+00,0.000000e+00
46,5.217974e-03,0.000000e+00,0.000000e+00,0.000000e+00
47,5.133487e-03,0.000000e+00,0.000000e+00,0.000000e+00
48,5.125603e-03,0.000000e+00,0.000000e+00,0.000000e+00
49,4.929483e-03,0.000000e+00,0.000000e+00,0.000000e+00
50,4.863270e-03,0.000000e+00,0.000000e+00,0.000000e+00
51,4.859283e-03,0.000000e+00,0.000000e+00,0.000000e+00
52,4.727834e-03,0.000000e+00,0.000000e+00,0.000000e+00
53,4.639471e-03,0.000000e+00,0.000000e+00,0.000000e+00
54,4.684129e-03,0.000000e+00,0.000000e+00,0.000000e+00
55,4.794356e-03,0.000000e+00,0.000000e+00,0.000000e+00
56,4.699912e-03,0.000000e+00,0.000000e+00,0.000000e+00
57,4.631297e-03,0.000000e+00,0.000000e+00,0.000000e+00
58,4.585533e-03,0.000000e+00,0.000000e+00,0.000000e+00
59,4.535023e-03,0.000000e+00,0.000000e+00,0.000000e+00
60,4.570963e-03,0.000000e+00,0.000000e+00,0.000000e+00
61,4.579993e-03,0.000000e+00,0.000000e+00,0.000000e+00
62,4.442844e-03,0.000000e+00,0.000000e+00,0.000000e+00
63,4.444260e-03,0.000000e+00,0.000000e+00,0.000000e+00
64,4.412904e-03,0.000000e+00,0.000000e+00,0.000000e+00
65,4.477165e-03,0.000000e+00,0.000000e+00,0.000000e+00
66,4.487019e-03,0.000000e+00,0.000000e+00,0.000000e+00
67,4.362212e-03,0.000000e+00,0.000000e+00,0.000000e+00
68,4.386937e-03,0.000000e+00,0.000000e+00,0.000000e+00
69,4.531030e-03,0.000000e+00,0.000000e+00,0.000000e+00
70,4.480787e-03,0.000000e+00,0.000000e+00,0.000000e+00
71,4.519120e-03,0.000000e+00,0.000000e+00,0.000000e+00
72,4.503841e-03,0.000000e+00,0.000000e+00,0.000000e+00
73,4.489838e-03,0.000000e+00,0.000000e+00,0.000000e+00
74,4.489369e-03,0.000000e+00,0.000000e+00,0.000000e+00
75,4.464488e-03,0.000000e+00,0.000000e+00,0.000000e+00
76,4.422678e-03,0.000000e+00,0.000000e+00,0.000000e+00
77,4.403768e-03,0.000000e+00,0.000000e+00,0.000000e+00
78,4.368548e-03,0.000000e+00,0.000000e+00,0.000000e+00
79,4.414159e-03,0.000000e+00,0.000000e+00,0.000000e+00
80,4.421294e-03,0.000000e+00,0.000000e+00,0.000000e+00
81,4.387546e-03,0.000000e+00,0.000000e+00,0.000000e+00
82,4.332191e-03,0.000000e+00,0.000000e+00,0.000000e+00
83,4.383382e-03,0.000000e+00,0.000000e+00,0.000000e+00
84,4.417605e-03,0.000000e+00,0.000000e+00,0.000000e+00
85,4.456856e-03,0.000000e+00,0.000000e+00,0.000000e+00
86,4.485581e-03,0.000000e+00,0.000000e+00,0.000000e+00
87,4.482059e-03,0.000000e+00,0.000000e+00,0.000000e+00
88,4.571913e-03,0.000000e+00,0.000000e+00,0.000000e+00
89,4.621931e-03,0.000000e+00,0.000000e+00,0.000000e+00
90,4.699197e-03,0.000000e+00,0.000000e+00,0.000000e+00
91,4.688799e-03,0.000000e+00,0.000000e+00,0.000000e+00
92,4.686955e-03,0.000000e+00,0.000000e+00,0.000000e+00
93,4.708100e-03,0.000000e+00,0.000000e+00,0.000000e+00
94,4.667275e-03,0.000000e+00,0.000000e+00,0.000000e+00
95,4.694914e-03,0.000000e+00,0.000000e+00,0.000000e+00
96,4.706642e-03,0.000000e+00,0.000000e+00,0.000000e+00
97,4.693602e-03,0.000000e+00,0.000000e+00,0.000000e+00
98,4.796445e-03,0.000000e+00,0.000000e+00,0.000000e+00
99,4.866348e-03,0.000000e+00,0.000000e+00,0.000000e+00
100,4.979150e-03,0.000000e+00,0.000000e+00,0.000000e+00
101,5.019703e-03,0.000000e+00,0.000000e+00,0.000000e+00
102,5.119167e-03,0.000000e+00,0.000000e+00,0.000000e+00
103,5.013031e-03,0.000000e+00,0.000000e+00,0.000000e+00
104,5.055197e-03,0.000000e+00,0.000000e+00,0.000000e+00
105,5.062205e-03,0.000000e+00,0.000000e+00,0.000000e+00
106,5.084083e-03,0.000000e+00,0.000000e+00,0.000000e+00
107,5.127211e-03,0.000000e+00,0.000000e+00,0.000000e+00
108,5.238343e-03,0.000000e+00,0.000000e+00,0.000000e+00
109,5.267424e-03,0.000000e+00,0.000000e+00,0.000000e+00
110,5.214627e-03,0.000000e+00,0.000000e+00,0.000000e+00
111,5.362609e-03,0.000000e+00,0.000000e+00,0.000000e+00
112,5.399147e-03,0.000000e+00,0.000000e+00,0.000000e+00
113,5.356202e-03,0.000000e+00,0.000000e+00,0.000000e+00
