pretrain_checkpoint_epoch,epoch,train_accuracy,val_accuracy,loss,val_loss,time
500,1,3.62240e-01,4.34900e-01,1.42662e-02,1.29909e-02,0.89
500,2,4.53240e-01,4.68300e-01,1.23849e-02,1.21390e-02,0.92
500,3,4.75300e-01,4.81500e-01,1.17968e-02,1.17734e-02,0.91
500,4,4.87360e-01,4.85700e-01,1.14830e-02,1.15335e-02,0.90
500,5,4.95080e-01,4.99200e-01,1.12862e-02,1.13509e-02,0.96
500,6,5.00860e-01,5.02700e-01,1.11367e-02,1.12582e-02,0.87
500,7,5.04040e-01,5.03800e-01,1.10322e-02,1.11648e-02,0.86
500,8,5.08280e-01,5.03300e-01,1.09443e-02,1.10998e-02,1.02
500,9,5.12700e-01,5.11400e-01,1.08806e-02,1.10226e-02,0.86
500,10,5.15940e-01,5.10700e-01,1.08173e-02,1.09798e-02,1.04
500,11,5.16620e-01,5.10500e-01,1.07639e-02,1.09509e-02,0.83
500,12,5.18800e-01,5.19400e-01,1.07238e-02,1.09031e-02,0.86
500,13,5.19680e-01,5.21300e-01,1.06877e-02,1.08539e-02,1.11
500,14,5.21720e-01,5.18200e-01,1.06477e-02,1.08461e-02,0.85
500,15,5.23860e-01,5.19700e-01,1.06177e-02,1.07975e-02,0.84
500,16,5.25820e-01,5.22400e-01,1.05880e-02,1.07845e-02,0.84
500,17,5.25080e-01,5.20700e-01,1.05573e-02,1.07630e-02,0.83
500,18,5.25800e-01,5.25200e-01,1.05389e-02,1.07203e-02,1.04
500,19,5.28300e-01,5.26300e-01,1.05119e-02,1.06995e-02,1.05
500,20,5.26580e-01,5.27200e-01,1.04984e-02,1.06792e-02,1.06
500,21,5.29200e-01,5.28600e-01,1.04698e-02,1.06713e-02,1.01
500,22,5.31160e-01,5.26900e-01,1.04508e-02,1.06562e-02,1.18
500,23,5.32440e-01,5.26800e-01,1.04356e-02,1.06388e-02,0.82
500,24,5.31760e-01,5.30700e-01,1.04180e-02,1.06244e-02,0.83
500,25,5.34120e-01,5.31100e-01,1.03984e-02,1.06185e-02,0.83
500,26,5.33640e-01,5.34200e-01,1.03922e-02,1.05794e-02,0.83
500,27,5.35020e-01,5.28800e-01,1.03774e-02,1.05831e-02,1.09
500,28,5.35640e-01,5.32100e-01,1.03590e-02,1.05641e-02,0.85
500,29,5.35860e-01,5.34200e-01,1.03448e-02,1.05372e-02,0.84
500,30,5.35820e-01,5.35900e-01,1.03351e-02,1.05393e-02,0.92
500,31,5.36540e-01,5.33800e-01,1.03260e-02,1.05271e-02,0.84
500,32,5.35680e-01,5.31400e-01,1.03105e-02,1.05204e-02,0.84
500,33,5.38240e-01,5.35600e-01,1.03012e-02,1.05094e-02,0.90
500,34,5.38940e-01,5.36400e-01,1.02854e-02,1.04832e-02,0.88
500,35,5.39520e-01,5.37800e-01,1.02768e-02,1.04899e-02,0.86
500,36,5.40600e-01,5.35200e-01,1.02637e-02,1.04837e-02,0.83
500,37,5.38660e-01,5.37900e-01,1.02603e-02,1.04800e-02,0.87
500,38,5.39740e-01,5.40000e-01,1.02485e-02,1.04705e-02,0.83
500,39,5.40420e-01,5.37700e-01,1.02367e-02,1.04415e-02,0.83
500,40,5.40320e-01,5.36100e-01,1.02283e-02,1.04457e-02,0.83
500,41,5.41040e-01,5.34500e-01,1.02253e-02,1.04714e-02,1.12
500,42,5.41980e-01,5.37400e-01,1.02129e-02,1.04336e-02,0.83
500,43,5.43300e-01,5.39100e-01,1.02064e-02,1.04273e-02,1.13
500,44,5.41760e-01,5.40400e-01,1.01910e-02,1.03964e-02,0.85
500,45,5.42680e-01,5.41200e-01,1.01944e-02,1.04337e-02,1.03
500,46,5.42840e-01,5.42200e-01,1.01831e-02,1.03886e-02,0.85
500,47,5.43340e-01,5.39400e-01,1.01772e-02,1.03977e-02,0.89
500,48,5.43040e-01,5.44000e-01,1.01678e-02,1.03770e-02,1.10
500,49,5.43860e-01,5.41200e-01,1.01580e-02,1.03672e-02,0.86
500,50,5.44240e-01,5.42700e-01,1.01538e-02,1.03736e-02,0.83
500,51,5.44200e-01,5.44700e-01,1.01452e-02,1.03687e-02,0.83
500,52,5.44100e-01,5.43700e-01,1.01414e-02,1.03579e-02,0.90
500,53,5.45140e-01,5.45100e-01,1.01335e-02,1.03470e-02,0.89
500,54,5.45780e-01,5.44300e-01,1.01323e-02,1.03437e-02,0.83
500,55,5.44840e-01,5.42100e-01,1.01203e-02,1.03630e-02,0.83
