pretrain_checkpoint_epoch,epoch,train_accuracy,val_accuracy,loss,val_loss,time
500,1,5.12113e-01,6.55000e-01,1.03707e-02,8.34979e-03,0.27
500,2,7.00442e-01,7.09000e-01,7.21859e-03,6.92569e-03,0.38
500,3,7.24099e-01,7.28667e-01,6.31022e-03,6.35389e-03,0.29
500,4,7.37851e-01,7.38333e-01,5.88155e-03,6.02027e-03,0.24
500,5,7.46615e-01,7.50333e-01,5.62736e-03,5.81049e-03,0.26
500,6,7.52173e-01,7.47667e-01,5.45066e-03,5.60306e-03,0.24
500,7,7.54525e-01,7.51000e-01,5.32468e-03,5.49333e-03,0.25
500,8,7.57517e-01,7.55333e-01,5.22598e-03,5.40277e-03,0.24
500,9,7.60296e-01,7.62667e-01,5.14234e-03,5.33700e-03,0.27
500,10,7.65641e-01,7.64000e-01,5.08054e-03,5.26453e-03,0.23
500,11,7.68348e-01,7.67333e-01,5.02465e-03,5.20961e-03,0.24
500,12,7.67778e-01,7.65667e-01,4.98335e-03,5.16302e-03,0.27
500,13,7.71626e-01,7.70333e-01,4.93712e-03,5.18724e-03,0.39
500,14,7.71982e-01,7.73000e-01,4.89945e-03,5.12847e-03,0.30
500,15,7.73764e-01,7.74000e-01,4.86859e-03,5.07860e-03,0.30
500,16,7.74619e-01,7.71333e-01,4.84785e-03,5.03019e-03,0.28
500,17,7.73906e-01,7.80333e-01,4.81894e-03,5.03567e-03,0.24
500,18,7.77825e-01,7.82000e-01,4.79109e-03,5.01123e-03,0.24
500,19,7.78039e-01,7.73000e-01,4.77036e-03,4.98369e-03,0.42
500,20,7.76970e-01,7.78333e-01,4.75246e-03,4.99902e-03,0.25
500,21,7.79108e-01,7.75000e-01,4.73400e-03,4.94972e-03,0.23
500,22,7.79393e-01,7.75000e-01,4.73044e-03,4.91605e-03,0.23
500,23,7.80034e-01,7.82333e-01,4.71082e-03,4.94330e-03,0.23
500,24,7.80248e-01,7.73000e-01,4.69581e-03,4.88205e-03,0.27
500,25,7.82386e-01,7.74667e-01,4.67422e-03,4.88644e-03,0.24
500,26,7.83027e-01,7.82000e-01,4.66489e-03,4.87931e-03,0.23
500,27,7.81032e-01,7.77333e-01,4.65322e-03,4.84828e-03,0.45
500,28,7.83383e-01,7.77667e-01,4.63765e-03,4.84670e-03,0.29
500,29,7.84238e-01,7.81000e-01,4.63060e-03,4.85816e-03,0.23
500,30,7.84737e-01,7.80333e-01,4.62027e-03,4.83416e-03,0.24
500,31,7.84310e-01,7.77667e-01,4.60803e-03,4.81716e-03,0.24
500,32,7.85663e-01,7.86667e-01,4.60809e-03,4.83429e-03,0.28
500,33,7.85093e-01,7.79667e-01,4.59300e-03,4.80195e-03,0.24
500,34,7.87374e-01,7.86667e-01,4.57844e-03,4.81764e-03,0.23
500,35,7.86020e-01,7.85000e-01,4.57816e-03,4.81180e-03,0.26
500,36,7.88371e-01,7.84000e-01,4.56444e-03,4.78179e-03,0.37
500,37,7.88442e-01,7.82000e-01,4.55918e-03,4.76485e-03,0.24
500,38,7.88015e-01,7.85000e-01,4.54600e-03,4.75633e-03,0.24
500,39,7.88514e-01,7.83000e-01,4.54160e-03,4.77130e-03,0.24
500,40,7.88727e-01,7.79667e-01,4.53676e-03,4.76600e-03,0.28
500,41,7.89939e-01,7.85333e-01,4.52210e-03,4.74335e-03,0.22
500,42,7.89226e-01,7.89667e-01,4.51473e-03,4.76265e-03,0.20
500,43,7.90438e-01,7.87667e-01,4.51385e-03,4.72289e-03,0.19
500,44,7.90580e-01,7.85000e-01,4.50259e-03,4.73852e-03,0.26
500,45,7.90509e-01,7.85667e-01,4.49074e-03,4.72430e-03,0.27
500,46,7.92433e-01,7.87000e-01,4.49228e-03,4.72066e-03,0.29
500,47,7.91008e-01,7.87333e-01,4.48051e-03,4.70051e-03,0.24
500,48,7.91364e-01,7.89667e-01,4.48846e-03,4.69250e-03,0.23
500,49,7.90794e-01,7.85000e-01,4.46838e-03,4.68338e-03,0.23
500,50,7.94143e-01,7.83333e-01,4.47031e-03,4.68145e-03,0.21
500,51,7.92931e-01,7.92000e-01,4.45890e-03,4.71467e-03,0.19
500,52,7.93074e-01,7.91667e-01,4.46056e-03,4.68418e-03,0.19
500,53,7.91435e-01,7.87667e-01,4.45065e-03,4.68535e-03,0.19
500,54,7.92931e-01,7.83667e-01,4.44971e-03,4.70980e-03,0.19
500,55,7.93644e-01,7.88000e-01,4.43431e-03,4.66489e-03,0.22
500,56,7.93074e-01,7.87333e-01,4.43347e-03,4.67508e-03,0.24
500,57,7.93573e-01,7.93000e-01,4.42377e-03,4.66307e-03,0.20
500,58,7.96067e-01,7.91000e-01,4.41734e-03,4.66145e-03,0.20
500,59,7.94927e-01,7.89667e-01,4.42177e-03,4.64119e-03,0.21
500,60,7.95069e-01,7.88667e-01,4.40997e-03,4.64245e-03,0.19
500,61,7.93929e-01,7.86667e-01,4.41000e-03,4.64937e-03,0.19
500,62,7.96067e-01,7.86000e-01,4.40273e-03,4.63828e-03,0.19
500,63,7.95639e-01,7.92000e-01,4.40022e-03,4.61921e-03,0.19
500,64,7.93074e-01,7.90667e-01,4.39968e-03,4.61458e-03,0.19
500,65,7.96494e-01,7.92000e-01,4.38856e-03,4.62398e-03,0.19
500,66,7.95283e-01,7.88667e-01,4.39404e-03,4.60823e-03,0.22
500,67,7.95283e-01,7.91000e-01,4.38705e-03,4.62306e-03,0.22
500,68,7.97706e-01,7.96667e-01,4.37786e-03,4.61920e-03,0.19
500,69,7.97207e-01,7.91667e-01,4.37337e-03,4.62309e-03,0.19
500,70,7.97207e-01,7.89333e-01,4.36929e-03,4.58773e-03,0.19
500,71,7.96280e-01,7.95000e-01,4.36391e-03,4.60019e-03,0.19
500,72,7.97991e-01,7.91000e-01,4.36074e-03,4.58257e-03,0.19
500,73,7.97563e-01,7.94667e-01,4.36258e-03,4.61217e-03,0.19
500,74,7.98703e-01,7.93000e-01,4.35751e-03,4.62280e-03,0.19
500,75,7.99131e-01,7.91333e-01,4.35779e-03,4.59031e-03,0.19
500,76,7.99059e-01,7.89667e-01,4.34372e-03,4.59985e-03,0.19
500,77,7.97634e-01,7.95000e-01,4.34547e-03,4.57248e-03,0.20
500,78,8.00627e-01,7.94667e-01,4.33653e-03,4.59841e-03,0.22
500,79,7.99131e-01,7.91667e-01,4.33244e-03,4.59248e-03,0.21
500,80,7.96851e-01,7.94333e-01,4.33206e-03,4.57180e-03,0.19
500,81,7.98276e-01,7.95333e-01,4.33190e-03,4.57175e-03,0.22
500,82,7.98418e-01,7.94333e-01,4.32291e-03,4.56723e-03,0.20
500,83,7.99701e-01,7.91333e-01,4.32240e-03,4.57245e-03,0.20
500,84,7.99986e-01,7.96667e-01,4.32148e-03,4.56116e-03,0.20
500,85,7.99772e-01,7.93667e-01,4.31842e-03,4.55006e-03,0.20
500,86,8.00556e-01,7.93667e-01,4.31482e-03,4.56575e-03,0.20
500,87,7.99416e-01,7.97000e-01,4.31896e-03,4.54944e-03,0.20
500,88,8.00698e-01,7.87667e-01,4.30356e-03,4.55117e-03,0.22
500,89,8.01910e-01,7.94333e-01,4.31439e-03,4.54684e-03,0.24
500,90,8.00342e-01,7.94333e-01,4.29848e-03,4.55278e-03,0.24
500,91,8.01197e-01,7.95000e-01,4.29155e-03,4.52945e-03,0.21
500,92,8.01838e-01,7.96000e-01,4.30458e-03,4.52894e-03,0.20
500,93,8.01126e-01,7.92000e-01,4.29132e-03,4.54103e-03,0.20
500,94,8.00912e-01,7.97333e-01,4.29762e-03,4.53776e-03,0.20
500,95,8.02195e-01,7.93000e-01,4.29619e-03,4.53636e-03,0.20
500,96,8.01268e-01,7.96000e-01,4.29044e-03,4.53958e-03,0.20
500,97,8.01055e-01,7.98333e-01,4.28324e-03,4.55425e-03,0.20
500,98,8.01910e-01,7.95667e-01,4.28991e-03,4.52368e-03,0.20
500,99,8.02693e-01,7.98000e-01,4.27660e-03,4.53218e-03,0.21
500,100,8.03050e-01,7.99000e-01,4.28778e-03,4.53774e-03,0.24
500,101,8.00912e-01,7.96000e-01,4.27952e-03,4.51943e-03,0.21
