pretrain_checkpoint_epoch,epoch,train_accuracy,val_accuracy,loss,time
100,1,4.38221e-01,5.40667e-01,1.28877e-02,2.32
100,2,5.61066e-01,5.66333e-01,1.20061e-02,2.47
100,3,5.86290e-01,5.90333e-01,1.17310e-02,2.15
100,4,6.02537e-01,5.99333e-01,1.15714e-02,2.18
100,5,6.12156e-01,6.09000e-01,1.14566e-02,2.09
100,6,6.23771e-01,6.09667e-01,1.13698e-02,2.09
100,7,6.27120e-01,6.18667e-01,1.13066e-02,1.99
100,8,6.33675e-01,6.24333e-01,1.12461e-02,2.00
100,9,6.38449e-01,6.27667e-01,1.12035e-02,1.98
100,10,6.43010e-01,6.31333e-01,1.11668e-02,2.13
100,11,6.45076e-01,6.34333e-01,1.11301e-02,2.27
100,12,6.48995e-01,6.40333e-01,1.11059e-02,2.14
100,13,6.50777e-01,6.34667e-01,1.10742e-02,2.10
100,14,6.53413e-01,6.40000e-01,1.10510e-02,2.05
100,15,6.54339e-01,6.45000e-01,1.10336e-02,2.05
100,16,6.56263e-01,6.44667e-01,1.10149e-02,2.34
100,17,6.60610e-01,6.52333e-01,1.09931e-02,2.20
100,18,6.61465e-01,6.52000e-01,1.09737e-02,2.02
100,19,6.61608e-01,6.45667e-01,1.09657e-02,2.15
100,20,6.65598e-01,6.51000e-01,1.09484e-02,1.95
100,21,6.66453e-01,6.54333e-01,1.09337e-02,2.29
100,22,6.63531e-01,6.57333e-01,1.09274e-02,2.29
100,23,6.66524e-01,6.59333e-01,1.09119e-02,2.21
100,24,6.69018e-01,6.59667e-01,1.08976e-02,2.15
100,25,6.72225e-01,6.60667e-01,1.08941e-02,2.23
100,26,6.71298e-01,6.59667e-01,1.08820e-02,2.06
100,27,6.70942e-01,6.60333e-01,1.08773e-02,2.12
100,28,6.72652e-01,6.57333e-01,1.08656e-02,2.26
100,29,6.73935e-01,6.59667e-01,1.08561e-02,2.14
100,30,6.75930e-01,6.62333e-01,1.08514e-02,2.29
100,31,6.73365e-01,6.64000e-01,1.08400e-02,2.12
100,32,6.74220e-01,6.64667e-01,1.08360e-02,2.02
100,33,6.75930e-01,6.62000e-01,1.08252e-02,2.18
100,34,6.74576e-01,6.65000e-01,1.08239e-02,2.19
100,35,6.77854e-01,6.62667e-01,1.08140e-02,2.16
100,36,6.77854e-01,6.63667e-01,1.08065e-02,2.35
100,37,6.77996e-01,6.68333e-01,1.08032e-02,2.14
100,38,6.78210e-01,6.69000e-01,1.07993e-02,2.11
100,39,6.77711e-01,6.60333e-01,1.07965e-02,1.95
100,40,6.77996e-01,6.64333e-01,1.07945e-02,1.96
