epoch,itr,loss,mask-A,mask-B,time (ms)
1,0,3.791343e-02,23.00000,16.00000,1545
1,1,2.103641e-02,16.00000,20.00000,447
1,2,2.755730e-02,35.00000,12.00000,471
1,3,1.976755e-02,20.00000,16.00000,432
1,4,1.656968e-02,9.00000,20.00000,379
1,5,1.796681e-02,21.00000,20.00000,433
1,6,1.888049e-02,25.00000,16.00000,444
1,7,1.619441e-02,18.00000,20.00000,432
1,8,1.538476e-02,17.00000,20.00000,445
1,9,1.487186e-02,25.00000,16.00000,436
1,10,1.430682e-02,22.00000,20.00000,445
1,11,1.572068e-02,25.00000,16.00000,443
1,12,1.341325e-02,21.00000,16.00000,416
1,13,1.473147e-02,21.00000,16.00000,423
1,14,1.402784e-02,27.00000,16.00000,455
1,15,1.230501e-02,21.00000,16.00000,436
1,16,1.320690e-02,27.00000,16.00000,447
1,17,1.261198e-02,25.00000,16.00000,448
1,18,1.257018e-02,18.00000,16.00000,412
1,19,1.230857e-02,21.00000,16.00000,425
1,20,1.204532e-02,25.00000,16.00000,448
1,21,1.126345e-02,25.00000,16.00000,445
1,22,1.110754e-02,22.00000,16.00000,431
1,23,1.121586e-02,24.00000,16.00000,439
1,24,8.407231e-03,20.00000,20.00000,436
1,25,8.291965e-03,14.00000,20.00000,409
1,26,7.945461e-03,20.00000,20.00000,431
1,27,7.783998e-03,20.00000,20.00000,436
1,28,7.497775e-03,16.00000,20.00000,413
1,29,8.964203e-03,24.00000,16.00000,442
1,30,6.899427e-03,17.00000,20.00000,418
1,31,8.554747e-03,21.00000,16.00000,425
1,32,7.090927e-03,23.00000,20.00000,453
1,33,6.877064e-03,17.00000,20.00000,422
1,34,6.976230e-03,17.00000,20.00000,423
1,35,7.651382e-03,26.00000,16.00000,449
1,36,7.379115e-03,23.00000,16.00000,446
1,37,6.665148e-03,16.00000,20.00000,411
1,38,8.795429e-03,20.00000,16.00000,417
1,39,1.065437e-02,33.00000,12.00000,470
1,40,7.470645e-03,27.00000,16.00000,459
1,41,9.374230e-03,25.00000,16.00000,446
1,42,6.314516e-03,17.00000,20.00000,425
1,43,8.493142e-03,26.00000,16.00000,453
1,44,6.642864e-03,17.00000,20.00000,424
1,45,7.659066e-03,24.00000,16.00000,442
1,46,6.842923e-03,20.00000,20.00000,432
1,47,1.063119e-02,36.00000,12.00000,482
1,48,8.025544e-03,20.00000,16.00000,420
1,49,9.791155e-03,34.00000,12.00000,559
1,50,6.577333e-03,16.00000,20.00000,429
1,51,7.077068e-03,15.00000,20.00000,412
1,52,7.298903e-03,20.00000,20.00000,439
1,53,7.291411e-03,14.00000,20.00000,407
1,54,8.559285e-03,23.00000,16.00000,435
1,55,7.112555e-03,18.00000,20.00000,430
1,56,6.410072e-03,20.00000,20.00000,438
1,57,8.281564e-03,21.00000,16.00000,427
1,58,9.210166e-03,25.00000,16.00000,449
1,59,9.990223e-03,21.00000,16.00000,429
1,60,1.074760e-02,35.00000,12.00000,478
1,61,9.764288e-03,33.00000,12.00000,472
1,62,8.868550e-03,13.00000,20.00000,405
1,63,6.610536e-03,17.00000,20.00000,427
1,64,1.083753e-02,33.00000,12.00000,473
1,65,8.047208e-03,17.00000,20.00000,426
1,66,9.727174e-03,22.00000,16.00000,430
1,67,7.236880e-03,17.00000,20.00000,431
1,68,9.894321e-03,24.00000,16.00000,444
1,69,9.337176e-03,12.00000,20.00000,401
1,70,9.218444e-03,27.00000,16.00000,454
1,71,1.035397e-02,21.00000,16.00000,430
1,72,8.833079e-03,21.00000,16.00000,428
1,73,8.997093e-03,27.00000,16.00000,459
1,74,8.948138e-03,14.00000,20.00000,409
1,75,8.588938e-03,16.00000,20.00000,418
1,76,1.103052e-02,30.00000,16.00000,470
1,77,1.061284e-02,21.00000,16.00000,453
1,78,9.522611e-03,21.00000,16.00000,429
1,79,1.072860e-02,21.00000,16.00000,430
1,80,7.951196e-03,16.00000,20.00000,440
1,81,9.848288e-03,8.00000,20.00000,380
1,82,9.622451e-03,26.00000,16.00000,453
1,83,7.765149e-03,16.00000,20.00000,419
1,84,7.050693e-03,19.00000,20.00000,435
1,85,8.032933e-03,18.00000,20.00000,430
1,86,8.217969e-03,17.00000,20.00000,435
1,87,1.247288e-02,33.00000,12.00000,478
1,88,7.691360e-03,18.00000,20.00000,432
1,89,8.933438e-03,16.00000,20.00000,420
1,90,1.113091e-02,25.00000,16.00000,446
1,91,8.532818e-03,23.00000,16.00000,440
1,92,9.697201e-03,17.00000,20.00000,432
1,93,9.303804e-03,26.00000,16.00000,454
1,94,1.029772e-02,26.00000,16.00000,457
1,95,1.050426e-02,23.00000,16.00000,469
1,96,8.686610e-03,15.00000,20.00000,431
1,97,9.966199e-03,23.00000,16.00000,444
1,98,9.461012e-03,24.00000,16.00000,443
1,99,9.938828e-03,20.00000,16.00000,421
1,100,9.054014e-03,26.00000,16.00000,461
1,101,7.827256e-03,26.00000,16.00000,454
1,102,1.269200e-02,35.00000,12.00000,487
1,103,9.419662e-03,19.00000,20.00000,439
1,104,9.116732e-03,18.00000,20.00000,431
1,105,1.043644e-02,23.00000,16.00000,453
1,106,1.101098e-02,17.00000,16.00000,436
1,107,7.961817e-03,16.00000,20.00000,436
1,108,8.175371e-03,20.00000,20.00000,440
1,109,9.509592e-03,26.00000,16.00000,455
1,110,8.215550e-03,21.00000,20.00000,440
1,111,7.566246e-03,17.00000,20.00000,426
1,112,1.153141e-02,36.00000,12.00000,492
1,113,9.412309e-03,25.00000,16.00000,452
1,114,9.178833e-03,13.00000,20.00000,405
1,115,9.076810e-03,27.00000,16.00000,462
2,0,1.024677e-02,21.00000,16.00000,1835
2,1,1.127545e-02,24.00000,16.00000,442
2,2,1.116729e-02,24.00000,16.00000,445
2,3,1.067969e-02,27.00000,16.00000,459
2,4,1.154586e-02,21.00000,16.00000,428
2,5,1.008108e-02,21.00000,16.00000,452
2,6,1.186164e-02,33.00000,12.00000,474
2,7,1.049691e-02,34.00000,12.00000,473
2,8,1.006082e-02,25.00000,16.00000,490
2,9,7.552220e-03,16.00000,20.00000,419
2,10,8.032972e-03,22.00000,20.00000,450
2,11,8.067712e-03,21.00000,20.00000,441
2,12,1.041857e-02,26.00000,16.00000,472
2,13,8.079330e-03,24.00000,16.00000,446
2,14,7.649404e-03,24.00000,16.00000,443
2,15,7.527671e-03,20.00000,20.00000,435
2,16,1.011063e-02,33.00000,12.00000,469
2,17,8.801279e-03,14.00000,20.00000,446
2,18,7.863101e-03,23.00000,16.00000,431
2,19,7.849937e-03,27.00000,16.00000,455
2,20,8.782354e-03,26.00000,16.00000,452
2,21,8.650644e-03,16.00000,20.00000,419
2,22,8.883163e-03,14.00000,20.00000,410
2,23,6.248197e-03,24.00000,20.00000,459
2,24,8.618249e-03,26.00000,16.00000,454
2,25,9.317714e-03,14.00000,20.00000,418
2,26,7.516478e-03,20.00000,20.00000,440
2,27,7.896713e-03,19.00000,20.00000,436
2,28,8.087715e-03,13.00000,20.00000,408
2,29,1.026328e-02,21.00000,16.00000,430
2,30,8.946188e-03,23.00000,16.00000,438
2,31,8.208362e-03,16.00000,20.00000,417
2,32,9.781294e-03,22.00000,16.00000,435
2,33,7.611340e-03,14.00000,20.00000,443
2,34,7.712061e-03,18.00000,20.00000,433
2,35,1.164916e-02,36.00000,12.00000,488
2,36,8.921243e-03,14.00000,20.00000,411
