epoch,loss,loss_L2,loss_PKT,cross_mse
1,1.142718e-02,0.000000e+00,0.000000e+00,0.000000e+00
2,1.050746e-02,0.000000e+00,0.000000e+00,0.000000e+00
3,9.773664e-03,0.000000e+00,0.000000e+00,0.000000e+00
4,9.258785e-03,0.000000e+00,0.000000e+00,0.000000e+00
5,8.437093e-03,0.000000e+00,0.000000e+00,0.000000e+00
6,7.092227e-03,0.000000e+00,0.000000e+00,0.000000e+00
7,5.939728e-03,0.000000e+00,0.000000e+00,0.000000e+00
8,5.110373e-03,0.000000e+00,0.000000e+00,0.000000e+00
9,4.373576e-03,0.000000e+00,0.000000e+00,0.000000e+00
10,3.909603e-03,0.000000e+00,0.000000e+00,0.000000e+00
11,3.526837e-03,0.000000e+00,0.000000e+00,0.000000e+00
12,3.409567e-03,0.000000e+00,0.000000e+00,0.000000e+00
13,3.258893e-03,0.000000e+00,0.000000e+00,0.000000e+00
14,3.208298e-03,0.000000e+00,0.000000e+00,0.000000e+00
15,3.273330e-03,0.000000e+00,0.000000e+00,0.000000e+00
16,3.186019e-03,0.000000e+00,0.000000e+00,0.000000e+00
17,3.177748e-03,0.000000e+00,0.000000e+00,0.000000e+00
18,3.238255e-03,0.000000e+00,0.000000e+00,0.000000e+00
19,3.155579e-03,0.000000e+00,0.000000e+00,0.000000e+00
20,3.116997e-03,0.000000e+00,0.000000e+00,0.000000e+00
21,3.160611e-03,0.000000e+00,0.000000e+00,0.000000e+00
22,3.000689e-03,0.000000e+00,0.000000e+00,0.000000e+00
23,3.016845e-03,0.000000e+00,0.000000e+00,0.000000e+00
24,3.060723e-03,0.000000e+00,0.000000e+00,0.000000e+00
25,2.990846e-03,0.000000e+00,0.000000e+00,0.000000e+00
26,2.944434e-03,0.000000e+00,0.000000e+00,0.000000e+00
27,3.020027e-03,0.000000e+00,0.000000e+00,0.000000e+00
28,2.957820e-03,0.000000e+00,0.000000e+00,0.000000e+00
29,2.939896e-03,0.000000e+00,0.000000e+00,0.000000e+00
30,2.924821e-03,0.000000e+00,0.000000e+00,0.000000e+00
31,2.943920e-03,0.000000e+00,0.000000e+00,0.000000e+00
32,2.940382e-03,0.000000e+00,0.000000e+00,0.000000e+00
33,2.963185e-03,0.000000e+00,0.000000e+00,0.000000e+00
34,2.903643e-03,0.000000e+00,0.000000e+00,0.000000e+00
35,2.915372e-03,0.000000e+00,0.000000e+00,0.000000e+00
36,2.865869e-03,0.000000e+00,0.000000e+00,0.000000e+00
37,2.818573e-03,0.000000e+00,0.000000e+00,0.000000e+00
38,2.879623e-03,0.000000e+00,0.000000e+00,0.000000e+00
39,2.787360e-03,0.000000e+00,0.000000e+00,0.000000e+00
40,2.776946e-03,0.000000e+00,0.000000e+00,0.000000e+00
41,2.764565e-03,0.000000e+00,0.000000e+00,0.000000e+00
42,2.663651e-03,0.000000e+00,0.000000e+00,0.000000e+00
43,2.668821e-03,0.000000e+00,0.000000e+00,0.000000e+00
44,2.595897e-03,0.000000e+00,0.000000e+00,0.000000e+00
45,2.535061e-03,0.000000e+00,0.000000e+00,0.000000e+00
46,2.525125e-03,0.000000e+00,0.000000e+00,0.000000e+00
47,2.460648e-03,0.000000e+00,0.000000e+00,0.000000e+00
48,2.413168e-03,0.000000e+00,0.000000e+00,0.000000e+00
49,2.329971e-03,0.000000e+00,0.000000e+00,0.000000e+00
50,2.332269e-03,0.000000e+00,0.000000e+00,0.000000e+00
51,2.252419e-03,0.000000e+00,0.000000e+00,0.000000e+00
52,2.269591e-03,0.000000e+00,0.000000e+00,0.000000e+00
53,2.290064e-03,0.000000e+00,0.000000e+00,0.000000e+00
54,2.269713e-03,0.000000e+00,0.000000e+00,0.000000e+00
55,2.262101e-03,0.000000e+00,0.000000e+00,0.000000e+00
56,2.219388e-03,0.000000e+00,0.000000e+00,0.000000e+00
57,2.254765e-03,0.000000e+00,0.000000e+00,0.000000e+00
