pretrain_checkpoint_epoch,epoch,train_accuracy,val_accuracy,loss,time
100,1,4.51546e-01,5.47000e-01,1.28148e-02,1.56
100,2,5.68619e-01,5.82333e-01,1.19273e-02,1.62
100,3,5.95910e-01,5.98000e-01,1.16534e-02,1.55
100,4,6.12156e-01,6.18333e-01,1.14911e-02,1.56
100,5,6.21491e-01,6.23667e-01,1.13782e-02,1.53
100,6,6.28117e-01,6.31667e-01,1.12979e-02,1.56
100,7,6.38022e-01,6.31000e-01,1.12330e-02,1.54
100,8,6.44292e-01,6.31667e-01,1.11785e-02,1.55
100,9,6.48995e-01,6.31667e-01,1.11340e-02,1.54
100,10,6.52131e-01,6.42667e-01,1.10991e-02,1.61
100,11,6.57688e-01,6.37667e-01,1.10601e-02,1.55
100,12,6.58757e-01,6.45000e-01,1.10304e-02,1.58
100,13,6.62463e-01,6.47000e-01,1.09968e-02,1.61
100,14,6.66097e-01,6.54000e-01,1.09764e-02,1.61
100,15,6.69873e-01,6.55667e-01,1.09505e-02,1.55
100,16,6.69731e-01,6.55333e-01,1.09365e-02,1.61
100,17,6.73080e-01,6.59667e-01,1.09152e-02,1.55
100,18,6.71797e-01,6.61333e-01,1.09027e-02,1.55
100,19,6.74576e-01,6.54333e-01,1.08846e-02,1.55
100,20,6.75716e-01,6.59667e-01,1.08644e-02,1.55
100,21,6.78281e-01,6.63667e-01,1.08519e-02,1.55
100,22,6.78923e-01,6.59333e-01,1.08476e-02,1.54
100,23,6.78709e-01,6.57000e-01,1.08347e-02,1.61
100,24,6.82200e-01,6.63667e-01,1.08195e-02,1.55
100,25,6.82628e-01,6.67667e-01,1.08099e-02,1.54
100,26,6.83340e-01,6.66333e-01,1.08030e-02,1.54
100,27,6.84623e-01,6.67000e-01,1.07944e-02,1.54
100,28,6.85122e-01,6.69000e-01,1.07861e-02,1.54
100,29,6.84623e-01,6.72000e-01,1.07761e-02,1.53
100,30,6.87473e-01,6.66667e-01,1.07711e-02,1.54
100,31,6.89112e-01,6.69667e-01,1.07571e-02,1.54
100,32,6.87830e-01,6.63667e-01,1.07550e-02,1.54
100,33,6.86689e-01,6.70667e-01,1.07551e-02,1.53
100,34,6.88043e-01,6.69333e-01,1.07445e-02,1.54
100,35,6.87117e-01,6.70000e-01,1.07393e-02,1.55
100,36,6.91749e-01,6.66667e-01,1.07275e-02,1.54
100,37,6.87473e-01,6.70000e-01,1.07266e-02,1.55
100,38,6.87901e-01,6.72333e-01,1.07232e-02,1.55
100,39,6.90038e-01,6.65667e-01,1.07172e-02,1.55
100,40,6.91179e-01,6.71333e-01,1.07083e-02,1.54
100,41,6.92889e-01,6.70667e-01,1.06983e-02,1.54
100,42,6.91250e-01,6.70000e-01,1.06999e-02,1.55
100,43,6.93459e-01,6.69333e-01,1.06984e-02,1.54
100,44,6.92889e-01,6.67000e-01,1.06907e-02,1.54
