epoch,loss,loss_L2,loss_PKT,cross_mse
1,1.077317e-02,0.000000e+00,0.000000e+00,0.000000e+00
2,9.385339e-03,0.000000e+00,0.000000e+00,0.000000e+00
3,8.831375e-03,0.000000e+00,0.000000e+00,0.000000e+00
4,8.847197e-03,0.000000e+00,0.000000e+00,0.000000e+00
5,7.967556e-03,0.000000e+00,0.000000e+00,0.000000e+00
6,6.863466e-03,0.000000e+00,0.000000e+00,0.000000e+00
7,5.826983e-03,0.000000e+00,0.000000e+00,0.000000e+00
8,4.795585e-03,0.000000e+00,0.000000e+00,0.000000e+00
9,4.245071e-03,0.000000e+00,0.000000e+00,0.000000e+00
10,3.906338e-03,0.000000e+00,0.000000e+00,0.000000e+00
11,3.648352e-03,0.000000e+00,0.000000e+00,0.000000e+00
12,3.444397e-03,0.000000e+00,0.000000e+00,0.000000e+00
13,3.373827e-03,0.000000e+00,0.000000e+00,0.000000e+00
14,3.363177e-03,0.000000e+00,0.000000e+00,0.000000e+00
15,3.322279e-03,0.000000e+00,0.000000e+00,0.000000e+00
16,3.360254e-03,0.000000e+00,0.000000e+00,0.000000e+00
17,3.357378e-03,0.000000e+00,0.000000e+00,0.000000e+00
18,3.408974e-03,0.000000e+00,0.000000e+00,0.000000e+00
19,3.384210e-03,0.000000e+00,0.000000e+00,0.000000e+00
20,3.347120e-03,0.000000e+00,0.000000e+00,0.000000e+00
21,3.403738e-03,0.000000e+00,0.000000e+00,0.000000e+00
22,3.408966e-03,0.000000e+00,0.000000e+00,0.000000e+00
23,3.325332e-03,0.000000e+00,0.000000e+00,0.000000e+00
24,3.356068e-03,0.000000e+00,0.000000e+00,0.000000e+00
25,3.323062e-03,0.000000e+00,0.000000e+00,0.000000e+00
26,3.315225e-03,0.000000e+00,0.000000e+00,0.000000e+00
27,3.329653e-03,0.000000e+00,0.000000e+00,0.000000e+00
28,3.301223e-03,0.000000e+00,0.000000e+00,0.000000e+00
29,3.236226e-03,0.000000e+00,0.000000e+00,0.000000e+00
30,3.278160e-03,0.000000e+00,0.000000e+00,0.000000e+00
31,3.192163e-03,0.000000e+00,0.000000e+00,0.000000e+00
32,3.187851e-03,0.000000e+00,0.000000e+00,0.000000e+00
33,3.187906e-03,0.000000e+00,0.000000e+00,0.000000e+00
34,3.148042e-03,0.000000e+00,0.000000e+00,0.000000e+00
35,3.158402e-03,0.000000e+00,0.000000e+00,0.000000e+00
36,3.078221e-03,0.000000e+00,0.000000e+00,0.000000e+00
37,3.056599e-03,0.000000e+00,0.000000e+00,0.000000e+00
38,3.049106e-03,0.000000e+00,0.000000e+00,0.000000e+00
39,2.966289e-03,0.000000e+00,0.000000e+00,0.000000e+00
40,2.922608e-03,0.000000e+00,0.000000e+00,0.000000e+00
41,2.931455e-03,0.000000e+00,0.000000e+00,0.000000e+00
42,2.889756e-03,0.000000e+00,0.000000e+00,0.000000e+00
43,2.813813e-03,0.000000e+00,0.000000e+00,0.000000e+00
44,2.839658e-03,0.000000e+00,0.000000e+00,0.000000e+00
45,2.874505e-03,0.000000e+00,0.000000e+00,0.000000e+00
46,2.838388e-03,0.000000e+00,0.000000e+00,0.000000e+00
47,2.814254e-03,0.000000e+00,0.000000e+00,0.000000e+00
48,2.825480e-03,0.000000e+00,0.000000e+00,0.000000e+00
49,2.744597e-03,0.000000e+00,0.000000e+00,0.000000e+00
50,2.717203e-03,0.000000e+00,0.000000e+00,0.000000e+00
51,2.721760e-03,0.000000e+00,0.000000e+00,0.000000e+00
52,2.590528e-03,0.000000e+00,0.000000e+00,0.000000e+00
53,2.511944e-03,0.000000e+00,0.000000e+00,0.000000e+00
54,2.528865e-03,0.000000e+00,0.000000e+00,0.000000e+00
55,2.548596e-03,0.000000e+00,0.000000e+00,0.000000e+00
56,2.486209e-03,0.000000e+00,0.000000e+00,0.000000e+00
57,2.470761e-03,0.000000e+00,0.000000e+00,0.000000e+00
58,2.471586e-03,0.000000e+00,0.000000e+00,0.000000e+00
59,2.428248e-03,0.000000e+00,0.000000e+00,0.000000e+00
60,2.443743e-03,0.000000e+00,0.000000e+00,0.000000e+00
61,2.425231e-03,0.000000e+00,0.000000e+00,0.000000e+00
62,2.383677e-03,0.000000e+00,0.000000e+00,0.000000e+00
63,2.410916e-03,0.000000e+00,0.000000e+00,0.000000e+00
64,2.364672e-03,0.000000e+00,0.000000e+00,0.000000e+00
65,2.380955e-03,0.000000e+00,0.000000e+00,0.000000e+00
66,2.404858e-03,0.000000e+00,0.000000e+00,0.000000e+00
67,2.337501e-03,0.000000e+00,0.000000e+00,0.000000e+00
68,2.378309e-03,0.000000e+00,0.000000e+00,0.000000e+00
69,2.434257e-03,0.000000e+00,0.000000e+00,0.000000e+00
70,2.389036e-03,0.000000e+00,0.000000e+00,0.000000e+00
71,2.407867e-03,0.000000e+00,0.000000e+00,0.000000e+00
72,2.404033e-03,0.000000e+00,0.000000e+00,0.000000e+00
73,2.410253e-03,0.000000e+00,0.000000e+00,0.000000e+00
74,2.446026e-03,0.000000e+00,0.000000e+00,0.000000e+00
75,2.423084e-03,0.000000e+00,0.000000e+00,0.000000e+00
76,2.413629e-03,0.000000e+00,0.000000e+00,0.000000e+00
77,2.423472e-03,0.000000e+00,0.000000e+00,0.000000e+00
78,2.397123e-03,0.000000e+00,0.000000e+00,0.000000e+00
79,2.425566e-03,0.000000e+00,0.000000e+00,0.000000e+00
80,2.401525e-03,0.000000e+00,0.000000e+00,0.000000e+00
81,2.380705e-03,0.000000e+00,0.000000e+00,0.000000e+00
82,2.378342e-03,0.000000e+00,0.000000e+00,0.000000e+00
83,2.427793e-03,0.000000e+00,0.000000e+00,0.000000e+00
84,2.427694e-03,0.000000e+00,0.000000e+00,0.000000e+00
85,2.438345e-03,0.000000e+00,0.000000e+00,0.000000e+00
86,2.455591e-03,0.000000e+00,0.000000e+00,0.000000e+00
87,2.448407e-03,0.000000e+00,0.000000e+00,0.000000e+00
88,2.472004e-03,0.000000e+00,0.000000e+00,0.000000e+00
89,2.490517e-03,0.000000e+00,0.000000e+00,0.000000e+00
90,2.510705e-03,0.000000e+00,0.000000e+00,0.000000e+00
91,2.532706e-03,0.000000e+00,0.000000e+00,0.000000e+00
92,2.526541e-03,0.000000e+00,0.000000e+00,0.000000e+00
93,2.541686e-03,0.000000e+00,0.000000e+00,0.000000e+00
