epoch,itr,loss,mask-A,mask-B,time (ms)
1,0,3.466152e-02,33.00000,12.00000,1454
1,1,2.630390e-02,26.00000,16.00000,499
1,2,1.885796e-02,19.00000,20.00000,432
1,3,1.982532e-02,20.00000,16.00000,430
1,4,2.203498e-02,9.00000,20.00000,480
1,5,1.991748e-02,23.00000,16.00000,432
1,6,1.506468e-02,19.00000,20.00000,430
1,7,1.616048e-02,18.00000,20.00000,432
1,8,1.535775e-02,17.00000,20.00000,448
1,9,1.483922e-02,25.00000,16.00000,438
1,10,1.582756e-02,26.00000,16.00000,448
1,11,1.568772e-02,25.00000,16.00000,445
1,12,1.483522e-02,21.00000,16.00000,426
1,13,1.469571e-02,21.00000,16.00000,423
1,14,1.396502e-02,27.00000,16.00000,457
1,15,1.366272e-02,21.00000,16.00000,426
1,16,1.183975e-02,19.00000,20.00000,444
1,17,1.261696e-02,25.00000,16.00000,453
1,18,1.250693e-02,18.00000,16.00000,409
1,19,1.118773e-02,21.00000,16.00000,431
1,20,1.200681e-02,25.00000,16.00000,447
1,21,1.159731e-02,25.00000,16.00000,447
1,22,1.099980e-02,22.00000,16.00000,431
1,23,1.138667e-02,24.00000,16.00000,440
1,24,8.518402e-03,20.00000,20.00000,435
1,25,8.456349e-03,14.00000,20.00000,407
1,26,8.062545e-03,20.00000,20.00000,433
1,27,7.910878e-03,20.00000,20.00000,439
1,28,7.674467e-03,16.00000,20.00000,416
1,29,9.078357e-03,24.00000,16.00000,440
1,30,7.168409e-03,17.00000,20.00000,418
1,31,8.632829e-03,21.00000,16.00000,425
1,32,7.283282e-03,23.00000,20.00000,452
1,33,7.046079e-03,17.00000,20.00000,424
1,34,7.223170e-03,17.00000,20.00000,424
1,35,7.947429e-03,26.00000,16.00000,447
1,36,7.467362e-03,23.00000,16.00000,447
1,37,6.871645e-03,16.00000,20.00000,412
1,38,9.677842e-03,20.00000,16.00000,420
1,39,1.079131e-02,33.00000,12.00000,472
1,40,8.281621e-03,27.00000,16.00000,458
1,41,8.811941e-03,25.00000,16.00000,449
1,42,6.661199e-03,17.00000,20.00000,425
1,43,8.503451e-03,26.00000,16.00000,453
1,44,6.577312e-03,17.00000,20.00000,425
1,45,7.959576e-03,24.00000,16.00000,443
1,46,7.543376e-03,20.00000,20.00000,434
1,47,1.037710e-02,36.00000,12.00000,483
1,48,8.374009e-03,20.00000,16.00000,420
1,49,1.060874e-02,34.00000,12.00000,479
1,50,6.887526e-03,16.00000,20.00000,430
1,51,7.598888e-03,15.00000,20.00000,414
1,52,7.176816e-03,20.00000,20.00000,440
1,53,7.820636e-03,14.00000,20.00000,408
1,54,9.487757e-03,23.00000,16.00000,437
1,55,7.527386e-03,18.00000,20.00000,430
1,56,6.661192e-03,20.00000,20.00000,443
1,57,8.955879e-03,21.00000,16.00000,429
1,58,9.274064e-03,25.00000,16.00000,450
1,59,1.043274e-02,21.00000,16.00000,429
1,60,1.171270e-02,35.00000,12.00000,480
1,61,9.708516e-03,33.00000,12.00000,471
1,62,9.144546e-03,13.00000,20.00000,406
1,63,7.582794e-03,17.00000,20.00000,426
1,64,1.134292e-02,33.00000,12.00000,477
1,65,8.958161e-03,17.00000,20.00000,427
1,66,1.068617e-02,22.00000,16.00000,432
1,67,7.843449e-03,17.00000,20.00000,430
1,68,1.102860e-02,24.00000,16.00000,446
1,69,9.456915e-03,12.00000,20.00000,401
1,70,1.014312e-02,27.00000,16.00000,457
1,71,1.053761e-02,21.00000,16.00000,428
1,72,9.059215e-03,21.00000,16.00000,431
1,73,9.747099e-03,27.00000,16.00000,460
1,74,8.991685e-03,14.00000,20.00000,411
1,75,9.057006e-03,16.00000,20.00000,418
1,76,1.201896e-02,30.00000,16.00000,473
1,77,1.132359e-02,21.00000,16.00000,452
1,78,9.990924e-03,21.00000,16.00000,431
1,79,1.125611e-02,21.00000,16.00000,431
1,80,8.398656e-03,16.00000,20.00000,440
1,81,1.047856e-02,8.00000,20.00000,380
1,82,9.956591e-03,26.00000,16.00000,455
1,83,8.276712e-03,16.00000,20.00000,420
1,84,7.580563e-03,19.00000,20.00000,435
1,85,9.181617e-03,18.00000,20.00000,432
1,86,9.209360e-03,17.00000,20.00000,438
1,87,1.351934e-02,33.00000,12.00000,482
1,88,8.183785e-03,18.00000,20.00000,431
1,89,9.678552e-03,16.00000,20.00000,420
1,90,1.117335e-02,25.00000,16.00000,447
1,91,9.394782e-03,23.00000,16.00000,439
1,92,1.025307e-02,17.00000,20.00000,427
1,93,9.779884e-03,26.00000,16.00000,454
1,94,1.044735e-02,26.00000,16.00000,457
1,95,1.112483e-02,23.00000,16.00000,471
1,96,9.611754e-03,15.00000,20.00000,432
1,97,1.036223e-02,23.00000,16.00000,444
1,98,1.091637e-02,24.00000,16.00000,446
