pretrain_checkpoint_epoch,epoch,train_accuracy,val_accuracy,loss,time
100,1,4.43779e-01,5.33000e-01,1.28977e-02,1.57
100,2,5.67764e-01,5.96000e-01,1.19594e-02,1.55
100,3,6.12797e-01,6.27000e-01,1.16196e-02,1.55
100,4,6.27191e-01,6.35333e-01,1.14343e-02,1.54
100,5,6.40730e-01,6.39000e-01,1.13111e-02,1.55
100,6,6.48497e-01,6.41667e-01,1.12217e-02,1.55
100,7,6.55337e-01,6.48667e-01,1.11546e-02,1.54
100,8,6.58971e-01,6.54667e-01,1.11002e-02,1.56
100,9,6.60254e-01,6.47667e-01,1.10496e-02,1.56
100,10,6.66239e-01,6.55667e-01,1.10185e-02,1.55
100,11,6.65099e-01,6.61667e-01,1.09895e-02,1.55
100,12,6.71227e-01,6.64333e-01,1.09572e-02,1.54
100,13,6.70871e-01,6.58000e-01,1.09293e-02,1.54
100,14,6.76001e-01,6.65333e-01,1.09078e-02,1.55
100,15,6.75859e-01,6.62667e-01,1.08843e-02,1.55
100,16,6.75075e-01,6.68667e-01,1.08719e-02,1.55
100,17,6.76001e-01,6.68000e-01,1.08582e-02,1.57
100,18,6.77284e-01,6.68000e-01,1.08420e-02,1.54
100,19,6.80704e-01,6.70333e-01,1.08254e-02,1.54
100,20,6.80276e-01,6.74667e-01,1.08186e-02,1.55
100,21,6.80419e-01,6.69333e-01,1.08056e-02,1.55
100,22,6.82485e-01,6.74333e-01,1.07952e-02,1.55
100,23,6.81773e-01,6.75333e-01,1.07828e-02,1.54
100,24,6.83483e-01,6.74667e-01,1.07736e-02,1.54
100,25,6.85763e-01,6.76333e-01,1.07674e-02,1.56
100,26,6.85478e-01,6.76000e-01,1.07530e-02,1.54
100,27,6.87545e-01,6.80333e-01,1.07446e-02,1.54
100,28,6.86547e-01,6.75000e-01,1.07411e-02,1.55
100,29,6.88043e-01,6.75333e-01,1.07323e-02,1.54
100,30,6.88898e-01,6.75333e-01,1.07291e-02,1.54
100,31,6.89041e-01,6.78667e-01,1.07190e-02,1.54
100,32,6.88970e-01,6.78333e-01,1.07106e-02,1.54
100,33,6.88756e-01,6.78333e-01,1.07064e-02,1.54
100,34,6.91535e-01,6.80000e-01,1.07020e-02,1.54
100,35,6.89468e-01,6.82333e-01,1.06981e-02,1.54
100,36,6.91606e-01,6.79000e-01,1.06914e-02,1.54
100,37,6.89255e-01,6.77667e-01,1.06887e-02,1.54
100,38,6.91535e-01,6.84000e-01,1.06836e-02,1.54
100,39,6.91962e-01,6.79667e-01,1.06761e-02,1.54
100,40,6.93102e-01,6.81000e-01,1.06725e-02,1.54
100,41,6.92817e-01,6.80333e-01,1.06694e-02,1.54
100,42,6.91464e-01,6.81000e-01,1.06647e-02,1.54
100,43,6.93316e-01,6.81333e-01,1.06620e-02,1.55
100,44,6.93744e-01,6.85667e-01,1.06558e-02,1.53
100,45,6.96095e-01,6.82000e-01,1.06503e-02,1.54
100,46,6.96736e-01,6.80667e-01,1.06527e-02,1.54
100,47,6.94385e-01,6.84667e-01,1.06482e-02,1.54
100,48,6.96166e-01,6.81333e-01,1.06431e-02,1.54
100,49,6.94171e-01,6.80000e-01,1.06414e-02,1.54
100,50,6.94029e-01,6.78667e-01,1.06401e-02,1.54
100,51,6.95810e-01,6.83667e-01,1.06375e-02,1.54
100,52,6.94029e-01,6.85667e-01,1.06347e-02,1.54
100,53,6.94741e-01,6.86333e-01,1.06286e-02,1.54
100,54,6.95383e-01,6.78667e-01,1.06254e-02,1.54
100,55,6.98304e-01,6.79667e-01,1.06298e-02,1.54
100,56,6.98375e-01,6.85000e-01,1.06218e-02,1.54
100,57,6.96736e-01,6.86000e-01,1.06150e-02,1.54
100,58,6.97520e-01,6.82333e-01,1.06156e-02,1.54
100,59,6.97592e-01,6.86000e-01,1.06149e-02,1.54
100,60,6.97235e-01,6.82333e-01,1.06067e-02,1.54
100,61,6.95525e-01,6.88333e-01,1.06094e-02,1.54
100,62,6.98518e-01,6.86000e-01,1.06039e-02,1.54
100,63,6.99159e-01,6.88000e-01,1.06056e-02,1.54
100,64,6.99800e-01,6.86000e-01,1.06012e-02,1.54
100,65,6.98660e-01,6.87000e-01,1.05992e-02,1.54
100,66,6.99587e-01,6.87333e-01,1.05969e-02,1.54
100,67,6.99943e-01,6.86667e-01,1.05986e-02,1.54
100,68,7.01368e-01,6.88000e-01,1.05919e-02,1.54
100,69,6.99800e-01,6.85000e-01,1.05924e-02,1.54
100,70,7.00157e-01,6.83333e-01,1.05929e-02,1.54
100,71,7.00086e-01,6.85667e-01,1.05873e-02,1.55
100,72,6.99729e-01,6.84667e-01,1.05887e-02,1.54
100,73,7.00513e-01,6.88667e-01,1.05877e-02,1.55
100,74,7.01724e-01,6.85333e-01,1.05829e-02,1.55
100,75,6.99872e-01,6.87333e-01,1.05843e-02,1.54
100,76,7.01511e-01,6.89333e-01,1.05774e-02,1.54
100,77,7.01938e-01,6.90000e-01,1.05796e-02,1.54
100,78,7.01796e-01,6.89000e-01,1.05726e-02,1.55
100,79,7.01226e-01,6.88000e-01,1.05749e-02,1.54
100,80,7.01154e-01,6.89667e-01,1.05721e-02,1.54
100,81,7.00727e-01,6.83333e-01,1.05794e-02,1.54
100,82,7.02579e-01,6.89000e-01,1.05678e-02,1.54
