epoch,knn_accuracy_train,knn_accuracy_test
20,7.009299e-01,5.756667e-01
40,6.996423e-01,5.553333e-01
60,6.992847e-01,5.543333e-01
80,6.939199e-01,5.536667e-01
100,6.970672e-01,5.420000e-01
120,6.915594e-01,5.403333e-01
140,6.954220e-01,5.426667e-01
160,6.962089e-01,5.610000e-01
180,7.005722e-01,5.510000e-01
200,7.123748e-01,5.756667e-01
220,7.140916e-01,5.656667e-01
240,7.099428e-01,5.696667e-01
260,7.157368e-01,5.766667e-01
280,7.157368e-01,5.790000e-01
300,7.190987e-01,5.826667e-01
320,7.203147e-01,5.853333e-01
340,7.193133e-01,5.830000e-01
360,7.220315e-01,5.960000e-01
380,7.296853e-01,5.906667e-01
400,7.296137e-01,5.940000e-01
420,7.376967e-01,6.046667e-01
440,7.326896e-01,6.120000e-01
460,7.326896e-01,6.060000e-01
480,7.347639e-01,6.073333e-01
500,7.384120e-01,6.066667e-01
520,7.464950e-01,6.183333e-01
540,7.474964e-01,6.226667e-01
560,7.405579e-01,6.196667e-01
580,7.500715e-01,6.280000e-01
600,7.535050e-01,6.320000e-01
620,7.573677e-01,6.386667e-01
640,7.555079e-01,6.493333e-01
660,7.641631e-01,6.533333e-01
680,7.665236e-01,6.533333e-01
700,7.667382e-01,6.456667e-01
720,7.688126e-01,6.543333e-01
740,7.699571e-01,6.623333e-01
