epoch,loss
1,1.551933e-01
2,1.064073e-01
3,5.081863e-02
4,3.392424e-02
5,2.785282e-02
6,2.564768e-02
7,2.446733e-02
8,2.383502e-02
9,2.539753e-02
10,2.681079e-02
11,2.670981e-02
12,2.692916e-02
13,2.894067e-02
14,2.960619e-02
15,3.154672e-02
16,3.405672e-02
17,3.483843e-02
18,3.349360e-02
19,3.326362e-02
20,3.238515e-02
21,3.199387e-02
22,3.180307e-02
23,3.099058e-02
24,2.997176e-02
25,2.898976e-02
26,2.930167e-02
27,2.880886e-02
28,2.892658e-02
29,2.843095e-02
30,2.814425e-02
31,2.718077e-02
32,2.573154e-02
33,2.416226e-02
34,2.384055e-02
35,2.389991e-02
36,2.371611e-02
37,2.284906e-02
38,2.222899e-02
39,2.263570e-02
40,2.313959e-02
41,2.245017e-02
42,2.240317e-02
43,2.209482e-02
44,2.206878e-02
45,2.152255e-02
46,2.130543e-02
47,2.221965e-02
48,2.301342e-02
49,2.341451e-02
50,2.376137e-02
51,2.418369e-02
52,2.462475e-02
53,2.512237e-02
54,2.488212e-02
55,2.641084e-02
56,2.699506e-02
57,2.645184e-02
58,2.697276e-02
59,2.734260e-02
60,2.793056e-02
61,2.921517e-02
62,3.034072e-02
63,3.038294e-02
64,3.114410e-02
65,3.196978e-02
66,3.258713e-02
67,3.388973e-02
68,3.547449e-02
69,3.563207e-02
70,3.757185e-02
71,3.850812e-02
72,3.901016e-02
73,3.874775e-02
74,3.976224e-02
75,4.214441e-02
76,4.256540e-02
77,4.275220e-02
78,4.475413e-02
79,4.471310e-02
80,4.582353e-02
81,4.738866e-02
82,4.879684e-02
83,4.826015e-02
84,5.046158e-02
85,5.122276e-02
86,5.255596e-02
87,5.423119e-02
88,5.356131e-02
89,5.499091e-02
90,5.560029e-02
91,5.624182e-02
92,5.725195e-02
93,5.669515e-02
94,5.722954e-02
95,5.804445e-02
96,5.990572e-02
97,6.086275e-02
98,6.183289e-02
99,6.322783e-02
100,6.353210e-02
101,6.499490e-02
102,6.528929e-02
103,6.374183e-02
104,6.531428e-02
105,6.635207e-02
106,6.689702e-02
107,6.880164e-02
108,6.760477e-02
109,6.833958e-02
110,6.997906e-02
111,6.988232e-02
112,7.011430e-02
113,7.133993e-02
114,7.148777e-02
115,7.192269e-02
116,7.186706e-02
117,7.183529e-02
118,7.309938e-02
119,7.304742e-02
120,7.239939e-02
121,7.286707e-02
122,7.375798e-02
123,7.443227e-02
124,7.469940e-02
125,7.494346e-02
126,7.463405e-02
127,7.565554e-02
128,7.626363e-02
129,7.698681e-02
130,7.597115e-02
131,7.708048e-02
132,7.797594e-02
133,7.884481e-02
134,7.885622e-02
135,7.881533e-02
136,7.862194e-02
137,7.789868e-02
138,7.945746e-02
139,7.959779e-02
140,7.919642e-02
141,8.014678e-02
142,7.991625e-02
143,7.961269e-02
144,7.918219e-02
145,8.065572e-02
146,8.047940e-02
147,8.037678e-02
148,8.191117e-02
149,8.290651e-02
150,8.235922e-02
151,8.137516e-02
152,8.230625e-02
153,8.346563e-02
154,8.337032e-02
155,8.289676e-02
156,8.322658e-02
157,8.508509e-02
158,8.469260e-02
159,8.580393e-02
160,8.408629e-02
161,8.618505e-02
162,8.462372e-02
163,8.522008e-02
164,8.602050e-02
165,8.626076e-02
166,8.480752e-02
167,8.711211e-02
168,8.667564e-02
169,8.667404e-02
170,8.698980e-02
171,8.626516e-02
172,8.638528e-02
173,8.758082e-02
174,8.720622e-02
175,8.723029e-02
176,8.716108e-02
177,8.708598e-02
178,8.807779e-02
179,8.975303e-02
180,8.776946e-02
181,8.825985e-02
182,8.839784e-02
183,8.777384e-02
184,8.814812e-02
185,8.699567e-02
186,8.723491e-02
187,8.790635e-02
188,8.930648e-02
189,8.826106e-02
190,8.876911e-02
191,8.925380e-02
192,8.891444e-02
193,8.934912e-02
194,8.880638e-02
195,8.892295e-02
196,9.033670e-02
197,8.830821e-02
198,8.939826e-02
199,9.046307e-02
200,8.913874e-02
201,9.026597e-02
202,9.055832e-02
203,9.027802e-02
204,9.110472e-02
205,9.042100e-02
206,8.949682e-02
207,8.991079e-02
208,8.990700e-02
209,9.080689e-02
210,9.014762e-02
211,8.931117e-02
212,8.976221e-02
213,9.088362e-02
214,9.076367e-02
215,9.154458e-02
216,9.091022e-02
217,9.037157e-02
218,9.154052e-02
219,9.054062e-02
220,9.037447e-02
221,9.263631e-02
222,9.147380e-02
223,9.066663e-02
224,9.175213e-02
225,9.136243e-02
226,9.169250e-02
227,9.067801e-02
228,9.174724e-02
229,9.160654e-02
230,9.144182e-02
231,9.097243e-02
232,9.062181e-02
233,9.233280e-02
234,9.173849e-02
235,9.146003e-02
236,9.143606e-02
237,9.284943e-02
238,9.072928e-02
239,9.140694e-02
240,9.174542e-02
241,9.129718e-02
242,9.165861e-02
243,9.149432e-02
244,9.214186e-02
245,9.184740e-02
246,9.167153e-02
247,9.185351e-02
248,9.261258e-02
249,9.220557e-02
250,9.143370e-02
251,9.326851e-02
252,9.062352e-02
253,9.242080e-02
254,9.255778e-02
255,9.165608e-02
256,9.280221e-02
257,9.199051e-02
258,9.224489e-02
259,9.223433e-02
260,9.164353e-02
261,9.166514e-02
262,9.199261e-02
263,9.154026e-02
264,9.232198e-02
265,9.208841e-02
266,9.202166e-02
267,9.209361e-02
268,9.134150e-02
269,9.164178e-02
270,9.192351e-02
271,9.077732e-02
272,9.088811e-02
273,9.234540e-02
274,9.105199e-02
275,9.095866e-02
276,9.253312e-02
277,9.191889e-02
278,9.205279e-02
279,9.155942e-02
280,9.135526e-02
281,9.233673e-02
282,9.132227e-02
283,9.173462e-02
284,9.160908e-02
285,9.209596e-02
286,9.318229e-02
287,9.152949e-02
288,9.228997e-02
289,9.074798e-02
290,9.130664e-02
291,9.196403e-02
292,9.152047e-02
293,9.177016e-02
294,9.090514e-02
295,9.278914e-02
296,9.277386e-02
297,9.140068e-02
298,9.136930e-02
299,9.268819e-02
300,9.237222e-02
301,9.251208e-02
302,9.101152e-02
303,9.147028e-02
304,9.095090e-02
305,9.178795e-02
306,9.111902e-02
307,8.999613e-02
308,9.159261e-02
309,9.154456e-02
310,9.158382e-02
311,9.057499e-02
312,9.032521e-02
313,9.027379e-02
314,8.984766e-02
315,8.900291e-02
316,9.163556e-02
317,9.073281e-02
318,9.019551e-02
319,9.051298e-02
320,9.023062e-02
321,9.143124e-02
322,9.058639e-02
323,8.908806e-02
324,9.059874e-02
325,8.917869e-02
326,8.971273e-02
327,8.966724e-02
328,9.008819e-02
329,9.054440e-02
330,8.981509e-02
331,8.999051e-02
332,9.055681e-02
333,8.967239e-02
334,8.998792e-02
335,9.013157e-02
336,8.872593e-02
337,8.947954e-02
338,8.832741e-02
339,8.874223e-02
340,9.030442e-02
341,8.825798e-02
342,8.908231e-02
343,8.877983e-02
344,8.869540e-02
345,8.942337e-02
346,8.883184e-02
347,8.887342e-02
348,8.950442e-02
349,8.893695e-02
350,8.901160e-02
351,8.766002e-02
352,8.832004e-02
353,8.905158e-02
354,8.870039e-02
355,8.882459e-02
356,8.818748e-02
357,8.765467e-02
358,8.747125e-02
359,8.828156e-02
360,8.850835e-02
361,8.684378e-02
362,8.846703e-02
363,8.895781e-02
364,8.857764e-02
365,8.678099e-02
366,8.732762e-02
367,8.752148e-02
368,8.677146e-02
369,8.812679e-02
370,8.664175e-02
371,8.663748e-02
372,8.707305e-02
373,8.687154e-02
374,8.822385e-02
375,8.578952e-02
376,8.706885e-02
377,8.635933e-02
378,8.680826e-02
379,8.710493e-02
380,8.638189e-02
381,8.635611e-02
382,8.646785e-02
383,8.690006e-02
384,8.646656e-02
385,8.797749e-02
386,8.721549e-02
387,8.730902e-02
388,8.713643e-02
389,8.752904e-02
390,8.584922e-02
391,8.646785e-02
392,8.643191e-02
393,8.657555e-02
394,8.647666e-02
395,8.663162e-02
396,8.554203e-02
397,8.718866e-02
398,8.660771e-02
399,8.641512e-02
400,8.709394e-02
401,8.796950e-02
402,8.615850e-02
403,8.685072e-02
404,8.695017e-02
405,8.564659e-02
406,8.635798e-02
407,8.562009e-02
408,8.530998e-02
409,8.595545e-02
410,8.547991e-02
411,8.530699e-02
412,8.602902e-02
413,8.554916e-02
414,8.503245e-02
415,8.497913e-02
416,8.544673e-02
417,8.535739e-02
418,8.559906e-02
419,8.412598e-02
420,8.614730e-02
421,8.585248e-02
422,8.570075e-02
423,8.502875e-02
424,8.468926e-02
425,8.497373e-02
426,8.487567e-02
427,8.542617e-02
428,8.593583e-02
429,8.439367e-02
430,8.569972e-02
431,8.436967e-02
432,8.522162e-02
433,8.517783e-02
434,8.490853e-02
435,8.481638e-02
436,8.428475e-02
437,8.450411e-02
438,8.453507e-02
439,8.459160e-02
440,8.518596e-02
441,8.490539e-02
442,8.517450e-02
443,8.430412e-02
444,8.520142e-02
445,8.581535e-02
446,8.605218e-02
