epoch,knn_accuracy_train,knn_accuracy_test
20,6.966954e-01,5.486667e-01
40,6.534483e-01,4.806667e-01
60,6.734195e-01,5.260000e-01
80,7.005747e-01,5.420000e-01
100,6.998563e-01,5.453333e-01
120,7.051724e-01,5.193333e-01
140,6.906609e-01,5.320000e-01
160,6.974138e-01,5.486667e-01
180,6.975575e-01,5.333333e-01
200,6.984195e-01,5.600000e-01
220,6.969828e-01,5.520000e-01
240,7.064655e-01,5.373333e-01
260,7.027299e-01,5.440000e-01
280,7.017241e-01,5.686667e-01
300,7.126437e-01,5.740000e-01
320,7.189655e-01,5.760000e-01
340,7.140805e-01,5.486667e-01
360,7.152299e-01,5.753333e-01
380,7.176724e-01,5.866667e-01
400,7.185345e-01,5.860000e-01
420,7.320402e-01,5.940000e-01
440,7.311782e-01,5.793333e-01
460,7.354885e-01,5.933333e-01
480,7.340517e-01,5.980000e-01
500,7.327586e-01,5.753333e-01
