epoch,itr,loss,mask-A,mask-B,time (ms)
1,0,4.726111e-01,15.00000,20.00000,687
1,1,3.793761e-01,19.00000,20.00000,412
1,2,3.405199e-01,22.00000,20.00000,348
1,3,3.176072e-01,25.00000,16.00000,351
1,4,2.975531e-01,17.00000,16.00000,325
1,5,2.852314e-01,16.00000,20.00000,339
1,6,2.696630e-01,18.00000,20.00000,337
1,7,2.535029e-01,20.00000,16.00000,335
1,8,2.414846e-01,26.00000,16.00000,356
1,9,2.332864e-01,33.00000,12.00000,372
1,10,2.251081e-01,17.00000,16.00000,327
1,11,2.208739e-01,25.00000,16.00000,353
1,12,2.062457e-01,26.00000,16.00000,357
1,13,2.037083e-01,25.00000,16.00000,353
1,14,1.926830e-01,27.00000,16.00000,361
1,15,1.892026e-01,25.00000,16.00000,353
1,16,1.822558e-01,23.00000,16.00000,346
1,17,1.791091e-01,18.00000,20.00000,348
1,18,1.735856e-01,24.00000,16.00000,350
1,19,1.717630e-01,23.00000,16.00000,345
1,20,1.727691e-01,20.00000,16.00000,337
1,21,1.577257e-01,23.00000,16.00000,346
1,22,1.582231e-01,26.00000,16.00000,357
1,23,1.610222e-01,24.00000,16.00000,353
1,24,1.471829e-01,24.00000,20.00000,358
1,25,1.440866e-01,19.00000,20.00000,342
1,26,1.574284e-01,17.00000,20.00000,336
1,27,1.466408e-01,17.00000,20.00000,337
1,28,1.491590e-01,18.00000,20.00000,338
1,29,1.360579e-01,26.00000,16.00000,358
1,30,1.360983e-01,19.00000,20.00000,341
1,31,1.314058e-01,21.00000,16.00000,340
1,32,1.388497e-01,17.00000,20.00000,335
1,33,1.368383e-01,19.00000,20.00000,344
1,34,1.372042e-01,16.00000,20.00000,331
1,35,1.309698e-01,23.00000,16.00000,346
1,36,1.171728e-01,26.00000,16.00000,358
1,37,1.218802e-01,22.00000,20.00000,350
1,38,1.311782e-01,23.00000,16.00000,347
1,39,1.243084e-01,33.00000,12.00000,375
1,40,1.258696e-01,25.00000,16.00000,357
1,41,1.215665e-01,26.00000,16.00000,359
1,42,1.218254e-01,17.00000,20.00000,340
1,43,1.209642e-01,26.00000,16.00000,358
1,44,1.191912e-01,17.00000,20.00000,336
1,45,1.363182e-01,20.00000,16.00000,337
1,46,1.448812e-01,17.00000,20.00000,339
1,47,1.168664e-01,35.00000,12.00000,381
1,48,1.205481e-01,25.00000,16.00000,357
1,49,1.179362e-01,35.00000,12.00000,382
1,50,1.402998e-01,12.00000,20.00000,322
1,51,1.400320e-01,17.00000,20.00000,336
1,52,1.516913e-01,18.00000,20.00000,340
1,53,1.309188e-01,17.00000,20.00000,339
1,54,1.472606e-01,27.00000,16.00000,363
1,55,1.535097e-01,12.00000,20.00000,322
1,56,1.449217e-01,20.00000,20.00000,347
1,57,1.299084e-01,20.00000,16.00000,337
1,58,1.446890e-01,21.00000,16.00000,342
1,59,1.391172e-01,25.00000,16.00000,358
1,60,1.453223e-01,33.00000,12.00000,376
1,61,1.168628e-01,33.00000,12.00000,377
1,62,1.621680e-01,17.00000,20.00000,339
1,63,1.569690e-01,14.00000,20.00000,329
1,64,1.419539e-01,33.00000,12.00000,377
1,65,1.558755e-01,19.00000,20.00000,348
1,66,1.443776e-01,25.00000,16.00000,357
1,67,1.662555e-01,16.00000,20.00000,334
1,68,1.322763e-01,27.00000,16.00000,363
1,69,1.862389e-01,17.00000,20.00000,338
1,70,1.377450e-01,27.00000,16.00000,364
1,71,1.353681e-01,25.00000,16.00000,358
1,72,1.357659e-01,23.00000,16.00000,351
1,73,1.504191e-01,25.00000,16.00000,358
1,74,1.526367e-01,22.00000,20.00000,353
1,75,1.694384e-01,13.00000,20.00000,330
1,76,1.812486e-01,24.00000,16.00000,355
1,77,1.728449e-01,17.00000,16.00000,329
1,78,1.296428e-01,25.00000,16.00000,360
1,79,1.789964e-01,17.00000,16.00000,331
1,80,1.480698e-01,20.00000,20.00000,347
1,81,1.675825e-01,14.00000,20.00000,327
1,82,1.663033e-01,25.00000,16.00000,358
1,83,1.508103e-01,14.00000,20.00000,341
1,84,1.474546e-01,21.00000,20.00000,352
1,85,1.748946e-01,21.00000,20.00000,352
1,86,1.728872e-01,12.00000,20.00000,323
1,87,1.494709e-01,33.00000,12.00000,384
1,88,1.647278e-01,19.00000,20.00000,347
1,89,1.627689e-01,20.00000,20.00000,351
1,90,1.382132e-01,24.00000,16.00000,356
1,91,1.761677e-01,17.00000,16.00000,332
1,92,1.739911e-01,21.00000,20.00000,352
1,93,1.375276e-01,17.00000,16.00000,360
1,94,1.531487e-01,24.00000,16.00000,356
1,95,1.662204e-01,17.00000,16.00000,362
1,96,1.694099e-01,17.00000,20.00000,342
1,97,1.406006e-01,25.00000,16.00000,361
1,98,1.286405e-01,28.00000,16.00000,371
1,99,1.362843e-01,24.00000,16.00000,357
1,100,1.375176e-01,24.00000,16.00000,358
1,101,1.406276e-01,24.00000,16.00000,357
1,102,1.792375e-01,33.00000,12.00000,379
1,103,2.001339e-01,20.00000,20.00000,350
1,104,1.532848e-01,16.00000,20.00000,349
1,105,1.484620e-01,23.00000,16.00000,349
1,106,1.675899e-01,20.00000,16.00000,342
1,107,1.365829e-01,18.00000,20.00000,344
1,108,1.515591e-01,18.00000,20.00000,344
1,109,1.660289e-01,21.00000,16.00000,348
1,110,1.881926e-01,14.00000,20.00000,330
1,111,1.465335e-01,19.00000,20.00000,348
1,112,1.424986e-01,33.00000,12.00000,382
1,113,1.297874e-01,26.00000,16.00000,363
1,114,1.565099e-01,18.00000,20.00000,344
1,115,1.471718e-01,17.00000,16.00000,358
2,0,1.398779e-01,20.00000,16.00000,371
2,1,1.404830e-01,20.00000,20.00000,354
2,2,1.705953e-01,25.00000,16.00000,355
2,3,1.521330e-01,21.00000,16.00000,344
2,4,1.373493e-01,33.00000,12.00000,376
2,5,1.401132e-01,25.00000,16.00000,355
2,6,1.327241e-01,35.00000,12.00000,382
2,7,1.287062e-01,23.00000,16.00000,370
2,8,1.325098e-01,26.00000,16.00000,360
2,9,1.300619e-01,21.00000,16.00000,344
2,10,1.757385e-01,17.00000,16.00000,330
2,11,1.293214e-01,33.00000,12.00000,376
2,12,1.401626e-01,18.00000,20.00000,384
2,13,1.200690e-01,25.00000,16.00000,356
2,14,1.268962e-01,19.00000,20.00000,361
2,15,1.252210e-01,24.00000,16.00000,355
2,16,1.420039e-01,26.00000,16.00000,361
2,17,1.268594e-01,26.00000,16.00000,359
2,18,1.251944e-01,18.00000,20.00000,340
2,19,1.424518e-01,16.00000,20.00000,360
2,20,1.301998e-01,25.00000,16.00000,358
2,21,1.219460e-01,21.00000,20.00000,357
2,22,1.676175e-01,8.00000,20.00000,309
2,23,1.238049e-01,23.00000,20.00000,358
2,24,1.323852e-01,23.00000,16.00000,350
2,25,1.331465e-01,20.00000,20.00000,347
2,26,1.539666e-01,18.00000,20.00000,341
2,27,1.232172e-01,19.00000,20.00000,345
2,28,1.421364e-01,20.00000,20.00000,349
2,29,1.460726e-01,28.00000,16.00000,369
2,30,1.301427e-01,20.00000,16.00000,340
2,31,1.522098e-01,18.00000,20.00000,341
2,32,1.444915e-01,25.00000,16.00000,358
2,33,1.335202e-01,19.00000,20.00000,346
2,34,1.338790e-01,18.00000,20.00000,342
2,35,1.028104e-01,33.00000,12.00000,379
2,36,1.410197e-01,24.00000,20.00000,363
2,37,1.274085e-01,20.00000,20.00000,347
2,38,1.332246e-01,17.00000,20.00000,342
2,39,1.266011e-01,18.00000,20.00000,343
2,40,1.194288e-01,27.00000,16.00000,369
2,41,1.238066e-01,25.00000,16.00000,360
2,42,1.425414e-01,19.00000,20.00000,347
2,43,1.363409e-01,18.00000,20.00000,342
