epoch,loss,loss_L2,loss_PKT,cross_mse
1,1.740017e-01,0.000000e+00,0.000000e+00,0.000000e+00
2,1.369464e-01,0.000000e+00,0.000000e+00,0.000000e+00
3,1.269931e-01,0.000000e+00,0.000000e+00,0.000000e+00
4,1.112751e-01,0.000000e+00,0.000000e+00,0.000000e+00
5,9.278309e-02,0.000000e+00,0.000000e+00,0.000000e+00
6,7.227562e-02,0.000000e+00,0.000000e+00,0.000000e+00
7,5.750581e-02,0.000000e+00,0.000000e+00,0.000000e+00
8,4.944608e-02,0.000000e+00,0.000000e+00,0.000000e+00
9,4.365295e-02,0.000000e+00,0.000000e+00,0.000000e+00
10,4.201262e-02,0.000000e+00,0.000000e+00,0.000000e+00
11,4.010250e-02,0.000000e+00,0.000000e+00,0.000000e+00
12,4.037719e-02,0.000000e+00,0.000000e+00,0.000000e+00
13,3.877278e-02,0.000000e+00,0.000000e+00,0.000000e+00
14,3.928962e-02,0.000000e+00,0.000000e+00,0.000000e+00
15,3.856935e-02,0.000000e+00,0.000000e+00,0.000000e+00
16,3.960664e-02,0.000000e+00,0.000000e+00,0.000000e+00
17,3.979107e-02,0.000000e+00,0.000000e+00,0.000000e+00
18,4.098400e-02,0.000000e+00,0.000000e+00,0.000000e+00
19,4.293602e-02,0.000000e+00,0.000000e+00,0.000000e+00
20,4.132807e-02,0.000000e+00,0.000000e+00,0.000000e+00
21,4.291037e-02,0.000000e+00,0.000000e+00,0.000000e+00
22,4.352346e-02,0.000000e+00,0.000000e+00,0.000000e+00
23,4.327402e-02,0.000000e+00,0.000000e+00,0.000000e+00
24,4.167761e-02,0.000000e+00,0.000000e+00,0.000000e+00
25,4.210302e-02,0.000000e+00,0.000000e+00,0.000000e+00
26,4.176536e-02,0.000000e+00,0.000000e+00,0.000000e+00
27,4.153890e-02,0.000000e+00,0.000000e+00,0.000000e+00
28,4.152283e-02,0.000000e+00,0.000000e+00,0.000000e+00
29,4.085822e-02,0.000000e+00,0.000000e+00,0.000000e+00
30,4.161200e-02,0.000000e+00,0.000000e+00,0.000000e+00
31,4.135080e-02,0.000000e+00,0.000000e+00,0.000000e+00
32,4.220928e-02,0.000000e+00,0.000000e+00,0.000000e+00
33,4.210170e-02,0.000000e+00,0.000000e+00,0.000000e+00
34,3.909472e-02,0.000000e+00,0.000000e+00,0.000000e+00
35,3.720538e-02,0.000000e+00,0.000000e+00,0.000000e+00
36,4.109701e-02,0.000000e+00,0.000000e+00,0.000000e+00
37,4.004752e-02,0.000000e+00,0.000000e+00,0.000000e+00
38,3.783046e-02,0.000000e+00,0.000000e+00,0.000000e+00
39,3.379411e-02,0.000000e+00,0.000000e+00,0.000000e+00
40,3.282663e-02,0.000000e+00,0.000000e+00,0.000000e+00
41,3.083064e-02,0.000000e+00,0.000000e+00,0.000000e+00
42,3.235652e-02,0.000000e+00,0.000000e+00,0.000000e+00
43,3.169652e-02,0.000000e+00,0.000000e+00,0.000000e+00
44,3.119566e-02,0.000000e+00,0.000000e+00,0.000000e+00
45,3.075681e-02,0.000000e+00,0.000000e+00,0.000000e+00
46,3.121903e-02,0.000000e+00,0.000000e+00,0.000000e+00
47,3.133035e-02,0.000000e+00,0.000000e+00,0.000000e+00
48,3.075610e-02,0.000000e+00,0.000000e+00,0.000000e+00
49,3.013306e-02,0.000000e+00,0.000000e+00,0.000000e+00
50,3.100676e-02,0.000000e+00,0.000000e+00,0.000000e+00
51,2.987145e-02,0.000000e+00,0.000000e+00,0.000000e+00
52,3.013397e-02,0.000000e+00,0.000000e+00,0.000000e+00
53,2.896068e-02,0.000000e+00,0.000000e+00,0.000000e+00
54,2.976905e-02,0.000000e+00,0.000000e+00,0.000000e+00
55,2.894568e-02,0.000000e+00,0.000000e+00,0.000000e+00
56,2.949756e-02,0.000000e+00,0.000000e+00,0.000000e+00
