pretrain_checkpoint_epoch,epoch,train_accuracy,val_accuracy,loss,val_loss,time
500,1,3.33040e-01,4.13500e-01,1.49135e-02,1.34659e-02,0.74
500,1,3.30040e-01,4.21300e-01,1.49167e-02,1.34049e-02,0.93
500,2,4.38000e-01,4.46100e-01,1.27803e-02,1.25667e-02,0.86
500,3,4.60340e-01,4.62300e-01,1.21808e-02,1.21539e-02,0.97
500,4,4.70980e-01,4.70800e-01,1.18628e-02,1.19260e-02,0.89
500,5,4.79780e-01,4.77600e-01,1.16516e-02,1.17614e-02,0.86
500,6,4.85720e-01,4.75600e-01,1.15067e-02,1.16544e-02,0.83
500,7,4.91320e-01,4.82800e-01,1.13930e-02,1.15808e-02,0.90
500,8,4.94760e-01,4.85900e-01,1.12984e-02,1.14916e-02,0.86
500,9,4.95360e-01,4.87900e-01,1.12324e-02,1.14113e-02,0.99
500,10,4.99300e-01,4.91700e-01,1.11699e-02,1.13766e-02,0.86
500,11,5.00880e-01,4.93800e-01,1.11149e-02,1.13227e-02,0.89
500,12,5.03000e-01,4.95700e-01,1.10663e-02,1.12649e-02,1.05
500,13,5.05740e-01,4.98000e-01,1.10279e-02,1.12405e-02,0.81
500,14,5.09120e-01,4.95600e-01,1.09754e-02,1.12751e-02,0.93
500,15,5.08360e-01,4.91700e-01,1.09537e-02,1.12057e-02,0.88
500,16,5.09880e-01,4.99700e-01,1.09221e-02,1.11437e-02,0.82
500,17,5.11520e-01,5.01600e-01,1.08936e-02,1.11156e-02,1.05
500,18,5.10520e-01,5.01300e-01,1.08700e-02,1.11044e-02,0.83
500,19,5.13960e-01,5.04600e-01,1.08433e-02,1.10820e-02,0.85
500,20,5.13080e-01,5.04000e-01,1.08234e-02,1.10643e-02,0.89
500,21,5.15580e-01,5.03600e-01,1.07993e-02,1.10451e-02,0.86
500,22,5.14520e-01,5.04700e-01,1.07791e-02,1.10150e-02,0.99
500,23,5.15700e-01,5.05100e-01,1.07647e-02,1.09899e-02,0.85
500,24,5.17600e-01,5.09600e-01,1.07431e-02,1.10034e-02,0.81
500,25,5.17600e-01,5.12300e-01,1.07289e-02,1.09622e-02,0.82
500,26,5.19680e-01,5.08900e-01,1.07072e-02,1.09615e-02,1.16
500,27,5.19040e-01,5.05700e-01,1.06929e-02,1.09653e-02,1.05
500,28,5.20280e-01,5.07800e-01,1.06823e-02,1.09582e-02,0.83
500,29,5.22840e-01,5.05700e-01,1.06645e-02,1.09362e-02,0.86
500,30,5.21240e-01,5.12100e-01,1.06513e-02,1.09100e-02,0.86
500,31,5.22180e-01,5.11300e-01,1.06395e-02,1.09065e-02,0.82
500,32,5.23120e-01,5.10900e-01,1.06291e-02,1.08761e-02,0.86
500,33,5.22860e-01,5.10700e-01,1.06168e-02,1.08776e-02,0.81
500,34,5.23200e-01,5.13600e-01,1.05982e-02,1.08580e-02,0.86
500,35,5.23880e-01,5.12100e-01,1.05948e-02,1.08521e-02,0.82
500,36,5.25720e-01,5.12700e-01,1.05790e-02,1.08477e-02,0.85
500,37,5.24740e-01,5.11300e-01,1.05712e-02,1.08471e-02,1.07
500,38,5.24560e-01,5.15200e-01,1.05627e-02,1.08133e-02,0.85
500,39,5.25560e-01,5.13100e-01,1.05526e-02,1.08406e-02,0.81
500,40,5.24680e-01,5.16300e-01,1.05474e-02,1.08079e-02,0.89
500,41,5.27460e-01,5.15500e-01,1.05309e-02,1.07990e-02,0.81
500,42,5.26860e-01,5.12600e-01,1.05239e-02,1.08348e-02,1.09
500,43,5.27140e-01,5.14900e-01,1.05191e-02,1.08030e-02,0.85
500,44,5.25360e-01,5.19600e-01,1.05086e-02,1.07651e-02,0.82
500,45,5.28200e-01,5.16000e-01,1.05010e-02,1.07769e-02,0.96
500,46,5.29040e-01,5.20000e-01,1.04903e-02,1.07513e-02,0.86
500,47,5.31040e-01,5.18800e-01,1.04789e-02,1.07615e-02,0.89
500,48,5.28540e-01,5.18600e-01,1.04782e-02,1.07250e-02,0.83
500,49,5.29700e-01,5.18800e-01,1.04682e-02,1.07319e-02,0.86
500,50,5.31040e-01,5.10500e-01,1.04635e-02,1.07586e-02,1.07
500,51,5.30460e-01,5.18800e-01,1.04518e-02,1.07108e-02,0.86
500,52,5.30460e-01,5.18400e-01,1.04494e-02,1.07193e-02,0.92
500,53,5.31460e-01,5.20600e-01,1.04408e-02,1.07111e-02,1.01
500,54,5.31360e-01,5.18000e-01,1.04358e-02,1.06951e-02,0.83
500,55,5.31520e-01,5.20200e-01,1.04251e-02,1.07061e-02,0.94
500,56,5.31760e-01,5.18400e-01,1.04236e-02,1.07171e-02,0.82
500,57,5.31080e-01,5.19300e-01,1.04155e-02,1.06876e-02,0.82
500,58,5.31140e-01,5.22400e-01,1.04134e-02,1.06738e-02,1.08
500,59,5.33040e-01,5.21200e-01,1.04046e-02,1.06771e-02,0.85
500,60,5.32020e-01,5.22300e-01,1.04061e-02,1.06605e-02,0.95
500,61,5.32460e-01,5.21500e-01,1.03924e-02,1.06650e-02,0.89
500,62,5.33800e-01,5.19700e-01,1.03884e-02,1.06687e-02,0.86
500,63,5.34000e-01,5.21200e-01,1.03846e-02,1.06619e-02,0.87
500,64,5.33660e-01,5.19200e-01,1.03795e-02,1.06578e-02,0.87
500,65,5.33700e-01,5.22500e-01,1.03716e-02,1.06656e-02,1.08
500,66,5.35580e-01,5.24900e-01,1.03696e-02,1.06575e-02,0.81
500,67,5.32580e-01,5.25300e-01,1.03668e-02,1.06294e-02,0.88
500,68,5.35640e-01,5.25500e-01,1.03570e-02,1.06307e-02,0.98
500,69,5.34120e-01,5.21500e-01,1.03523e-02,1.06229e-02,0.88
500,70,5.35440e-01,5.21800e-01,1.03483e-02,1.06491e-02,0.93
500,71,5.35940e-01,5.26600e-01,1.03472e-02,1.06099e-02,0.85
500,72,5.35180e-01,5.24800e-01,1.03389e-02,1.06264e-02,0.83
500,73,5.35400e-01,5.25500e-01,1.03348e-02,1.06130e-02,1.03
500,74,5.36120e-01,5.22600e-01,1.03364e-02,1.06153e-02,0.86
500,75,5.35780e-01,5.27900e-01,1.03236e-02,1.05898e-02,0.85
500,76,5.36300e-01,5.24000e-01,1.03248e-02,1.06066e-02,0.83
500,77,5.37140e-01,5.24800e-01,1.03191e-02,1.05876e-02,0.82
500,78,5.35960e-01,5.24900e-01,1.03183e-02,1.05790e-02,1.01
500,79,5.36600e-01,5.26100e-01,1.03099e-02,1.05677e-02,0.85
500,80,5.37440e-01,5.27200e-01,1.03089e-02,1.05972e-02,1.07
