pretrain_checkpoint_epoch,epoch,train_accuracy,val_accuracy,loss,val_loss,time
500,1,5.53513e-01,6.39000e-01,1.03207e-02,8.66622e-03,0.24
500,2,6.78780e-01,6.73000e-01,7.64452e-03,7.47293e-03,0.24
500,3,7.00014e-01,7.00333e-01,6.82749e-03,6.93117e-03,0.24
500,4,7.12840e-01,7.05333e-01,6.41627e-03,6.58250e-03,0.24
500,5,7.20322e-01,7.16000e-01,6.14520e-03,6.39857e-03,0.24
500,6,7.26308e-01,7.23667e-01,5.96964e-03,6.20312e-03,0.24
500,7,7.30654e-01,7.24333e-01,5.83658e-03,6.08755e-03,0.24
500,8,7.33576e-01,7.26667e-01,5.72724e-03,6.00291e-03,0.23
500,9,7.37138e-01,7.34667e-01,5.64392e-03,5.90505e-03,0.23
500,10,7.40202e-01,7.30667e-01,5.56801e-03,5.85025e-03,0.23
500,11,7.44691e-01,7.35667e-01,5.50906e-03,5.80499e-03,0.20
500,12,7.45262e-01,7.38000e-01,5.45958e-03,5.73132e-03,0.22
500,13,7.45475e-01,7.39667e-01,5.41397e-03,5.70169e-03,0.20
500,14,7.47328e-01,7.44000e-01,5.37606e-03,5.64943e-03,0.22
500,15,7.49751e-01,7.44333e-01,5.33332e-03,5.69580e-03,0.21
500,16,7.53100e-01,7.46000e-01,5.30883e-03,5.59220e-03,0.22
500,17,7.52316e-01,7.44000e-01,5.28719e-03,5.56353e-03,0.28
500,18,7.54525e-01,7.48333e-01,5.25137e-03,5.52978e-03,0.22
500,19,7.54667e-01,7.48333e-01,5.22921e-03,5.50665e-03,0.23
500,20,7.55451e-01,7.55000e-01,5.21044e-03,5.47188e-03,0.24
500,21,7.57375e-01,7.58333e-01,5.19384e-03,5.49843e-03,0.23
500,22,7.58729e-01,7.53667e-01,5.16788e-03,5.43479e-03,0.23
500,23,7.58586e-01,7.52333e-01,5.14426e-03,5.44289e-03,0.24
500,24,7.58301e-01,7.55333e-01,5.14930e-03,5.40988e-03,0.24
500,25,7.59085e-01,7.54333e-01,5.12095e-03,5.42414e-03,0.24
500,26,7.62149e-01,7.58000e-01,5.10396e-03,5.38971e-03,0.24
500,27,7.59441e-01,7.60333e-01,5.09427e-03,5.36014e-03,0.24
500,28,7.61793e-01,7.60667e-01,5.07827e-03,5.35771e-03,0.23
500,29,7.62862e-01,7.63333e-01,5.07048e-03,5.34649e-03,0.23
500,30,7.64500e-01,7.53000e-01,5.05592e-03,5.35118e-03,0.24
500,31,7.63004e-01,7.64000e-01,5.04438e-03,5.33508e-03,0.23
500,32,7.63788e-01,7.65667e-01,5.03145e-03,5.30536e-03,0.23
500,33,7.65427e-01,7.63667e-01,5.03087e-03,5.29388e-03,0.24
500,34,7.65569e-01,7.60333e-01,5.00459e-03,5.28347e-03,0.23
500,35,7.66068e-01,7.61333e-01,5.00548e-03,5.28435e-03,0.23
500,36,7.65569e-01,7.64333e-01,4.99116e-03,5.26711e-03,0.25
500,37,7.65997e-01,7.66333e-01,4.98498e-03,5.26981e-03,0.24
500,38,7.65071e-01,7.64667e-01,4.97516e-03,5.25716e-03,0.23
500,39,7.70272e-01,7.61667e-01,4.96346e-03,5.25644e-03,0.23
500,40,7.67208e-01,7.65333e-01,4.95527e-03,5.23355e-03,0.24
500,41,7.67921e-01,7.63000e-01,4.94767e-03,5.22150e-03,0.24
500,42,7.69132e-01,7.66333e-01,4.94043e-03,5.21586e-03,0.23
500,43,7.68633e-01,7.72000e-01,4.93319e-03,5.21093e-03,0.24
500,44,7.69346e-01,7.66667e-01,4.92767e-03,5.21769e-03,0.24
500,45,7.69916e-01,7.69333e-01,4.92408e-03,5.19806e-03,0.23
500,46,7.70557e-01,7.63000e-01,4.91350e-03,5.19608e-03,0.25
500,47,7.70058e-01,7.72333e-01,4.90241e-03,5.18106e-03,0.24
500,48,7.69631e-01,7.64667e-01,4.90941e-03,5.18145e-03,0.24
500,49,7.69916e-01,7.67333e-01,4.89065e-03,5.18379e-03,0.23
500,50,7.71341e-01,7.69000e-01,4.88663e-03,5.19465e-03,0.23
500,51,7.72410e-01,7.71333e-01,4.88686e-03,5.16241e-03,0.23
500,52,7.73122e-01,7.72333e-01,4.87890e-03,5.15599e-03,0.24
500,53,7.72909e-01,7.74333e-01,4.86972e-03,5.16278e-03,0.23
500,54,7.72624e-01,7.70333e-01,4.86473e-03,5.14728e-03,0.24
500,55,7.73265e-01,7.69333e-01,4.86139e-03,5.15035e-03,0.24
500,56,7.71840e-01,7.73667e-01,4.85911e-03,5.17298e-03,0.23
500,57,7.72339e-01,7.74000e-01,4.84389e-03,5.15052e-03,0.24
500,58,7.74548e-01,7.76333e-01,4.83509e-03,5.13672e-03,0.25
500,59,7.72410e-01,7.72000e-01,4.83728e-03,5.13985e-03,0.24
500,60,7.73621e-01,7.77333e-01,4.83391e-03,5.11060e-03,0.24
500,61,7.75118e-01,7.75667e-01,4.82869e-03,5.09495e-03,0.23
500,62,7.73692e-01,7.72000e-01,4.82162e-03,5.12598e-03,0.24
