pretrain_checkpoint_epoch,epoch,train_accuracy,val_accuracy,loss,time
100,1,4.36440e-01,5.08667e-01,1.29823e-02,1.83
100,2,5.21377e-01,5.26000e-01,1.22001e-02,1.62
100,3,5.52587e-01,5.58000e-01,1.19342e-02,1.72
100,4,5.73108e-01,5.74667e-01,1.17408e-02,1.66
100,5,5.88642e-01,5.85667e-01,1.16232e-02,1.60
100,6,5.98546e-01,5.95667e-01,1.15428e-02,1.65
100,7,6.04176e-01,5.96667e-01,1.14849e-02,2.05
100,8,6.09306e-01,6.04000e-01,1.14205e-02,1.57
100,9,6.15861e-01,5.99667e-01,1.13777e-02,1.65
100,10,6.21277e-01,6.09333e-01,1.13338e-02,1.61
100,11,6.28972e-01,6.18667e-01,1.12891e-02,1.65
100,12,6.36241e-01,6.13667e-01,1.12492e-02,1.66
100,13,6.36312e-01,6.28000e-01,1.12258e-02,1.65
100,14,6.41300e-01,6.20667e-01,1.11920e-02,1.62
100,15,6.43794e-01,6.29333e-01,1.11653e-02,1.60
100,16,6.45504e-01,6.34333e-01,1.11385e-02,1.74
100,17,6.49280e-01,6.33667e-01,1.11219e-02,1.72
100,18,6.51062e-01,6.37333e-01,1.11053e-02,1.66
100,19,6.51489e-01,6.38000e-01,1.10827e-02,2.30
100,20,6.53841e-01,6.36667e-01,1.10740e-02,2.37
100,21,6.54767e-01,6.41667e-01,1.10558e-02,2.09
100,22,6.56548e-01,6.34000e-01,1.10406e-02,2.11
100,23,6.56762e-01,6.40667e-01,1.10327e-02,2.12
100,24,6.57047e-01,6.38667e-01,1.10236e-02,2.10
100,25,6.56762e-01,6.46667e-01,1.10099e-02,2.26
100,26,6.59897e-01,6.48667e-01,1.10004e-02,2.37
100,27,6.60467e-01,6.45000e-01,1.09887e-02,2.23
100,28,6.62391e-01,6.50000e-01,1.09827e-02,2.29
100,29,6.60752e-01,6.52000e-01,1.09695e-02,2.33
100,30,6.63460e-01,6.44333e-01,1.09678e-02,2.18
100,31,6.63603e-01,6.46000e-01,1.09541e-02,2.31
100,32,6.64672e-01,6.55333e-01,1.09501e-02,2.14
100,33,6.65527e-01,6.45667e-01,1.09423e-02,2.27
100,34,6.65313e-01,6.47000e-01,1.09363e-02,2.35
100,35,6.66595e-01,6.48000e-01,1.09275e-02,2.33
100,36,6.64173e-01,6.48667e-01,1.09267e-02,2.22
100,37,6.65669e-01,6.43667e-01,1.09196e-02,2.06
100,38,6.66738e-01,6.50667e-01,1.09111e-02,2.26
100,39,6.67165e-01,6.53000e-01,1.09138e-02,2.12
100,40,6.67379e-01,6.54333e-01,1.09045e-02,2.22
100,41,6.65883e-01,6.55667e-01,1.09057e-02,2.30
100,42,6.68733e-01,6.54333e-01,1.08975e-02,2.42
100,43,6.67878e-01,6.55000e-01,1.08919e-02,2.29
100,44,6.66952e-01,6.54000e-01,1.08876e-02,2.11
100,45,6.66667e-01,6.54333e-01,1.08888e-02,2.15
100,46,6.69802e-01,6.53000e-01,1.08795e-02,2.39
100,47,6.69588e-01,6.50333e-01,1.08730e-02,2.11
100,48,6.70158e-01,6.58000e-01,1.08684e-02,2.29
100,49,6.69232e-01,6.59333e-01,1.08652e-02,2.32
100,50,6.70728e-01,6.55667e-01,1.08664e-02,2.08
100,51,6.73293e-01,6.58000e-01,1.08579e-02,2.46
100,52,6.71085e-01,6.56667e-01,1.08562e-02,2.16
100,53,6.70087e-01,6.59667e-01,1.08554e-02,2.34
100,54,6.70087e-01,6.63667e-01,1.08508e-02,2.49
100,55,6.70229e-01,6.56667e-01,1.08514e-02,2.36
100,56,6.72225e-01,6.60333e-01,1.08442e-02,2.39
100,57,6.71441e-01,6.61000e-01,1.08456e-02,2.22
100,58,6.71655e-01,6.60667e-01,1.08392e-02,2.34
100,59,6.72082e-01,6.56000e-01,1.08377e-02,2.29
100,60,6.70016e-01,6.62000e-01,1.08424e-02,2.33
100,61,6.72367e-01,6.57667e-01,1.08339e-02,2.09
100,62,6.72652e-01,6.64333e-01,1.08309e-02,2.38
100,63,6.70514e-01,6.57000e-01,1.08336e-02,2.37
100,64,6.71868e-01,6.59333e-01,1.08254e-02,2.26
100,65,6.71583e-01,6.61333e-01,1.08272e-02,2.08
100,66,6.74220e-01,6.65333e-01,1.08214e-02,2.01
100,67,6.71797e-01,6.61000e-01,1.08218e-02,2.12
100,68,6.75360e-01,6.61333e-01,1.08174e-02,2.23
100,69,6.76215e-01,6.66000e-01,1.08156e-02,2.22
100,70,6.72652e-01,6.60333e-01,1.08127e-02,2.26
100,71,6.73578e-01,6.54333e-01,1.08121e-02,2.14
100,72,6.74576e-01,6.56333e-01,1.08130e-02,2.18
100,73,6.75431e-01,6.61667e-01,1.08085e-02,2.25
100,74,6.74077e-01,6.62000e-01,1.08062e-02,2.18
100,75,6.74861e-01,6.66333e-01,1.08010e-02,2.22
100,76,6.74647e-01,6.63667e-01,1.07990e-02,2.27
100,77,6.75146e-01,6.56000e-01,1.07992e-02,2.07
100,78,6.75289e-01,6.61667e-01,1.08044e-02,2.23
100,79,6.71370e-01,6.65667e-01,1.08021e-02,2.25
100,80,6.73721e-01,6.66000e-01,1.07997e-02,2.23
100,81,6.74434e-01,6.64000e-01,1.07997e-02,2.31
100,82,6.73650e-01,6.61333e-01,1.07948e-02,2.37
100,83,6.77711e-01,6.61667e-01,1.07934e-02,2.35
100,84,6.73863e-01,6.61667e-01,1.07941e-02,2.17
100,85,6.74861e-01,6.61333e-01,1.07920e-02,2.29
100,86,6.75004e-01,6.63667e-01,1.07872e-02,2.04
100,87,6.75075e-01,6.64667e-01,1.07877e-02,2.25
100,88,6.73935e-01,6.65000e-01,1.07881e-02,2.22
100,89,6.76215e-01,6.61333e-01,1.07832e-02,2.28
100,90,6.74861e-01,6.58333e-01,1.07822e-02,2.08
100,91,6.74790e-01,6.64000e-01,1.07812e-02,2.38
100,92,6.78210e-01,6.65000e-01,1.07739e-02,2.42
100,93,6.75217e-01,6.62667e-01,1.07788e-02,2.40
100,94,6.77212e-01,6.64333e-01,1.07745e-02,2.37
100,95,6.76429e-01,6.61333e-01,1.07714e-02,2.41
100,96,6.76571e-01,6.68000e-01,1.07777e-02,2.40
100,97,6.75360e-01,6.65333e-01,1.07736e-02,2.19
100,98,6.75574e-01,6.65000e-01,1.07695e-02,2.21
100,99,6.76999e-01,6.66333e-01,1.07708e-02,2.41
100,100,6.75787e-01,6.66000e-01,1.07733e-02,2.09
100,101,6.76001e-01,6.62000e-01,1.07748e-02,2.24
100,102,6.77070e-01,6.66000e-01,1.07669e-02,2.26
100,103,6.78068e-01,6.64333e-01,1.07650e-02,2.11
100,104,6.78566e-01,6.65667e-01,1.07639e-02,2.49
100,105,6.75930e-01,6.66000e-01,1.07635e-02,2.29
100,106,6.77212e-01,6.66333e-01,1.07688e-02,2.11
100,107,6.75859e-01,6.64000e-01,1.07632e-02,2.14
100,108,6.77640e-01,6.65333e-01,1.07592e-02,2.12
100,109,6.77711e-01,6.64000e-01,1.07592e-02,2.44
100,110,6.79136e-01,6.64667e-01,1.07594e-02,2.22
100,111,6.77854e-01,6.65333e-01,1.07588e-02,2.22
100,112,6.76856e-01,6.67333e-01,1.07607e-02,2.38
100,113,6.77925e-01,6.65000e-01,1.07602e-02,2.22
100,114,6.77640e-01,6.66333e-01,1.07544e-02,2.13
100,115,6.77426e-01,6.68000e-01,1.07583e-02,2.13
100,116,6.75645e-01,6.59333e-01,1.07555e-02,2.23
100,117,6.77355e-01,6.67333e-01,1.07512e-02,2.20
100,118,6.77498e-01,6.66667e-01,1.07576e-02,2.20
100,119,6.79350e-01,6.67000e-01,1.07510e-02,2.13
100,120,6.76642e-01,6.64667e-01,1.07517e-02,2.19
100,121,6.79778e-01,6.66667e-01,1.07493e-02,2.29
100,122,6.80419e-01,6.64667e-01,1.07490e-02,2.20
100,123,6.76001e-01,6.67000e-01,1.07594e-02,2.38
100,124,6.76999e-01,6.66000e-01,1.07482e-02,2.30
100,125,6.77854e-01,6.63000e-01,1.07499e-02,2.13
100,126,6.77783e-01,6.67667e-01,1.07448e-02,2.33
100,127,6.78566e-01,6.66333e-01,1.07443e-02,2.18
100,128,6.77569e-01,6.69333e-01,1.07415e-02,2.32
100,129,6.77996e-01,6.66333e-01,1.07462e-02,2.11
100,130,6.76714e-01,6.65333e-01,1.07428e-02,2.29
100,131,6.79635e-01,6.60667e-01,1.07424e-02,2.23
100,132,6.79208e-01,6.63333e-01,1.07437e-02,2.26
100,133,6.78139e-01,6.68667e-01,1.07391e-02,2.28
100,134,6.78495e-01,6.68000e-01,1.07402e-02,2.17
100,135,6.79136e-01,6.65333e-01,1.07447e-02,2.06
100,136,6.77925e-01,6.65333e-01,1.07398e-02,2.31
100,137,6.79421e-01,6.64667e-01,1.07439e-02,2.12
100,138,6.79279e-01,6.67333e-01,1.07354e-02,2.43
100,139,6.78780e-01,6.67333e-01,1.07364e-02,2.13
100,140,6.81060e-01,6.65667e-01,1.07348e-02,2.31
100,141,6.80419e-01,6.66000e-01,1.07345e-02,2.05
100,142,6.82058e-01,6.67000e-01,1.07324e-02,2.19
100,143,6.78923e-01,6.66333e-01,1.07343e-02,2.32
100,144,6.79350e-01,6.62667e-01,1.07393e-02,2.32
100,145,6.78353e-01,6.67333e-01,1.07305e-02,2.35
100,146,6.80134e-01,6.67667e-01,1.07283e-02,2.30
100,147,6.79421e-01,6.65000e-01,1.07335e-02,2.40
100,148,6.79065e-01,6.65333e-01,1.07304e-02,2.30
