pretrain_checkpoint_epoch,epoch,train_accuracy,val_accuracy,loss,time
100,1,4.08935e-01,5.15333e-01,1.31302e-02,1.63
100,2,5.38620e-01,5.51000e-01,1.20857e-02,1.62
100,3,5.74177e-01,5.72667e-01,1.18016e-02,1.64
100,4,5.97834e-01,5.94333e-01,1.16124e-02,1.61
100,5,6.08522e-01,6.01333e-01,1.14899e-02,1.62
100,6,6.16289e-01,6.11000e-01,1.14064e-02,1.61
100,7,6.25338e-01,6.16667e-01,1.13409e-02,1.61
100,8,6.26764e-01,6.12000e-01,1.12931e-02,1.91
100,9,6.30326e-01,6.17333e-01,1.12569e-02,1.56
100,10,6.33818e-01,6.17000e-01,1.12222e-02,1.68
100,11,6.37167e-01,6.21333e-01,1.11876e-02,1.68
100,12,6.43437e-01,6.26000e-01,1.11606e-02,1.60
100,13,6.42511e-01,6.29000e-01,1.11341e-02,1.68
100,14,6.48069e-01,6.26667e-01,1.11106e-02,1.62
100,15,6.47926e-01,6.30000e-01,1.10953e-02,1.58
100,16,6.46003e-01,6.34333e-01,1.10826e-02,1.62
100,17,6.51988e-01,6.36667e-01,1.10564e-02,1.71
100,18,6.48354e-01,6.30667e-01,1.10461e-02,1.73
100,19,6.50207e-01,6.40333e-01,1.10323e-02,2.14
100,20,6.54838e-01,6.38000e-01,1.10168e-02,2.06
100,21,6.53769e-01,6.35333e-01,1.10120e-02,2.17
100,22,6.57546e-01,6.40667e-01,1.09899e-02,2.54
100,23,6.56335e-01,6.43667e-01,1.09853e-02,2.41
100,24,6.57617e-01,6.42000e-01,1.09748e-02,2.32
100,25,6.57760e-01,6.46000e-01,1.09648e-02,2.22
100,26,6.59612e-01,6.43667e-01,1.09565e-02,2.11
100,27,6.60396e-01,6.45000e-01,1.09495e-02,2.22
100,28,6.61323e-01,6.43000e-01,1.09367e-02,2.29
100,29,6.63175e-01,6.49667e-01,1.09287e-02,2.18
100,30,6.65669e-01,6.48667e-01,1.09227e-02,2.14
100,31,6.61465e-01,6.48333e-01,1.09203e-02,2.30
100,32,6.63175e-01,6.47333e-01,1.09137e-02,2.19
100,33,6.64101e-01,6.49000e-01,1.09062e-02,2.35
100,34,6.64030e-01,6.50333e-01,1.08982e-02,2.29
100,35,6.64529e-01,6.48333e-01,1.08978e-02,2.35
100,36,6.65527e-01,6.50000e-01,1.08909e-02,2.23
100,37,6.65954e-01,6.49667e-01,1.08880e-02,2.28
100,38,6.69517e-01,6.44667e-01,1.08773e-02,2.22
100,39,6.66952e-01,6.51000e-01,1.08772e-02,2.19
100,40,6.66025e-01,6.50667e-01,1.08775e-02,2.19
100,41,6.68306e-01,6.50333e-01,1.08650e-02,2.36
100,42,6.68021e-01,6.52667e-01,1.08637e-02,2.47
100,43,6.67735e-01,6.53333e-01,1.08589e-02,2.33
100,44,6.68377e-01,6.53000e-01,1.08571e-02,2.22
100,45,6.69232e-01,6.53333e-01,1.08480e-02,2.52
