pretrain_checkpoint_epoch,epoch,train_accuracy,val_accuracy,loss,val_loss,time
100,1,4.54468e-01,5.50000e-01,1.17857e-02,9.71754e-03,0.24
100,2,5.74676e-01,5.87000e-01,8.82106e-03,8.64087e-03,0.24
100,3,5.99116e-01,6.05000e-01,8.16772e-03,8.19907e-03,0.26
100,4,6.21063e-01,6.18333e-01,7.81897e-03,7.92227e-03,0.23
100,5,6.26906e-01,6.32333e-01,7.61107e-03,7.75968e-03,0.23
100,6,6.37594e-01,6.37333e-01,7.44561e-03,7.60340e-03,0.23
100,7,6.43010e-01,6.39667e-01,7.32712e-03,7.50715e-03,0.23
100,8,6.49565e-01,6.47000e-01,7.24172e-03,7.47454e-03,0.36
100,9,6.46573e-01,6.52000e-01,7.18223e-03,7.35172e-03,0.25
100,10,6.56762e-01,6.51333e-01,7.11047e-03,7.33559e-03,0.27
100,11,6.55408e-01,6.50333e-01,7.07208e-03,7.29465e-03,0.24
100,12,6.61109e-01,6.52333e-01,7.01757e-03,7.23362e-03,0.23
100,13,6.62391e-01,6.56000e-01,6.97673e-03,7.20684e-03,0.24
100,14,6.62890e-01,6.57333e-01,6.94978e-03,7.14171e-03,0.23
100,15,6.67094e-01,6.62667e-01,6.91078e-03,7.11655e-03,0.24
100,16,6.65812e-01,6.58667e-01,6.89343e-03,7.11535e-03,0.28
100,17,6.70728e-01,6.62000e-01,6.84955e-03,7.08150e-03,0.32
100,18,6.67450e-01,6.53000e-01,6.85174e-03,7.12990e-03,0.23
100,19,6.69232e-01,6.59667e-01,6.82712e-03,7.04576e-03,0.24
100,20,6.70942e-01,6.59667e-01,6.81116e-03,7.02416e-03,0.24
100,21,6.72652e-01,6.60667e-01,6.79393e-03,7.02665e-03,0.25
100,22,6.72866e-01,6.67000e-01,6.78395e-03,7.00705e-03,0.24
100,23,6.76072e-01,6.62667e-01,6.76134e-03,6.99600e-03,0.24
100,24,6.79635e-01,6.66333e-01,6.75303e-03,6.95109e-03,0.24
