pretrain_checkpoint_epoch,epoch,train_accuracy,val_accuracy,loss,time
100,1,4.00171e-01,5.20667e-01,1.30686e-02,1.62
100,2,5.51732e-01,5.60000e-01,1.20948e-02,1.84
100,3,5.78524e-01,5.82333e-01,1.18093e-02,1.61
100,4,5.89426e-01,5.85333e-01,1.16632e-02,1.67
100,5,5.97193e-01,5.94667e-01,1.15565e-02,1.62
100,6,6.02109e-01,6.05000e-01,1.14870e-02,1.60
100,7,6.10660e-01,6.01667e-01,1.14196e-02,1.64
100,8,6.17643e-01,6.09333e-01,1.13650e-02,1.60
100,9,6.23415e-01,6.17000e-01,1.13153e-02,1.60
100,10,6.30255e-01,6.19000e-01,1.12616e-02,1.66
100,11,6.34815e-01,6.30000e-01,1.12283e-02,1.63
100,12,6.37879e-01,6.26667e-01,1.11903e-02,1.71
100,13,6.40730e-01,6.28000e-01,1.11624e-02,1.79
100,14,6.45718e-01,6.34333e-01,1.11333e-02,2.17
100,15,6.45860e-01,6.40000e-01,1.11132e-02,2.22
100,16,6.51632e-01,6.42000e-01,1.10875e-02,2.17
100,17,6.51204e-01,6.40333e-01,1.10687e-02,2.25
100,18,6.52131e-01,6.41000e-01,1.10571e-02,2.25
100,19,6.53413e-01,6.43667e-01,1.10382e-02,2.38
100,20,6.56620e-01,6.45333e-01,1.10216e-02,2.02
100,21,6.59042e-01,6.48333e-01,1.10073e-02,2.20
100,22,6.56691e-01,6.48333e-01,1.09974e-02,2.11
100,23,6.58757e-01,6.48333e-01,1.09814e-02,2.35
100,24,6.61679e-01,6.44667e-01,1.09663e-02,2.18
100,25,6.62249e-01,6.46333e-01,1.09638e-02,2.18
100,26,6.61323e-01,6.49333e-01,1.09476e-02,2.33
100,27,6.63816e-01,6.52667e-01,1.09433e-02,2.38
100,28,6.63816e-01,6.51000e-01,1.09326e-02,2.27
100,29,6.64315e-01,6.54000e-01,1.09228e-02,2.37
100,30,6.67237e-01,6.52000e-01,1.09147e-02,2.05
100,31,6.68092e-01,6.54000e-01,1.09039e-02,2.16
100,32,6.67165e-01,6.58000e-01,1.09028e-02,2.00
100,33,6.68306e-01,6.54667e-01,1.08920e-02,2.21
100,34,6.71085e-01,6.55667e-01,1.08858e-02,2.31
100,35,6.70301e-01,6.54333e-01,1.08791e-02,2.25
100,36,6.70158e-01,6.56000e-01,1.08703e-02,2.18
100,37,6.70301e-01,6.61667e-01,1.08690e-02,2.14
100,38,6.71512e-01,6.56000e-01,1.08635e-02,2.21
100,39,6.72438e-01,6.61667e-01,1.08572e-02,2.19
100,40,6.71726e-01,6.59333e-01,1.08477e-02,2.20
100,41,6.72367e-01,6.58000e-01,1.08478e-02,2.22
100,42,6.74790e-01,6.58000e-01,1.08443e-02,2.33
100,43,6.72795e-01,6.60000e-01,1.08352e-02,2.21
100,44,6.74220e-01,6.58000e-01,1.08291e-02,2.22
100,45,6.75502e-01,6.54667e-01,1.08248e-02,2.15
100,46,6.73578e-01,6.58667e-01,1.08237e-02,2.10
100,47,6.72510e-01,6.57667e-01,1.08243e-02,2.15
100,48,6.74291e-01,6.60000e-01,1.08172e-02,2.27
100,49,6.77070e-01,6.62000e-01,1.08098e-02,2.45
100,50,6.76072e-01,6.62333e-01,1.08088e-02,2.20
100,51,6.79920e-01,6.58333e-01,1.08040e-02,2.32
100,52,6.77640e-01,6.58667e-01,1.08013e-02,2.52
100,53,6.76500e-01,6.64667e-01,1.08003e-02,2.32
100,54,6.78780e-01,6.62000e-01,1.07945e-02,2.19
100,55,6.78281e-01,6.58333e-01,1.07904e-02,2.34
100,56,6.77426e-01,6.59667e-01,1.07901e-02,2.34
100,57,6.78139e-01,6.62667e-01,1.07840e-02,2.30
100,58,6.81345e-01,6.58333e-01,1.07821e-02,2.28
100,59,6.80276e-01,6.63333e-01,1.07781e-02,2.23
100,60,6.78780e-01,6.68667e-01,1.07780e-02,2.26
100,61,6.80561e-01,6.60333e-01,1.07701e-02,2.33
100,62,6.79849e-01,6.63000e-01,1.07689e-02,2.31
100,63,6.80063e-01,6.60000e-01,1.07672e-02,2.07
100,64,6.78780e-01,6.61333e-01,1.07656e-02,2.15
100,65,6.80419e-01,6.66333e-01,1.07610e-02,2.24
100,66,6.82628e-01,6.57667e-01,1.07583e-02,2.39
100,67,6.81987e-01,6.59333e-01,1.07616e-02,2.33
100,68,6.84338e-01,6.60000e-01,1.07560e-02,2.33
100,69,6.81915e-01,6.64667e-01,1.07506e-02,2.34
100,70,6.80348e-01,6.61333e-01,1.07524e-02,2.09
100,71,6.81987e-01,6.65333e-01,1.07491e-02,2.25
