pretrain_checkpoint_epoch,epoch,train_accuracy,val_accuracy,loss,time
100,1,3.97392e-01,5.44000e-01,1.28766e-02,1.59
100,2,5.34701e-01,5.81667e-01,1.19579e-02,1.56
100,3,5.74462e-01,6.08667e-01,1.16414e-02,1.56
100,4,6.06598e-01,6.24667e-01,1.14145e-02,1.56
100,5,6.15078e-01,6.22000e-01,1.13150e-02,1.57
100,6,6.25552e-01,6.32667e-01,1.12377e-02,1.56
100,7,6.32179e-01,6.32000e-01,1.11810e-02,1.56
100,8,6.32892e-01,6.33333e-01,1.11381e-02,1.56
100,9,6.39447e-01,6.39333e-01,1.11054e-02,1.56
100,10,6.36668e-01,6.36667e-01,1.10918e-02,1.56
100,11,6.42725e-01,6.38333e-01,1.10594e-02,1.56
100,12,6.49922e-01,6.39667e-01,1.10212e-02,1.56
100,13,6.50563e-01,6.43667e-01,1.10089e-02,1.56
100,14,6.48924e-01,6.44333e-01,1.09922e-02,1.57
100,15,6.48853e-01,6.45000e-01,1.09887e-02,1.58
100,16,6.54054e-01,6.45667e-01,1.09514e-02,1.57
100,17,6.54767e-01,6.51333e-01,1.09488e-02,1.56
100,18,6.54411e-01,6.53000e-01,1.09374e-02,1.58
100,19,6.55480e-01,6.50667e-01,1.09311e-02,1.60
100,20,6.52701e-01,6.54000e-01,1.09266e-02,1.57
100,21,6.58615e-01,6.55000e-01,1.09060e-02,1.58
100,22,6.58900e-01,6.61667e-01,1.08959e-02,1.56
100,23,6.58330e-01,6.56000e-01,1.08945e-02,1.58
100,24,6.57902e-01,6.56000e-01,1.08873e-02,1.57
100,25,6.61180e-01,6.63000e-01,1.08793e-02,1.57
100,26,6.62748e-01,6.58000e-01,1.08694e-02,1.56
100,27,6.65384e-01,6.58333e-01,1.08547e-02,1.59
100,28,6.63959e-01,6.62333e-01,1.08527e-02,1.57
100,29,6.64030e-01,6.64333e-01,1.08501e-02,1.57
100,30,6.65028e-01,6.65000e-01,1.08413e-02,1.61
100,31,6.64173e-01,6.66000e-01,1.08427e-02,1.63
100,32,6.67379e-01,6.64000e-01,1.08273e-02,1.57
100,33,6.64030e-01,6.68333e-01,1.08345e-02,1.57
100,34,6.65883e-01,6.70000e-01,1.08323e-02,1.56
100,35,6.70087e-01,6.61667e-01,1.08181e-02,1.57
100,36,6.69374e-01,6.63667e-01,1.08151e-02,1.63
100,37,6.64315e-01,6.63667e-01,1.08124e-02,1.57
100,38,6.66025e-01,6.62667e-01,1.08191e-02,1.55
100,39,6.68448e-01,6.65333e-01,1.08138e-02,1.56
100,40,6.65740e-01,6.63333e-01,1.08250e-02,1.57
100,41,6.67522e-01,6.67000e-01,1.08087e-02,1.56
100,42,6.71512e-01,6.65667e-01,1.07898e-02,1.56
100,43,6.67949e-01,6.67000e-01,1.08063e-02,1.56
100,44,6.68876e-01,6.70333e-01,1.07874e-02,1.57
100,45,6.69659e-01,6.63333e-01,1.07989e-02,1.56
