epoch,knn_accuracy_train,knn_accuracy_test
10,5.867238e-01,4.166667e-01
20,5.741613e-01,3.960000e-01
30,5.678801e-01,3.916667e-01
40,5.678087e-01,3.980000e-01
50,5.695218e-01,3.940000e-01
60,5.872948e-01,3.990000e-01
70,6.012848e-01,4.273333e-01
80,6.114918e-01,4.423333e-01
90,6.062099e-01,4.276667e-01
100,6.097787e-01,4.426667e-01
110,6.047823e-01,4.420000e-01
120,6.126338e-01,4.466667e-01
130,6.102070e-01,4.383333e-01
140,6.162027e-01,4.410000e-01
150,6.067809e-01,4.393333e-01
160,6.195575e-01,4.596667e-01
170,6.241256e-01,4.656667e-01
180,6.224126e-01,4.496667e-01
190,6.222698e-01,4.580000e-01
200,6.286224e-01,4.733333e-01
210,6.416131e-01,4.690000e-01
220,6.369736e-01,4.793333e-01
230,6.333333e-01,4.776667e-01
240,6.360457e-01,4.760000e-01
250,6.351178e-01,4.703333e-01
260,6.384011e-01,4.720000e-01
270,6.412562e-01,4.550000e-01
280,6.426124e-01,4.660000e-01
290,6.318344e-01,4.786667e-01
300,6.449679e-01,4.843333e-01
