epoch,knn_accuracy_train,knn_accuracy_test
10,6.469828e-01,4.873333e-01
20,6.918103e-01,5.566667e-01
30,7.001437e-01,5.773333e-01
40,6.936782e-01,5.920000e-01
50,7.048851e-01,5.846667e-01
60,6.961207e-01,5.820000e-01
70,7.089080e-01,5.813333e-01
80,7.028736e-01,5.926667e-01
90,7.064655e-01,5.646667e-01
100,7.012931e-01,5.853333e-01
110,7.053161e-01,5.560000e-01
120,7.004310e-01,5.693333e-01
130,7.035920e-01,5.613333e-01
140,7.077586e-01,5.900000e-01
150,7.077586e-01,5.613333e-01
160,7.004310e-01,5.853333e-01
170,7.119253e-01,5.733333e-01
180,7.081897e-01,5.853333e-01
190,7.087644e-01,5.860000e-01
200,7.170977e-01,6.013333e-01
210,7.219828e-01,5.866667e-01
220,7.149425e-01,5.986667e-01
230,7.222701e-01,5.860000e-01
240,7.185345e-01,5.926667e-01
250,7.169540e-01,5.940000e-01
260,7.149425e-01,5.953333e-01
270,7.163793e-01,6.073333e-01
280,7.254310e-01,5.920000e-01
290,7.265805e-01,6.020000e-01
300,7.260057e-01,6.080000e-01
