epoch,knn_accuracy
10,5.053333e-01
20,5.620000e-01
30,5.640000e-01
40,5.873333e-01
50,5.793333e-01
60,5.793333e-01
70,5.633333e-01
80,5.780000e-01
90,5.640000e-01
100,5.613333e-01
110,5.726667e-01
120,5.646667e-01
130,5.720000e-01
140,5.913333e-01
150,5.613333e-01
160,5.860000e-01
170,5.733333e-01
180,5.960000e-01
190,5.813333e-01
200,5.806667e-01
210,5.960000e-01
220,5.913333e-01
230,5.980000e-01
240,5.873333e-01
250,6.126667e-01
260,5.813333e-01
270,6.000000e-01
280,5.900000e-01
290,6.006667e-01
300,5.986667e-01
