pretrain_checkpoint_epoch,epoch,train_accuracy,val_accuracy,loss,val_loss,time
100,1,4.44563e-01,5.68333e-01,1.15386e-02,9.87040e-03,0.10
100,2,5.93345e-01,5.89333e-01,8.88909e-03,8.70332e-03,0.09
100,3,6.17287e-01,6.15667e-01,8.09817e-03,8.16207e-03,0.08
100,4,6.38022e-01,6.26000e-01,7.67469e-03,7.86248e-03,0.08
100,5,6.47926e-01,6.39000e-01,7.39959e-03,7.66354e-03,0.08
100,6,6.55052e-01,6.49667e-01,7.22706e-03,7.44243e-03,0.08
100,7,6.62391e-01,6.48667e-01,7.08164e-03,7.30731e-03,0.08
100,8,6.69873e-01,6.59667e-01,6.96524e-03,7.23976e-03,0.08
100,9,6.73650e-01,6.60000e-01,6.87335e-03,7.13248e-03,0.08
100,10,6.78281e-01,6.66000e-01,6.79424e-03,7.05555e-03,0.08
100,11,6.80134e-01,6.66333e-01,6.73575e-03,7.00644e-03,0.08
100,12,6.81773e-01,6.68667e-01,6.69007e-03,6.94532e-03,0.11
100,13,6.83839e-01,6.65667e-01,6.63657e-03,6.96424e-03,0.08
100,14,6.88043e-01,6.73000e-01,6.59790e-03,6.87032e-03,0.08
100,15,6.88328e-01,6.68000e-01,6.55935e-03,6.87615e-03,0.08
100,16,6.91535e-01,6.76000e-01,6.51718e-03,6.78687e-03,0.08
100,17,6.92604e-01,6.75667e-01,6.48464e-03,6.80961e-03,0.08
100,18,6.93958e-01,6.81667e-01,6.45943e-03,6.73567e-03,0.08
100,19,6.96309e-01,6.79333e-01,6.44186e-03,6.73086e-03,0.08
100,20,6.96309e-01,6.82667e-01,6.41490e-03,6.67898e-03,0.08
100,21,6.95383e-01,6.83000e-01,6.38644e-03,6.65923e-03,0.08
100,22,7.01439e-01,6.84667e-01,6.37157e-03,6.67348e-03,0.08
100,23,7.00656e-01,6.86000e-01,6.35710e-03,6.64371e-03,0.08
100,24,6.98945e-01,6.84333e-01,6.33218e-03,6.60660e-03,0.08
100,25,7.01511e-01,6.80667e-01,6.31472e-03,6.59447e-03,0.08
100,26,6.97877e-01,6.86667e-01,6.31602e-03,6.59078e-03,0.08
100,27,7.03149e-01,6.86000e-01,6.29717e-03,6.58881e-03,0.08
100,28,7.02722e-01,6.88000e-01,6.28125e-03,6.58451e-03,0.08
100,29,7.03791e-01,6.83333e-01,6.26902e-03,6.54810e-03,0.08
100,30,7.03577e-01,6.86667e-01,6.25441e-03,6.53422e-03,0.08
100,31,7.05572e-01,6.89000e-01,6.24018e-03,6.52068e-03,0.08
100,32,7.03791e-01,6.89000e-01,6.23971e-03,6.51190e-03,0.08
100,33,7.05002e-01,6.89000e-01,6.22515e-03,6.49633e-03,0.10
100,34,7.04717e-01,6.87333e-01,6.21764e-03,6.50887e-03,0.10
100,35,7.04717e-01,6.89333e-01,6.20729e-03,6.47654e-03,0.08
100,36,7.04646e-01,6.87667e-01,6.19808e-03,6.48166e-03,0.08
100,37,7.08707e-01,6.89000e-01,6.18310e-03,6.47218e-03,0.08
100,38,7.07069e-01,6.92000e-01,6.18718e-03,6.45426e-03,0.08
100,39,7.08636e-01,6.94333e-01,6.17585e-03,6.49462e-03,0.08
100,40,7.06855e-01,6.93333e-01,6.17348e-03,6.44808e-03,0.08
100,41,7.05572e-01,6.96000e-01,6.16233e-03,6.44839e-03,0.08
100,42,7.08850e-01,6.88667e-01,6.15455e-03,6.47609e-03,0.08
100,43,7.09776e-01,6.91667e-01,6.14737e-03,6.43281e-03,0.08
100,44,7.08779e-01,6.93667e-01,6.14066e-03,6.41966e-03,0.08
100,45,7.08351e-01,6.92000e-01,6.14501e-03,6.44431e-03,0.08
100,46,7.08137e-01,6.96667e-01,6.13330e-03,6.40757e-03,0.08
100,47,7.09705e-01,6.94333e-01,6.12502e-03,6.39436e-03,0.08
100,48,7.10204e-01,6.94000e-01,6.11311e-03,6.41321e-03,0.08
100,49,7.10489e-01,6.93667e-01,6.12055e-03,6.40315e-03,0.08
100,50,7.08422e-01,6.93667e-01,6.11138e-03,6.40625e-03,0.08
100,51,7.10418e-01,6.93667e-01,6.09973e-03,6.38966e-03,0.08
100,52,7.07781e-01,6.95667e-01,6.10591e-03,6.38177e-03,0.08
100,53,7.13125e-01,6.98000e-01,6.09164e-03,6.38482e-03,0.11
100,54,7.10275e-01,6.96000e-01,6.08659e-03,6.35644e-03,0.08
100,55,7.10916e-01,6.95667e-01,6.07992e-03,6.39489e-03,0.08
100,56,7.11273e-01,6.96667e-01,6.08597e-03,6.37423e-03,0.08
100,57,7.12056e-01,6.93667e-01,6.08677e-03,6.37337e-03,0.08
100,58,7.10275e-01,6.97333e-01,6.07415e-03,6.33783e-03,0.08
100,59,7.12983e-01,6.94000e-01,6.06879e-03,6.36989e-03,0.08
100,60,7.12555e-01,6.96333e-01,6.06568e-03,6.34941e-03,0.08
100,61,7.10275e-01,6.98000e-01,6.06103e-03,6.33575e-03,0.08
100,62,7.13482e-01,6.97000e-01,6.06342e-03,6.34282e-03,0.10
100,63,7.12413e-01,6.97333e-01,6.05388e-03,6.34132e-03,0.08
100,64,7.11914e-01,6.95667e-01,6.05571e-03,6.32159e-03,0.08
100,65,7.10275e-01,6.96667e-01,6.06275e-03,6.37002e-03,0.08
100,66,7.12698e-01,6.95000e-01,6.04924e-03,6.35075e-03,0.08
100,67,7.12769e-01,6.95667e-01,6.03955e-03,6.31164e-03,0.08
100,68,7.12484e-01,6.99667e-01,6.04504e-03,6.32386e-03,0.08
100,69,7.13268e-01,6.98000e-01,6.03427e-03,6.30183e-03,0.08
100,70,7.10703e-01,6.99333e-01,6.03159e-03,6.32366e-03,0.08
100,71,7.13553e-01,6.98667e-01,6.02882e-03,6.32334e-03,0.08
100,72,7.13909e-01,6.95333e-01,6.02888e-03,6.32417e-03,0.08
100,73,7.13553e-01,6.99333e-01,6.02405e-03,6.30810e-03,0.08
100,74,7.13767e-01,6.97333e-01,6.02704e-03,6.31107e-03,0.08
100,75,7.13054e-01,7.00333e-01,6.01746e-03,6.30159e-03,0.08
100,76,7.13125e-01,6.99333e-01,6.02201e-03,6.29432e-03,0.08
100,77,7.12056e-01,6.97333e-01,6.01268e-03,6.30680e-03,0.08
100,78,7.12840e-01,6.98667e-01,6.01303e-03,6.32407e-03,0.08
100,79,7.13339e-01,6.99333e-01,6.00380e-03,6.28412e-03,0.08
100,80,7.13980e-01,7.00333e-01,5.99990e-03,6.28441e-03,0.08
100,81,7.14408e-01,6.97000e-01,6.00803e-03,6.29474e-03,0.08
100,82,7.13197e-01,7.02000e-01,6.00043e-03,6.28939e-03,0.08
100,83,7.13268e-01,6.98333e-01,6.00255e-03,6.29108e-03,0.08
100,84,7.14907e-01,7.02000e-01,5.99574e-03,6.27782e-03,0.08
100,85,7.13695e-01,7.00000e-01,5.99647e-03,6.27667e-03,0.08
100,86,7.14052e-01,7.00000e-01,5.98359e-03,6.26753e-03,0.08
100,87,7.15762e-01,7.02333e-01,5.99683e-03,6.28541e-03,0.08
100,88,7.14123e-01,6.99333e-01,5.98433e-03,6.30060e-03,0.12
100,89,7.14479e-01,6.95667e-01,5.98569e-03,6.34704e-03,0.08
