pretrain_checkpoint_epoch,epoch,train_accuracy,val_accuracy,loss,val_loss,time
100,1,4.23400e-01,5.20333e-01,1.19038e-02,1.05628e-02,0.12
100,2,5.48810e-01,5.58333e-01,9.60803e-03,9.48620e-03,0.13
100,3,5.76956e-01,5.62667e-01,8.88465e-03,8.99707e-03,0.15
100,4,5.85293e-01,5.76000e-01,8.50133e-03,8.69342e-03,0.16
100,5,5.97763e-01,5.81333e-01,8.25778e-03,8.48947e-03,0.12
100,6,6.05244e-01,5.93333e-01,8.07841e-03,8.32280e-03,0.15
100,7,6.11515e-01,5.98667e-01,7.93713e-03,8.21326e-03,0.14
100,8,6.17857e-01,6.08333e-01,7.82778e-03,8.08615e-03,0.14
100,9,6.22061e-01,6.14667e-01,7.75260e-03,7.99457e-03,0.13
100,10,6.26336e-01,6.15667e-01,7.65601e-03,7.94464e-03,0.13
100,11,6.31181e-01,6.16333e-01,7.59883e-03,7.85672e-03,0.15
100,12,6.33747e-01,6.21333e-01,7.54112e-03,7.81713e-03,0.13
100,13,6.37024e-01,6.27333e-01,7.49822e-03,7.77325e-03,0.14
100,14,6.39803e-01,6.30000e-01,7.44557e-03,7.71719e-03,0.16
100,15,6.43936e-01,6.36333e-01,7.39449e-03,7.69079e-03,0.15
100,16,6.44791e-01,6.31333e-01,7.35732e-03,7.61986e-03,0.14
100,17,6.44791e-01,6.33333e-01,7.32785e-03,7.62653e-03,0.15
100,18,6.49280e-01,6.38000e-01,7.29879e-03,7.57377e-03,0.14
100,19,6.46929e-01,6.42000e-01,7.26965e-03,7.55540e-03,0.14
100,20,6.50563e-01,6.37333e-01,7.24214e-03,7.54170e-03,0.15
100,21,6.52772e-01,6.44667e-01,7.21177e-03,7.49963e-03,0.14
100,22,6.54054e-01,6.42667e-01,7.19444e-03,7.46952e-03,0.14
100,23,6.56691e-01,6.41667e-01,7.16968e-03,7.46821e-03,0.13
100,24,6.56192e-01,6.46000e-01,7.15575e-03,7.44151e-03,0.14
100,25,6.54197e-01,6.46333e-01,7.13873e-03,7.40597e-03,0.14
100,26,6.54910e-01,6.38667e-01,7.11764e-03,7.42320e-03,0.14
100,27,6.58401e-01,6.44667e-01,7.10864e-03,7.38255e-03,0.13
100,28,6.56691e-01,6.50333e-01,7.09179e-03,7.40310e-03,0.17
100,29,6.57973e-01,6.50000e-01,7.08069e-03,7.37221e-03,0.16
100,30,6.60824e-01,6.52667e-01,7.06911e-03,7.35165e-03,0.16
100,31,6.58401e-01,6.49333e-01,7.04876e-03,7.34184e-03,0.14
100,32,6.61251e-01,6.49667e-01,7.03963e-03,7.32640e-03,0.14
100,33,6.61608e-01,6.52333e-01,7.02514e-03,7.31193e-03,0.14
100,34,6.62534e-01,6.48667e-01,7.02307e-03,7.30781e-03,0.10
100,35,6.63246e-01,6.52667e-01,7.01599e-03,7.29590e-03,0.08
100,36,6.63104e-01,6.52000e-01,6.99315e-03,7.29796e-03,0.08
100,37,6.64173e-01,6.54667e-01,6.99303e-03,7.27928e-03,0.08
100,38,6.62391e-01,6.50667e-01,6.98146e-03,7.26394e-03,0.08
100,39,6.64814e-01,6.54667e-01,6.97215e-03,7.26503e-03,0.08
100,40,6.65954e-01,6.50000e-01,6.97338e-03,7.25264e-03,0.08
100,41,6.62676e-01,6.57000e-01,6.95963e-03,7.23679e-03,0.08
100,42,6.64743e-01,6.54667e-01,6.95571e-03,7.24608e-03,0.08
100,43,6.65598e-01,6.54333e-01,6.95149e-03,7.24798e-03,0.08
100,44,6.65954e-01,6.54667e-01,6.93791e-03,7.25236e-03,0.08
100,45,6.64529e-01,6.55333e-01,6.94285e-03,7.21833e-03,0.08
100,46,6.66952e-01,6.56000e-01,6.92796e-03,7.21300e-03,0.08
100,47,6.65812e-01,6.55000e-01,6.93077e-03,7.23930e-03,0.08
100,48,6.67308e-01,6.56000e-01,6.91708e-03,7.22462e-03,0.08
100,49,6.67237e-01,6.55667e-01,6.91047e-03,7.21354e-03,0.08
100,50,6.66880e-01,6.55000e-01,6.90383e-03,7.18752e-03,0.08
100,51,6.68163e-01,6.45667e-01,6.89378e-03,7.27239e-03,0.08
100,52,6.65669e-01,6.61000e-01,6.89889e-03,7.18047e-03,0.09
100,53,6.68377e-01,6.56667e-01,6.88930e-03,7.17011e-03,0.08
100,54,6.69446e-01,6.60333e-01,6.88745e-03,7.20176e-03,0.08
100,55,6.67664e-01,6.57333e-01,6.88310e-03,7.21449e-03,0.08
100,56,6.68662e-01,6.62333e-01,6.88278e-03,7.16872e-03,0.08
100,57,6.69303e-01,6.60000e-01,6.88019e-03,7.15066e-03,0.08
100,58,6.70443e-01,6.55333e-01,6.87253e-03,7.19216e-03,0.08
100,59,6.68448e-01,6.61000e-01,6.87120e-03,7.17109e-03,0.08
100,60,6.68448e-01,6.58667e-01,6.85709e-03,7.15973e-03,0.08
100,61,6.71512e-01,6.59667e-01,6.85907e-03,7.15827e-03,0.08
100,62,6.70087e-01,6.61000e-01,6.85478e-03,7.14639e-03,0.10
100,63,6.69873e-01,6.59000e-01,6.84968e-03,7.15983e-03,0.08
100,64,6.69659e-01,6.58333e-01,6.84923e-03,7.15308e-03,0.08
100,65,6.70514e-01,6.62333e-01,6.84441e-03,7.13727e-03,0.08
100,66,6.70301e-01,6.58000e-01,6.84566e-03,7.15821e-03,0.08
100,67,6.72510e-01,6.58333e-01,6.83540e-03,7.14642e-03,0.08
100,68,6.71583e-01,6.63333e-01,6.83491e-03,7.13370e-03,0.08
100,69,6.69802e-01,6.63000e-01,6.84084e-03,7.13742e-03,0.08
100,70,6.72296e-01,6.65667e-01,6.82464e-03,7.11292e-03,0.08
100,71,6.73650e-01,6.58333e-01,6.82952e-03,7.14256e-03,0.08
100,72,6.72082e-01,6.58333e-01,6.82644e-03,7.14534e-03,0.08
100,73,6.72652e-01,6.64667e-01,6.81339e-03,7.11910e-03,0.08
100,74,6.72937e-01,6.59667e-01,6.81889e-03,7.16058e-03,0.08
100,75,6.72581e-01,6.62000e-01,6.81318e-03,7.10241e-03,0.10
100,76,6.70301e-01,6.60000e-01,6.80816e-03,7.10150e-03,0.08
100,77,6.71655e-01,6.56000e-01,6.81499e-03,7.11594e-03,0.08
100,78,6.71868e-01,6.60667e-01,6.80726e-03,7.10519e-03,0.08
100,79,6.70657e-01,6.57000e-01,6.80974e-03,7.11422e-03,0.08
100,80,6.70016e-01,6.60000e-01,6.80766e-03,7.11862e-03,0.08
100,81,6.71227e-01,6.65333e-01,6.80576e-03,7.09782e-03,0.08
100,82,6.74220e-01,6.58667e-01,6.79796e-03,7.11341e-03,0.08
100,83,6.71655e-01,6.61667e-01,6.79760e-03,7.10927e-03,0.08
100,84,6.73507e-01,6.64000e-01,6.79719e-03,7.08756e-03,0.08
100,85,6.73151e-01,6.61667e-01,6.79048e-03,7.10940e-03,0.08
100,86,6.71583e-01,6.58667e-01,6.78667e-03,7.11670e-03,0.08
100,87,6.71298e-01,6.61333e-01,6.78519e-03,7.08237e-03,0.10
100,88,6.73008e-01,6.62667e-01,6.79170e-03,7.11603e-03,0.14
100,89,6.72510e-01,6.67667e-01,6.78857e-03,7.07841e-03,0.08
100,90,6.74505e-01,6.60333e-01,6.78222e-03,7.07875e-03,0.08
100,91,6.74790e-01,6.61667e-01,6.77839e-03,7.07685e-03,0.08
100,92,6.74576e-01,6.61667e-01,6.77449e-03,7.07448e-03,0.08
100,93,6.72510e-01,6.68333e-01,6.77969e-03,7.05495e-03,0.08
100,94,6.73080e-01,6.64667e-01,6.77607e-03,7.07175e-03,0.08
100,95,6.73222e-01,6.60000e-01,6.77431e-03,7.06224e-03,0.08
100,96,6.71726e-01,6.61000e-01,6.77284e-03,7.06760e-03,0.08
100,97,6.74220e-01,6.62667e-01,6.77941e-03,7.07538e-03,0.08
100,98,6.72011e-01,6.63000e-01,6.76968e-03,7.06506e-03,0.08
100,99,6.74006e-01,6.62000e-01,6.76138e-03,7.06801e-03,0.08
100,100,6.76144e-01,6.66000e-01,6.76619e-03,7.04009e-03,0.10
100,101,6.73507e-01,6.63333e-01,6.76106e-03,7.06362e-03,0.08
100,102,6.74576e-01,6.60333e-01,6.75062e-03,7.07737e-03,0.08
100,103,6.77426e-01,6.64333e-01,6.75767e-03,7.02943e-03,0.08
100,104,6.75431e-01,6.65000e-01,6.75597e-03,7.05579e-03,0.08
100,105,6.71940e-01,6.64000e-01,6.76000e-03,7.05479e-03,0.08
100,106,6.75930e-01,6.63000e-01,6.75775e-03,7.09630e-03,0.08
100,107,6.78281e-01,6.58000e-01,6.75108e-03,7.10870e-03,0.08
100,108,6.71726e-01,6.68333e-01,6.75087e-03,7.04731e-03,0.08
100,109,6.74077e-01,6.66000e-01,6.75773e-03,7.03666e-03,0.08
100,110,6.77070e-01,6.62333e-01,6.74364e-03,7.05241e-03,0.08
100,111,6.76001e-01,6.63000e-01,6.75209e-03,7.02341e-03,0.08
100,112,6.76001e-01,6.64667e-01,6.74576e-03,7.04524e-03,0.08
100,113,6.75716e-01,6.66667e-01,6.74606e-03,7.03088e-03,0.08
100,114,6.76001e-01,6.63000e-01,6.74075e-03,7.02390e-03,0.08
100,115,6.76357e-01,6.65333e-01,6.74710e-03,7.03495e-03,0.08
100,116,6.75004e-01,6.65333e-01,6.74173e-03,7.02111e-03,0.08
100,117,6.76856e-01,6.67333e-01,6.74135e-03,7.02325e-03,0.08
100,118,6.74719e-01,6.65000e-01,6.74391e-03,7.02009e-03,0.08
100,119,6.75645e-01,6.61000e-01,6.73787e-03,7.02346e-03,0.08
100,120,6.78210e-01,6.65333e-01,6.73340e-03,7.01466e-03,0.08
100,121,6.76856e-01,6.62000e-01,6.73217e-03,7.03512e-03,0.08
100,122,6.76642e-01,6.68333e-01,6.73257e-03,7.01302e-03,0.08
100,123,6.75431e-01,6.69333e-01,6.73414e-03,7.01610e-03,0.08
100,124,6.76642e-01,6.66667e-01,6.73483e-03,7.02555e-03,0.08
100,125,6.75930e-01,6.66333e-01,6.72970e-03,7.05986e-03,0.08
100,126,6.76856e-01,6.69333e-01,6.72449e-03,7.00592e-03,0.09
100,127,6.77355e-01,6.68333e-01,6.73042e-03,7.02185e-03,0.08
100,128,6.77070e-01,6.59667e-01,6.72456e-03,7.05915e-03,0.08
100,129,6.74576e-01,6.66667e-01,6.72647e-03,7.00084e-03,0.08
100,130,6.75716e-01,6.64333e-01,6.72844e-03,7.03475e-03,0.08
100,131,6.76001e-01,6.68333e-01,6.72110e-03,7.02998e-03,0.08
100,132,6.75502e-01,6.63000e-01,6.71314e-03,7.07805e-03,0.08
100,133,6.77355e-01,6.62667e-01,6.72028e-03,7.02461e-03,0.08
100,134,6.74505e-01,6.68667e-01,6.72437e-03,6.99785e-03,0.08
100,135,6.77141e-01,6.71000e-01,6.71441e-03,7.01034e-03,0.08
100,136,6.77711e-01,6.64667e-01,6.71794e-03,7.05540e-03,0.08
100,137,6.76856e-01,6.65000e-01,6.71986e-03,7.01660e-03,0.08
100,138,6.76429e-01,6.66667e-01,6.71010e-03,6.99749e-03,0.08
100,139,6.75360e-01,6.66667e-01,6.71082e-03,6.99992e-03,0.08
100,140,6.78139e-01,6.68333e-01,6.70891e-03,7.01404e-03,0.08
100,141,6.77498e-01,6.65667e-01,6.71445e-03,7.05815e-03,0.08
100,142,6.77640e-01,6.66667e-01,6.71224e-03,6.98705e-03,0.08
100,143,6.77925e-01,6.67333e-01,6.70670e-03,7.01081e-03,0.08
100,144,6.75217e-01,6.64667e-01,6.70486e-03,6.99308e-03,0.08
100,145,6.75645e-01,6.65000e-01,6.70358e-03,7.02072e-03,0.08
100,146,6.78923e-01,6.65333e-01,6.70425e-03,6.97905e-03,0.08
100,147,6.79849e-01,6.67333e-01,6.70403e-03,6.99407e-03,0.08
100,148,6.79279e-01,6.65667e-01,6.69407e-03,6.99231e-03,0.09
100,149,6.76571e-01,6.62667e-01,6.70122e-03,7.07428e-03,0.08
100,150,6.74220e-01,6.62000e-01,6.71001e-03,7.03200e-03,0.08
100,151,6.77355e-01,6.66333e-01,6.70226e-03,6.98339e-03,0.08
100,152,6.78281e-01,6.63333e-01,6.69295e-03,6.99813e-03,0.09
100,153,6.79208e-01,6.68000e-01,6.69693e-03,7.02655e-03,0.08
100,154,6.78851e-01,6.68000e-01,6.69691e-03,6.97245e-03,0.08
100,155,6.75645e-01,6.67667e-01,6.69362e-03,6.97355e-03,0.08
